Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,9662,,118,,8058,,4847,
2002-11-01,8881,,111,,8243,,4953,
2002-12-01,9305,,119,,10474,,6297,
2003-01-01,8990,,117,,7934,,4770,
2003-02-01,8323,,105,,7924,,4771,
2003-03-01,9254,,114,,10471,,6304,
2003-04-01,9626,,119,,10269,,6182,
2003-05-01,10873,,135,,10700,,6441,
2003-06-01,11418,,142,,11355,,6836,
2003-07-01,12175,,150,,12448,,7495,
2003-08-01,11805,,146,,11091,,6677,
2003-09-01,9402,,116,,9962,,5998,
2003-10-01,11275,,139,,13117,,7896,
2003-11-01,10291,,132,,11523,,6936,
2003-12-01,11767,,149,,13190,,7939,
2004-01-01,10893,,138,,11521,,6936,
2004-02-01,9238,,126,,11140,,6436,
2004-03-01,13284,,155,,15825,,9526,
2004-04-01,11208,,146,,12958,,7776,
2004-05-01,11288,,152,,12003,,7211,
2004-06-01,10651,,147,,12489,,7518,
2004-07-01,11211,,152,,13743,,8526,
2004-08-01,11133,,149,,10926,,6580,
2004-09-01,10289,,138,,10579,,6369,
2004-10-01,11018,,147,,14060,,8466,
2004-11-01,11552,,155,,13914,,8376,
2004-12-01,13225,,175,,15288,,9204,
2005-01-01,13437,,179,,12911,,7774,
2005-02-01,15498,,211,,13465,,10852,
2005-03-01,13434,,177,,13465,,10861,
2005-04-01,12780,,169,,15946,,9604,
2005-05-01,13649,,183,,15466,,9312,
2005-06-01,13344,,179,,14838,,8928,
2005-07-01,13350,,179,,13539,,8150,
2005-08-01,13716,,186,,11192,,6738,
2005-09-01,12883,,175,,10754,,6474,
2005-10-01,12328,,167,,14497,,8728,
2005-11-01,11393,,154,,15087,,9082,
2005-12-01,13355,,181,,16195,,9748,
2006-01-01,15435,,210,,19203,,11560,
2006-02-01,14420,,196,,19362,,11653,
2006-03-01,15701,,213,,21273,,12806,
2006-04-01,15185,,206,,20892,,12588,
2006-05-01,16149,,219,,19415,,11688,
2006-06-01,15221,,206,,20370,,12262,
2006-07-01,13574,,182,,18096,,10896,
2006-08-01,13935,,187,,16075,,9676,
2006-09-01,15445,,209,,16373,,9856,
2006-10-01,16037,,215,,20313,,12228,
2006-11-01,15813,,199,,18639,,11223,
2006-12-01,13689,,184,,16476,,9917,
2007-01-01,16893,,212,,19042,,11464,
2007-02-01,15763,,196,,19597,,11800,
2007-03-01,16514,,210,,22671,,13649,
2007-04-01,15510,,196,,22207,,13370,
2007-05-01,14401,,186,,20363,,12259,
2007-06-01,12833,,166,,19490,,11734,
2007-07-01,13632,,177,,18910,,11384,
2007-08-01,13556,,180,,18005,,10840,
2007-09-01,12386,,156,,16029,,9650,
2007-10-01,11602,,152,,17668,,10636,
2007-11-01,11172,,138,,15863,,9553,
2007-12-01,10711,,134,,13908,,8378,
2008-01-01,11951,,151,,13467,,8109,
2008-02-01,10926,,138,,14168,,8532,
2008-03-01,13798,,175,,20154,,12133,
2008-04-01,16145,,202,,20055,,12078,
2008-05-01,15500,,199,,19755,,11893,
2008-06-01,13714,,176,,18942,,11404,
2008-07-01,14166,,184,,18767,,11301,
2008-08-01,12943,,178,,16042,,9659,
2008-09-01,13308,,170,,16648,,10023,
2008-10-01,14488,,179,,19982,,12031,
2008-11-01,13252,,166,,18368,,11061,
2008-12-01,13894,,175,,19354,,11655,
2009-01-01,14393,,180,,18781,,11309,
2009-02-01,13006,,163,,17264,,10396,
2009-03-01,14429,,177,,20275,,12206,
2009-04-01,14055,,174,,18117,,10908,
2009-05-01,14432,,180,,17428,,10492,
2009-06-01,13970,,174,,16479,,9921,
2009-07-01,14532,,183,,16701,,10055,
2009-08-01,12637,,160,,13177,,7933,
2009-09-01,14485,,183,,14841,,8934,
2009-10-01,15639,,194,,18536,,11159,
2009-11-01,12880,,162,,15775,,9497,
2009-12-01,13900,,174,,15843,,9537,
2010-01-01,14080,,175,,15520,,9343,
2010-02-01,12786,,159,,14650,,8819,
2010-03-01,26460,,238,,28815,,24215,
2010-04-01,22127,,205,,23888,,19801,
2010-05-01,17259,,170,,18996,,14895,
2010-06-01,16306,,161,,14523,,14393,
2010-07-01,17876,,181,,18807,,14710,
2010-08-01,17478,,176,,16153,,13085,
2010-09-01,16066,,155,,15902,,12824,
2010-10-01,15921,,150,,17426,,13908,
2010-11-01,15174,,144,,16542,,13058,
2010-12-01,15693,,145,,15082,,11947,
2011-01-01,16124,,154,,14243,,10988,
2011-02-01,20755,,190,,18449,,14981,
2011-03-01,27525,,247,,29130,,24393,
2011-04-01,19623,,177,,18676,,16056,
2011-05-01,15646,,147,,16622,,13266,
2011-06-01,11471,,96,,10825,,9846,
2011-07-01,11411,,93,,11402,,10369,
2011-08-01,12538,,107,,11277,,10160,
2011-09-01,13799,,126,,12855,,10458,
2011-10-01,15829,,144,,17238,,13870,
2011-11-01,14926,,136,,16594,,13132,
2011-12-01,15536,,141,,15685,,12046,
2012-01-01,15196,,143,,16537,,11772,
2012-02-01,14378,,137,,16048,,11621,
2012-03-01,16591,,163,,19473,,14619,
2012-04-01,11447,,118,,14842,,10428,
2012-05-01,7469,,91,,10929,,6488,
2012-06-01,6475,,81,,10476,,6111,
2012-07-01,6706,,84,,9740,,5682,
