Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,10615,,93,,8054,,6860,
2002-11-01,9004,,83,,6594,,5621,
2002-12-01,10541,,94,,8242,,7010,
2003-01-01,10430,,93,,6660,,5671,
2003-02-01,9688,,84,,6047,,5804,
2003-03-01,9960,,86,,8128,,6933,
2003-04-01,10260,,89,,8360,,7131,
2003-05-01,13477,,117,,9733,,8302,
2003-06-01,13353,,116,,12281,,10476,
2003-07-01,13575,,118,,13208,,11261,
2003-08-01,12877,,116,,13447,,11466,
2003-09-01,12693,,112,,11019,,9392,
2003-10-01,12535,,112,,10848,,9246,
2003-11-01,12670,,113,,11388,,9708,
2003-12-01,13225,,118,,12106,,10314,
2004-01-01,12993,,117,,9683,,8257,
2004-02-01,13720,,115,,9904,,8813,
2004-03-01,17500,,146,,12618,,10759,
2004-04-01,15711,,139,,11823,,10078,
2004-05-01,17246,,145,,11702,,9980,
2004-06-01,16777,,148,,13482,,11500,
2004-07-01,17372,,152,,15785,,13465,
2004-08-01,15477,,136,,14544,,12406,
2004-09-01,13000,,114,,10702,,9129,
2004-10-01,13268,,120,,13048,,11130,
2004-11-01,12060,,111,,11567,,9867,
2004-12-01,14409,,134,,13165,,11230,
2005-01-01,13218,,124,,10362,,8839,
2005-02-01,11410,,108,,10333,,8814,
2005-03-01,12957,,125,,10333,,11228,
2005-04-01,11802,,114,,11515,,9822,
2005-05-01,15175,,145,,13187,,11252,
2005-06-01,15849,,150,,15448,,13176,
2005-07-01,16395,,155,,16591,,14150,
2005-08-01,16258,,155,,15855,,13524,
2005-09-01,15653,,150,,12064,,10291,
2005-10-01,15881,,152,,13162,,11226,
2005-11-01,15115,,145,,13678,,11667,
2005-12-01,15881,,152,,13800,,11771,
2006-01-01,16166,,153,,12124,,10341,
2006-02-01,14808,,140,,13505,,11520,
2006-03-01,14904,,143,,14876,,12689,
2006-04-01,14412,,139,,15141,,12914,
2006-05-01,16615,,162,,14685,,12525,
2006-06-01,18218,,177,,16315,,13916,
2006-07-01,18536,,180,,18020,,15374,
2006-08-01,18870,,183,,17185,,14661,
2006-09-01,18333,,178,,12013,,10247,
2006-10-01,19116,,185,,15222,,12984,
2006-11-01,19704,,175,,16002,,13652,
2006-12-01,17466,754,165,3,13410,304,11458,635
2007-01-01,20252,1071,179,4,13089,101,11166,207
2007-02-01,18578,1071,165,4,15633,182,13335,369
2007-03-01,20078,1338,179,5,17851,203,15229,414
2007-04-01,19817,1071,175,4,19258,251,16430,509
2007-05-01,19986,1071,182,4,17872,205,15247,418
2007-06-01,19340,1338,176,5,18341,403,15650,819
2007-07-01,19534,1071,181,4,20673,172,17637,349
2007-08-01,19816,803,182,3,21148,143,18036,300
2007-09-01,19193,,177,,17162,,14639,
2007-10-01,20440,,187,,18860,,16090,
2007-11-01,18118,,168,,18061,,15409,
2007-12-01,17125,,161,,15537,,13254,
2008-01-01,20789,,195,,16080,,13719,
2008-02-01,20460,,193,,17966,,15331,
2008-03-01,21936,,207,,21824,,18618,
2008-04-01,20624,,186,,20758,,17707,
2008-05-01,20496,,178,,19710,,16814,
2008-06-01,20225,,176,,20892,,17821,
2008-07-01,20997,,182,,21659,,18477,
2008-08-01,21193,,183,,21970,,18745,
2008-09-01,17538,,152,,16320,,13923,
2008-10-01,18023,,157,,17329,,14783,
2008-11-01,16786,,146,,15662,,13364,
2008-12-01,17532,,151,,15578,,13292,
2009-01-01,16736,,145,,13521,,11536,
2009-02-01,15105,,131,,13252,,11311,
2009-03-01,14665,,127,,13961,,11910,
2009-04-01,13788,,119,,13591,,11595,
2009-05-01,17496,,148,,15370,,13117,
2009-06-01,17601,,150,,17281,,14744,
2009-07-01,17788,,155,,18971,,16184,
2009-08-01,16850,,145,,17913,,15281,
2009-09-01,15787,,137,,14177,,12093,
2009-10-01,15490,,137,,14281,,12182,
2009-11-01,10179,,89,,10264,,8749,
2009-12-01,9937,,86,,9343,,7970,
2010-01-01,9963,,86,,7804,,6657,
2010-02-01,9270,,80,,7303,,6229,
2010-03-01,10038,,87,,9553,,8149,
2010-04-01,13639,,107,,11471,,11001,
2010-05-01,20650,,151,,16056,,16743,
2010-06-01,23803,,176,,17150,,21002,
2010-07-01,24211,,179,,22194,,22250,
2010-08-01,24923,,184,,23402,,23578,
2010-09-01,17701,,138,,15771,,14634,
2010-10-01,16468,,139,,16439,,13968,
2010-11-01,15069,,127,,14612,,12464,
2010-12-01,15398,,131,,14406,,12510,
2011-01-01,14144,,118,,12810,,10927,
2011-02-01,14341,,121,,13135,,11204,
2011-03-01,16616,,144,,15618,,13322,
2011-04-01,13967,,119,,14189,15,12116,
2011-05-01,16793,,139,,15970,27,13980,
2011-06-01,16328,,142,,16465,,14118,
2011-07-01,18947,,164,,20447,,17441,
2011-08-01,19791,,167,,21314,,18181,
2011-09-01,15907,,131,,17157,,14635,
2011-10-01,17017,,141,,18912,,16132,
2011-11-01,13885,,115,,15150,,12876,
2011-12-01,13061,,107,,13752,,11730,
2012-01-01,12329,,106,,12076,,10301,
2012-02-01,12002,,104,,12137,,10353,
2012-03-01,13844,,120,,13687,,11675,
2012-04-01,11393,,99,,11905,,10155,
2012-05-01,12836,,110,,13595,,11597,
2012-06-01,13875,,118,,15476,,13201,
2012-07-01,14581,,124,,15972,,13624,
2012-08-01,14351,,118,,16124,,13754,
2012-09-01,14315,,116,,15321,,13052,
2012-10-01,15600,,127,,16530,,14055,
2012-11-01,15779,,132,,16703,,14193,
2012-12-01,15180,,129,,15706,,13337,
2013-01-01,14305,,124,,14307,,12158,
2013-02-01,12857,,113,,12851,,10921,
2013-03-01,11853,,104,,12205,,10411,
2013-04-01,11193,,96,,12049,,10278,
2013-05-01,12947,,110,,14112,9,12018,
2013-06-01,14009,,119,,15527,28,13269,
2013-07-01,12007,,102,,13444,2,11469,
2013-08-01,14678,,121,,16438,,14022,
2013-09-01,14673,,119,,15772,,13454,
2013-10-01,14484,,122,,15572,,13278,
