Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,16089,,119,,8536,,8723,
2002-11-01,14604,,108,,7874,,8045,
2002-12-01,15679,,116,,11092,,11344,
2003-01-01,16085,,119,,7976,,8162,
2003-02-01,14201,,105,,5658,111,7535,
2003-03-01,14606,,108,,7475,47,7703,
2003-04-01,15659,,115,,9301,25,9550,
2003-05-01,17574,,130,,10030,,10270,
2003-06-01,18522,,137,,11309,,11580,
2003-07-01,19589,,146,,13156,,13468,
2003-08-01,19381,,147,,14937,,15292,
2003-09-01,14340,,106,,9836,,10067,
2003-10-01,14961,,111,,9153,,9369,
2003-11-01,13476,,106,,8488,,8692,
2003-12-01,15372,,114,,10530,,10785,
2004-01-01,12435,,92,,6457,,6608,
2004-02-01,13894,,111,,8201,,8397,
2004-03-01,15237,,120,,11215,,11487,
2004-04-01,13863,,113,,10694,32,10897,
2004-05-01,13877,,112,,10577,54,10883,
2004-06-01,15450,,122,,13517,,13841,
2004-07-01,17777,,140,,16638,,17037,
2004-08-01,16417,,133,,15148,,15512,
2004-09-01,14250,,119,,11648,,11928,
2004-10-01,15100,,124,,11183,,11451,
2004-11-01,14010,,113,,11137,,11404,
2004-12-01,13543,,109,,10558,,10811,
2005-01-01,12022,,95,,8878,,9090,
2005-02-01,10678,,84,,8653,,8862,
2005-03-01,11682,,92,,8653,,10933,
2005-04-01,13332,,105,,11412,,11686,
2005-05-01,15139,,121,,12317,,12613,
2005-06-01,16464,,132,,15032,,15396,
2005-07-01,18104,,145,,17122,,17534,
2005-08-01,17068,,137,,16442,,16836,
2005-09-01,15376,,124,,14435,,14785,
2005-10-01,14954,,121,,12503,,12791,
2005-11-01,14615,,118,,12303,,12599,
2005-12-01,15016,,121,,11895,,12182,
2006-01-01,14803,,119,,10744,,11001,
2006-02-01,13427,,108,,10392,,10642,
2006-03-01,12128,,96,,10882,,11147,
2006-04-01,12063,,95,,11480,,11754,
2006-05-01,18158,,143,,14626,,14977,
2006-06-01,17512,,138,,15978,,16364,
2006-07-01,18538,,146,,17358,,17775,
2006-08-01,17777,,140,,17240,,17654,
2006-09-01,14856,,117,,13774,,14092,
2006-10-01,15618,,123,,12379,,12676,
2006-11-01,15815,,117,,12446,,12740,
2006-12-01,13591,,108,,10767,,11026,
2007-01-01,15065,,118,,8952,,9167,
2007-02-01,13713,,107,,9428,,9656,
2007-03-01,11820,,91,,9920,,10160,
2007-04-01,13793,,106,,11085,,11366,
2007-05-01,16650,,124,,13217,,13534,
2007-06-01,17115,,126,,14942,,15322,
2007-07-01,21035,,155,,18773,,19225,
2007-08-01,19091,,140,,17527,,17950,
2007-09-01,19390,,144,,16812,,17215,
2007-10-01,18057,,134,,14983,,15345,
2007-11-01,15311,,116,,13115,,13432,
2007-12-01,15448,,118,,12686,,12995,
2008-01-01,14139,,104,,10379,,10633,
2008-02-01,14473,,106,,11237,,11508,
2008-03-01,13294,,97,,11074,,11341,
2008-04-01,14119,,106,,11642,,11921,
2008-05-01,19495,,155,,15069,,15436,
2008-06-01,17596,,150,,14829,,15185,
2008-07-01,20135,,158,,16863,,17273,
2008-08-01,20129,,155,,18057,,18494,
2008-09-01,15917,,116,,13976,,14311,
2008-10-01,15743,,120,,12883,,13193,
2008-11-01,15778,,114,,12415,,12717,
2008-12-01,15196,,110,,12690,,13001,
2009-01-01,16572,,120,,10288,,10537,
2009-02-01,14963,,108,,10141,,10392,
2009-03-01,17068,,123,,13014,,13327,
2009-04-01,16708,,120,,13020,,13336,
2009-05-01,17523,,125,,14064,,14402,
2009-06-01,17072,,121,,14544,,14896,
2009-07-01,17279,,124,,15959,,16343,
2009-08-01,17261,,124,,16492,,16888,
2009-09-01,16083,,119,,14206,,14547,
2009-10-01,16261,,124,,12922,,13232,
2009-11-01,11658,,88,,8052,,10094,
2009-12-01,10707,,78,,9179,,9399,
2010-01-01,8774,,63,,5324,,5452,
2010-02-01,10732,,80,,7889,,8078,
2010-03-01,11706,,87,,9641,,9872,
2010-04-01,14010,,100,,11407,,11776,
2010-05-01,18493,,124,,15324,,15692,
2010-06-01,20474,,137,,17277,,17692,
2010-07-01,23005,,156,,20957,40,21501,
2010-08-01,22914,,156,,21596,25,22098,
2010-09-01,18897,,125,,17077,162,17653,
2010-10-01,20562,,138,,16414,89,16994,
2010-11-01,18510,,126,,15501,51,15953,
2010-12-01,19352,,130,,16137,,16872,
2011-01-01,18387,,122,,13970,174,14347,
2011-02-01,16992,,112,,13120,188,13627,
2011-03-01,20149,,134,,16804,127,17344,
2011-04-01,20240,,135,,16891,122,17421,
2011-05-01,24442,,157,,20632,38,21807,
2011-06-01,23719,,152,,20589,9,21283,
2011-07-01,24278,,159,,22382,50,22962,
2011-08-01,25498,,166,,23853,125,24553,
2011-09-01,22843,,147,,21589,106,22216,
2011-10-01,22567,,145,,19964,174,20621,
2011-11-01,25933,,160,,21809,124,23530,
2011-12-01,26212,,162,,22091,103,23499,
2012-01-01,21848,,133,,16480,58,17669,
2012-02-01,20457,,127,,16566,56,17441,
2012-03-01,22524,,138,,18955,2,20461,
2012-04-01,22312,,139,,19836,,20810,
2012-05-01,26314,,167,,23338,,23932,
2012-06-01,29026,,185,,26155,,26941,
2012-07-01,28697,,189,,26419,,27140,
2012-08-01,29527,,191,,27972,,28743,
2012-09-01,26228,,165,,24173,66,24877,
2012-10-01,26424,,166,,23693,51,24362,
2012-11-01,19919,,124,,18696,,19145,
2012-12-01,20619,,122,,19102,,19560,
2013-01-01,17228,,103,,15196,,15561,
2013-02-01,14537,,88,,12452,,12769,
2013-03-01,15372,,94,,14171,,14511,
2013-04-01,17234,,105,,15542,,15915,
2013-05-01,20852,,128,,18973,,19446,
