Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,15226,,117,,8919,,8615,
2002-11-01,14061,,108,,7921,,7641,
2002-12-01,14455,,111,,8951,,8637,
2003-01-01,15233,,116,,6926,,6688,
2003-02-01,13720,,106,,5982,,6908,
2003-03-01,14213,,109,,7753,,7497,
2003-04-01,15244,,117,,8355,,8079,
2003-05-01,15594,,119,,9583,,9267,
2003-06-01,15130,,115,,11931,,11537,
2003-07-01,15257,,116,,12252,,11843,
2003-08-01,15259,,116,,13043,,12608,
2003-09-01,14751,,112,,11065,,10700,
2003-10-01,15145,,116,,11728,,11330,
2003-11-01,14246,,110,,10600,,10249,
2003-12-01,15397,,118,,11379,,11003,
2004-01-01,15168,,117,,9035,,8740,
2004-02-01,3154,,27,,8526,,2242,
2004-03-01,16857,,125,,9819,,9489,
2004-04-01,15045,,115,,9779,,9447,
2004-05-01,17638,,126,,10551,,10173,
2004-06-01,20390,,144,,13555,,13108,
2004-07-01,20083,,146,,14107,,13641,
2004-08-01,17949,,131,,11960,,11565,
2004-09-01,15443,,113,,9102,,8802,
2004-10-01,15039,,119,,11521,,11141,
2004-11-01,13764,,112,,10990,,10627,
2004-12-01,14727,,120,,11174,,10805,
2005-01-01,14341,,119,,9671,,9352,
2005-02-01,12604,,105,,10519,,10172,
2005-03-01,14830,,124,,10519,,12786,
2005-04-01,13540,,113,,11777,,11389,
2005-05-01,17064,,144,,14521,,14044,
2005-06-01,17615,,149,,16252,,15718,
2005-07-01,20713,,175,,17687,,17106,
2005-08-01,19290,,162,,16477,,15934,
2005-09-01,17137,,143,,12477,,12066,
2005-10-01,17027,,142,,11941,,11551,
2005-11-01,16624,,138,,12455,,12047,
2005-12-01,17387,,145,,12605,,12189,
2006-01-01,17387,,145,,10542,,10193,
2006-02-01,15828,,132,,11119,,10753,
2006-03-01,17267,,144,,14520,,14042,
2006-04-01,17147,,143,,15895,,15370,
2006-05-01,20974,,175,,17838,,17249,
2006-06-01,20372,,176,,18169,,17282,
2006-07-01,23400,,291,,23248,,17680,
2006-08-01,23373,,292,,23275,,17813,
2006-09-01,21511,,268,,17895,,13275,
2006-10-01,22152,,287,,18011,,13909,
2006-11-01,22667,,275,,19178,,14604,
2006-12-01,22076,,286,,18690,294,13227,
2007-01-01,26836,,318,,15369,205,11357,
2007-02-01,24027,,285,,17483,216,12287,
2007-03-01,27419,,326,,21655,221,15847,
2007-04-01,25942,,286,,22722,267,18059,
2007-05-01,27207,,273,,21759,232,18448,
2007-06-01,28377,,283,,27624,284,23167,
2007-07-01,27576,,235,,24037,26,22368,
2007-08-01,26498,,211,,23675,,22894,
2007-09-01,21601,,183,,17603,,17022,
2007-10-01,21492,,183,,18374,,17768,
2007-11-01,18236,,155,,15917,,15393,
2007-12-01,16708,,143,,13800,,13353,
2008-01-01,15420,,129,,9276,,8970,
2008-02-01,15163,,126,,10377,,10037,
2008-03-01,17155,,141,,14956,,14468,
2008-04-01,17077,,138,,14734,,14248,
2008-05-01,18574,,150,,16250,,15717,
2008-06-01,21640,,174,,18842,,18221,
2008-07-01,22824,,183,,19104,,18477,
2008-08-01,21612,,171,,18338,,17738,
2008-09-01,14900,,118,,13388,,12946,
2008-10-01,15006,,119,,13488,,13044,
2008-11-01,14385,,114,,12263,,11863,
2008-12-01,14845,,120,,12335,,11933,
2009-01-01,14919,,120,,10257,,9920,
2009-02-01,13201,,106,,8995,,8698,
2009-03-01,14923,,120,,10812,,10457,
2009-04-01,14768,,118,,11943,,11560,
2009-05-01,15960,,124,,12791,,12374,
2009-06-01,15376,,121,,13863,,13414,
2009-07-01,15437,,124,,14632,,14151,
2009-08-01,15820,,124,,14976,,14482,
2009-09-01,15683,,118,,12902,,12476,
2009-10-01,16578,,121,,13614,23,13187,
2009-11-01,16236,,118,,12778,53,12408,
2009-12-01,16512,,123,,11952,36,11592,
2010-01-01,16095,,118,,9352,62,9103,
2010-02-01,14774,,108,,9679,31,9390,
2010-03-01,15886,,117,,11903,22,11531,
2010-04-01,18043,,128,,13173,81,13876,
2010-05-01,23447,,163,,17872,,19828,
2010-06-01,22561,,155,,15393,,21132,
2010-07-01,21632,,149,,18385,,20619,
2010-08-01,21524,,147,,18207,,20581,
2010-09-01,18652,,135,,15762,,16807,
2010-10-01,15944,,127,,14647,,14164,
2010-11-01,13507,,106,,11227,,10857,
2010-12-01,10476,,83,,8822,,8574,
2011-01-01,9517,,75,,7146,,6910,
2011-02-01,9070,,70,,6396,,6185,
2011-03-01,12950,,99,,10179,,9843,
2011-04-01,13538,,104,,12344,,11937,
2011-05-01,16524,,131,,14830,,14341,
2011-06-01,17961,,139,,17281,,16711,
2011-07-01,18595,,143,,18196,,17596,
2011-08-01,19970,,151,,19102,,18472,
2011-09-01,18653,,140,,17378,,16805,
2011-10-01,19193,,140,,18148,,17549,
2011-11-01,22798,,159,,19753,,20119,
2011-12-01,20047,,142,,16284,,16549,
2012-01-01,19818,,142,,14263,,14457,
2012-02-01,19022,,138,,14439,,14672,
2012-03-01,21474,,154,,17309,,17804,
