Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,5061,,99,,6943,,2708,
2002-11-01,5191,,101,,7217,,2809,
2002-12-01,5989,,115,,8937,,3477,
2003-01-01,5938,,114,,8296,,3232,
2003-02-01,5554,,107,,8903,9,3470,
2003-03-01,5844,,113,,9404,4,3669,
2003-04-01,6054,,115,,8014,,3125,
2003-05-01,7311,,139,,9921,,3869,
2003-06-01,7620,,145,,11203,2,4370,
2003-07-01,7890,,151,,11072,,4325,
2003-08-01,7775,,150,,12370,,4826,
2003-09-01,6228,,116,,9227,,3599,
2003-10-01,6167,,119,,9563,,3730,
2003-11-01,5341,,105,,7808,,3047,
2003-12-01,5694,,109,,9336,,3644,
2004-01-01,5803,,114,,9429,,3680,
2004-02-01,5547,,112,,9397,,3663,
2004-03-01,5892,,120,,11258,,4391,
2004-04-01,5432,,113,,8993,,3505,
2004-05-01,5646,,113,,8395,5,3270,
2004-06-01,5944,,120,,9851,93,3878,
2004-07-01,5987,,121,,9525,550,3929,
2004-08-01,5728,994,117,4,10044,480,3940,844
2004-09-01,5379,994,109,4,7820,457,3077,916
2004-10-01,5647,1242,113,5,8446,615,3318,1106
2004-11-01,5344,994,106,4,8514,490,3354,810
2004-12-01,5848,994,116,4,10100,566,4003,804
2005-01-01,5666,1242,113,5,10303,702,4128,842
2005-02-01,5203,994,103,4,8319,606,3310,880
2005-03-01,5816,994,116,4,8319,606,4085,964
2005-04-01,5270,1491,107,6,9055,715,3563,1269
2005-05-01,5453,994,118,4,9303,476,3628,956
2005-06-01,5196,994,113,4,10242,466,3996,938
2005-07-01,5262,1242,113,5,9995,348,3896,699
2005-08-01,5347,994,115,4,9036,314,3524,639
2005-09-01,5125,994,110,4,266,7800,3026,621
2005-10-01,5400,745,115,3,8463,302,3300,613
2005-11-01,6156,248,131,1,8758,211,3472,146
2005-12-01,6792,1739,144,7,12105,607,4719,1253
2006-01-01,6858,1242,146,5,12813,565,4996,1158
2006-02-01,6204,994,132,4,12791,458,4987,930
2006-03-01,8487,994,178,4,17635,467,6876,948
2006-04-01,8156,1242,171,5,16618,589,6481,1192
2006-05-01,8685,994,182,4,17293,426,6743,866
2006-06-01,8455,994,175,4,16814,489,6559,990
2006-07-01,8749,1242,181,5,17341,322,6763,653
