Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2537,,35,,7505,,1771,
2002-11-01,2385,,34,,7195,,1698,
2002-12-01,2306,,36,,5606,,1323,
2003-01-01,9324,,36,,5419,,5555,
2003-02-01,8773,,28,,3777,,5687,
2003-03-01,10303,,31,,4793,,7729,
2003-04-01,9575,,30,,4648,,7136,
2003-05-01,10341,,31,,5437,,8751,
2003-06-01,19086,,30,,7161,,18032,
2003-07-01,22298,,31,,7559,,20878,
2003-08-01,22057,,31,,6968,,19246,
2003-09-01,21067,,30,,7093,,19131,
2003-10-01,22408,,31,,7854,,21693,
2003-11-01,21744,,31,,7557,,20828,
2003-12-01,22419,,31,,7640,,21102,
2004-01-01,23024,,32,,6310,,17428,
2004-02-01,20939,,29,,6826,,18853,
2004-03-01,22242,,31,,7224,,19953,
2004-04-01,21673,,30,,6852,,18925,
2004-05-01,22278,,31,,7636,,21091,
2004-06-01,21571,,30,,7676,,21201,
2004-07-01,22276,,31,,7793,,21524,
2004-08-01,21486,,31,,7349,,20124,
2004-09-01,21580,,30,,7524,,20781,
2004-10-01,22405,,31,,7934,,21914,
2004-11-01,21684,,30,,7618,,21041,
2004-12-01,22306,,31,,7862,,21715,
2005-01-01,22438,,31,,7765,,21447,
2005-02-01,20328,,28,,7115,,19652,
2005-03-01,21538,,31,,7801,,20930,
2005-04-01,34583,,48,,11370,,31404,
2005-05-01,43115,,60,,14866,,41060,
2005-06-01,39638,,56,,13769,,37391,
2005-07-01,40397,,56,,13975,,38599,
2005-08-01,41068,,57,,13362,,36906,
2005-09-01,41726,,58,,13431,,37096,
2005-10-01,42413,,59,,14951,,41295,
2005-11-01,39682,,56,,13992,,38338,
2005-12-01,40940,,58,,14146,,38432,
2006-01-01,41532,,58,,13719,,37892,
2006-02-01,36722,,52,,13002,,35288,
2006-03-01,41060,,57,,13856,,38270,
2006-04-01,40275,,56,,13409,,37036,
2006-05-01,42433,,59,,14443,,39892,
2006-06-01,40248,,56,,13999,,38665,
2006-07-01,41525,,59,,14430,,39922,
2006-08-01,40171,,57,,12270,,33890,
2006-09-01,41485,,58,,13349,,36870,
2006-10-01,42711,,60,,14323,,39225,
2006-11-01,39665,,57,,13278,,35858,
2006-12-01,40983,,57,,13412,,37044,
2007-01-01,40925,,57,,13598,,37558,
2007-02-01,35512,,52,,12743,,33672,
2007-03-01,41850,,58,,14406,,39789,
2007-04-01,43178,,60,,14201,,39223,
2007-05-01,44358,,62,,15189,,41952,
2007-06-01,43189,,60,,15138,,41811,
2007-07-01,44866,,62,,15660,,43253,
2007-08-01,44711,,62,,14406,,39789,
2007-09-01,43307,,61,,14745,,40137,
2007-10-01,46925,,66,,16231,,44711,
2007-11-01,46909,,66,,16043,,43687,
2007-12-01,44413,,62,,15287,,42223,
2008-01-01,44648,,62,,13938,,38497,
2008-02-01,40582,,58,,13879,,38334,
2008-03-01,44766,,62,,15433,,42626,
2008-04-01,43217,,60,,14870,,41071,
2008-05-01,44965,,62,,15740,,43474,
2008-06-01,42441,,60,,14508,,40071,
2008-07-01,44565,,62,,13747,,37969,
2008-08-01,44675,,62,,14082,,38894,
2008-09-01,43162,,60,,14102,,38950,
2008-10-01,44592,,62,,15335,,42355,
2008-11-01,44613,,63,,15544,,42933,
2008-12-01,44507,,63,,15171,,41276,
2009-01-01,44628,,62,,13198,,36453,
2009-02-01,42659,,60,,14158,,38758,
2009-03-01,56870,,79,,17684,,48843,
2009-04-01,53970,,77,,17528,,47339,
2009-05-01,57433,,80,,18525,,51166,
2009-06-01,54739,,77,,18209,,49743,
2009-07-01,57303,,80,,18669,,51564,
2009-08-01,55949,,79,,17634,,48129,
2009-09-01,54240,,75,,17394,,48042,
2009-10-01,54675,,77,,18331,,50050,
2009-11-01,52489,,73,,17203,,47515,
2009-12-01,55964,,78,,18105,,50006,
2010-01-01,54616,,77,,16363,,44755,
2010-02-01,49089,,68,,14754,,40751,
2010-03-01,53934,,75,,17236,,47606,
2010-04-01,55201,,77,,17048,,47087,
2010-05-01,56972,,79,,18505,,51111,
2010-06-01,55417,,77,,18679,,51591,
2010-07-01,58041,,81,,19423,,53646,
2010-08-01,56150,,79,,18303,,49979,
2010-09-01,57311,,78,,17789,,48659,
2010-10-01,63212,,84,,20747,,57187,
2010-11-01,63407,,83,,21006,,57887,
2010-12-01,67219,,86,,21988,,60598,
2011-01-01,66697,,85,,19741,,54418,
2011-02-01,59458,,76,,18610,,51289,
2011-03-01,65200,,84,,20653,,56404,
2011-04-01,63968,,82,,20162,,55579,
2011-05-01,65906,,84,,21538,,59359,
2011-06-01,63439,,81,,20893,,57567,
2011-07-01,65668,,84,,21798,,60081,
2011-08-01,65533,,84,,20313,,55978,
2011-09-01,58099,,73,,18543,,51216,
2011-10-01,61203,,77,,19985,,55199,
