Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,74387,,135,,18505,,59900,
2002-11-01,72780,,133,,17242,,52900,
2002-12-01,78486,,144,,21552,,61844,
2003-01-01,70517,,116,,12795,,34559,
2003-02-01,54882,,82,,12129,,30971,
2003-03-01,60025,,93,,16878,,42831,
2003-04-01,64551,,98,,19633,,49799,
2003-05-01,66846,,101,,18404,,46877,
2003-06-01,68524,,103,,23370,,60187,
2003-07-01,68149,,103,,25225,,64382,
2003-08-01,69393,,104,,25391,,64942,
2003-09-01,60980,,93,,18575,,48953,
2003-10-01,62894,,98,,21438,,55937,
2003-11-01,60239,,95,,20442,,52688,
2003-12-01,62422,,95,,21406,,55172,
2004-01-01,61464,,92,,17500,,44730,
2004-02-01,56742,,87,,17101,,43959,
2004-03-01,62170,,94,,20130,,51485,
2004-04-01,63949,,98,,21350,,55639,
2004-05-01,61817,,94,,22231,,56850,
2004-06-01,59961,,90,,22622,,57822,
2004-07-01,62070,,93,,23461,,59966,
2004-08-01,62132,,94,,23446,,60115,
2004-09-01,59143,,89,,22099,,56485,
2004-10-01,60894,,91,,22621,,57819,
2004-11-01,61459,,93,,22616,,57622,
2004-12-01,62489,,94,,21791,,56309,
2005-01-01,62011,,93,,21090,,53906,
2005-02-01,56063,,84,,19500,,49842,
2005-03-01,62412,,94,,21407,,55263,
2005-04-01,60173,,90,,20242,,51739,
2005-05-01,61206,,92,,22159,,56638,
2005-06-01,61334,,92,,21985,,56840,
2005-07-01,62172,,93,,23380,,59759,
2005-08-01,62057,,93,,23717,,60621,
2005-09-01,58773,,88,,20551,,52528,
2005-10-01,50581,,76,,19038,,48661,
2005-11-01,50624,,76,,18724,,47859,
2005-12-01,57855,,87,,21067,,54494,
2006-01-01,52567,,79,,18002,,46013,
2006-02-01,45177,,68,,16134,,41870,
2006-03-01,50098,,75,,17940,,45855,
2006-04-01,48892,,75,,17252,,44216,
2006-05-01,50767,,76,,18233,,46604,
2006-06-01,49942,,75,,18334,,46862,
2006-07-01,52534,,81,,19875,,50954,
2006-08-01,53993,,81,,19755,,51138,
2006-09-01,47751,,72,,15643,,39984,
2006-10-01,50044,,78,,18381,,47094,
2006-11-01,51629,,78,,17670,,46504,
2006-12-01,51853,,80,,18393,,47661,
2007-01-01,51703,,78,,16960,,43350,
2007-02-01,48375,,73,,17062,,44239,
2007-03-01,53254,,80,,19007,,48582,
2007-04-01,51319,,77,,18171,,46445,
2007-05-01,53017,,80,,19460,,49740,
2007-06-01,54006,,81,,19971,,51046,
2007-07-01,62021,,93,,22625,,57830,
2007-08-01,58931,,88,,21308,,55013,
2007-09-01,52393,,78,,18637,,48232,
2007-10-01,53423,,80,,19530,,50039,
2007-11-01,51935,,78,,18533,,48002,
2007-12-01,54024,,81,,18095,,46251,
2008-01-01,55435,,84,,17866,,45665,
2008-02-01,50039,,75,,16676,,42624,
2008-03-01,53285,,80,,18230,,46596,
2008-04-01,45435,,68,,16622,,42486,
2008-05-01,41430,,62,,15408,,39383,
2008-06-01,47296,,71,,16692,,42665,
2008-07-01,60792,,91,,20567,,52569,
2008-08-01,48687,,73,,17027,,43521,
2008-09-01,40699,,61,,14164,,36203,
2008-10-01,41402,,62,,15099,,38593,
2008-11-01,40638,,61,,13961,,35684,
2008-12-01,45479,,68,,16249,,41532,
2009-01-01,44651,,67,,14867,,38000,
2009-02-01,38677,,58,,13378,,35171,
2009-03-01,41428,,62,,14101,,36042,
2009-04-01,41531,,63,,13972,,36852,
2009-05-01,41374,,62,,14382,,37371,
2009-06-01,52971,,79,,19212,,49638,
2009-07-01,62134,,93,,21814,,55757,
2009-08-01,56838,,85,,19794,,51176,
2009-09-01,35976,,54,,12831,,32796,
2009-10-01,35339,,53,,12854,,32855,
2009-11-01,34741,,52,,12145,,31043,
2009-12-01,44597,,67,,15933,,40725,
2010-01-01,41400,,62,,13396,,34680,
2010-02-01,32078,,48,,10942,,27968,
2010-03-01,35381,,54,,12272,,31444,
2010-04-01,40801,,61,,13401,,35434,
2010-05-01,42146,,63,,14672,,38084,
2010-06-01,51900,,73,,18633,,47626,
2010-07-01,66837,,93,,24545,,62737,
2010-08-01,67818,,94,,23605,,60915,
2010-09-01,48052,,68,,15795,,41016,
2010-10-01,43953,,62,,16236,,41499,
2010-11-01,41816,,59,,14930,,38161,
2010-12-01,54923,,75,,20031,,51199,
2011-01-01,49594,,67,,17596,,44975,
2011-02-01,42082,,56,,14661,,37474,
2011-03-01,47233,,64,,16181,,41939,
2011-04-01,48845,,65,,16716,,42726,
