Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,24765,,31,,7697,,20035,
2002-11-01,23922,,30,,7902,,20569,
2002-12-01,24669,,32,,8486,,21960,
2003-01-01,24773,,32,,8101,,20894,
2003-02-01,26691,,40,,7880,,21215,
2003-03-01,30228,,45,,8787,,22790,
2003-04-01,27761,,42,,8189,,21082,
2003-05-01,28842,,44,,7802,,20265,
2003-06-01,28007,,42,,9532,,24706,
2003-07-01,29046,,43,,9145,,23709,
2003-08-01,49241,,73,,9222,,39276,
2003-09-01,28624,,49,,8793,,23665,
2003-10-01,29074,,44,,8848,,22940,
2003-11-01,32177,,48,,10821,,28019,
2003-12-01,40443,,62,,13016,,33164,
2004-01-01,31340,,47,,9805,,25398,
2004-02-01,27520,,41,,9935,,25745,
2004-03-01,40821,,62,,11636,,29886,
2004-04-01,35047,,53,,10857,,28089,
2004-05-01,30036,,45,,10305,,26695,
2004-06-01,28728,,43,,10178,,26372,
2004-07-01,29191,,44,,10259,,26581,
2004-08-01,28808,,43,,10095,,26166,
2004-09-01,28888,,43,,9890,,25629,
2004-10-01,29250,,44,,10537,,27302,
2004-11-01,33015,,49,,11816,,30865,
2004-12-01,41434,,62,,13776,,35589,
2005-01-01,33465,,50,,11127,,28794,
2005-02-01,26690,,40,,9355,,24238,
2005-03-01,29721,,44,,9169,,23764,
2005-04-01,28745,,43,,9941,,25754,
2005-05-01,29454,,44,,9692,,25116,
2005-06-01,28896,,43,,9969,,25834,
2005-07-01,29241,,44,,10416,,26984,
2005-08-01,29730,,45,,10956,,28376,
2005-09-01,28023,,42,,9398,,24365,
2005-10-01,30100,,45,,11327,,29340,
2005-11-01,28941,,43,,10689,,27691,
2005-12-01,29576,,44,,10563,,27370,
2006-01-01,29474,,44,,10692,,27701,
2006-02-01,26982,,40,,9957,,25795,
2006-03-01,29774,,44,,9842,,25503,
2006-04-01,29065,,43,,9902,,25654,
2006-05-01,30162,,45,,10424,,27003,
2006-06-01,28202,,42,,9457,,24510,
2006-07-01,30438,,45,,10482,,27154,
2006-08-01,29509,,44,,10021,,25963,
2006-09-01,29007,,43,,9156,,23722,
2006-10-01,33669,,51,,11701,,30074,
2006-11-01,40257,,60,,14135,,36514,
2006-12-01,41672,,63,,14318,,37132,
2007-01-01,41455,,62,,13497,,34875,
2007-02-01,37711,,56,,13163,,34006,
2007-03-01,41530,,62,,14756,,38114,
2007-04-01,39946,,60,,13410,,34638,
