Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,20941,,31,,6761,,17673,
2002-11-01,19908,,29,,6100,,15945,
2002-12-01,21215,,31,,6533,,17077,
2003-01-01,20236,,31,,5522,,14019,
2003-02-01,19200,,28,,5299,,13852,
2003-03-01,21024,,31,,6095,,15932,
2003-04-01,20666,,30,,6775,,17710,
2003-05-01,21328,,31,,7274,,19014,
2003-06-01,30913,,47,,10418,,26342,
2003-07-01,32446,,48,,12038,,31158,
2003-08-01,32491,,48,,11453,,29665,
2003-09-01,20564,,30,,7548,,19730,
2003-10-01,21335,,31,,7790,,20363,
2003-11-01,20397,,30,,7038,,18397,
2003-12-01,21226,,31,,7261,,18980,
2004-01-01,20974,,31,,6555,,17120,
2004-02-01,19751,,29,,7070,,18481,
2004-03-01,21111,,31,,7291,,19059,
2004-04-01,20447,,30,,7500,,19605,
2004-05-01,21186,,31,,7823,,20449,
2004-06-01,33751,,50,,12372,,31992,
2004-07-01,41453,,62,,15242,,39305,
2004-08-01,41662,,62,,14881,,38378,
2004-09-01,25036,,37,,8189,,21345,
2004-10-01,21341,,31,,7770,,20311,
2004-11-01,20768,,31,,7479,,19240,
2004-12-01,21270,,31,,7421,,19398,
2005-01-01,21111,,31,,7002,,18303,
2005-02-01,19124,,28,,6627,,17323,
2005-03-01,21354,,31,,7446,,19464,
2005-04-01,20562,,30,,7564,,19772,
2005-05-01,21213,,31,,7726,,20196,
2005-06-01,33607,,51,,11421,,29116,
2005-07-01,41418,,62,,14448,,37264,
2005-08-01,41755,,62,,15251,,39322,
2005-09-01,23878,,35,,8348,,21751,
2005-10-01,21092,,31,,7888,,20619,
2005-11-01,20414,,31,,7126,,18966,
2005-12-01,21137,,31,,7721,,20183,
2006-01-01,21155,,31,,7475,,19540,
2006-02-01,19035,,28,,7039,,18400,
2006-03-01,21226,,31,,7569,,19785,
2006-04-01,20486,,30,,7524,,19668,
2006-05-01,21207,,31,,7844,,20504,
2006-06-01,34996,,52,,12588,,32517,
2006-07-01,41649,,62,,14840,,38274,
2006-08-01,41772,,62,,14742,,38014,
2006-09-01,38198,,57,,11578,,29944,
2006-10-01,41135,,62,,13486,,35167,
2006-11-01,38124,,57,,12777,,32991,
2006-12-01,40840,,62,,13570,,34459,
2007-01-01,26383,,39,,8847,,23017,
2007-02-01,19785,,30,,7048,,18756,
2007-03-01,31498,,47,,11084,,28723,
2007-04-01,40249,,60,,12804,,33043,
2007-05-01,41426,,62,,13989,,36084,
2007-06-01,39991,,60,,13990,,36075,
2007-07-01,41166,,62,,14189,,36594,
2007-08-01,40770,,62,,14298,,36332,
2007-09-01,40023,,60,,13696,,35327,
2007-10-01,41341,,62,,14655,,37790,
2007-11-01,40392,,60,,13226,,34125,
2007-12-01,41505,,62,,12690,,32757,
2008-01-01,40860,,61,,10969,,28337,
2008-02-01,38647,,58,,11340,,29282,
2008-03-01,41410,,62,,13263,,34216,
2008-04-01,40131,,60,,14280,,36820,
2008-05-01,41360,,62,,14498,,37382,
2008-06-01,40067,,60,,12532,,32326,
2008-07-01,41579,,62,,12469,,32189,
2008-08-01,41521,,62,,13178,,34000,
2008-09-01,21048,,32,,7250,,18941,
2008-10-01,20886,,31,,7492,,19584,
2008-11-01,20504,,30,,6915,,18076,
2008-12-01,21064,,31,,7070,,18481,
2009-01-01,20988,,31,,7002,,18303,
2009-02-01,18254,,27,,6549,,17119,
2009-03-01,21696,,32,,7330,,19161,
2009-04-01,20360,,30,,7110,,18586,
2009-05-01,20496,,31,,7372,,18672,
2009-06-01,20379,,30,,7380,,19291,
2009-07-01,21064,,31,,7391,,19320,
2009-08-01,21090,,31,,7524,,19668,
2009-09-01,20468,,30,,7117,,18604,
2009-10-01,20975,,31,,7396,,19333,
2009-11-01,20400,,30,,6900,,18037,
2009-12-01,21030,,31,,7164,,18727,
2010-01-01,21043,,31,,6528,,17064,
2010-02-01,18933,,28,,6200,,16207,
2010-03-01,21064,,31,,7244,,18936,
2010-04-01,20405,,30,,6923,,18097,
2010-05-01,21064,,31,,7324,,19145,
2010-06-01,28975,,43,,10346,,26821,
2010-07-01,41650,,62,,14051,,36236,
2010-08-01,36766,,55,,11960,,30906,
2010-09-01,20449,,30,,7129,,18635,
2010-10-01,21139,,31,,7661,,20026,
2010-11-01,20353,,30,,7091,,18536,
2010-12-01,21142,,31,,7320,,19134,
2011-01-01,21181,,31,,7183,,18776,
2011-02-01,19030,,28,,6418,,16777,
2011-03-01,20967,,31,,7272,,19009,
2011-04-01,20376,,30,,7149,,18687,
2011-05-01,21037,,31,,7450,,19474,
2011-06-01,20347,,30,,7354,,19223,
2011-07-01,21024,,31,,7315,,19121,
2011-08-01,21077,,31,,7328,,19155,
2011-09-01,20245,,30,,7019,,18348,
2011-10-01,21098,,31,,7155,,18703,
2011-11-01,20366,,30,,6932,,18120,
2011-12-01,21048,,31,,7129,,18635,
2012-01-01,20962,,31,,6881,,17987,
2012-02-01,19568,,29,,6430,,16808,
2012-03-01,21030,,31,,7114,,18596,
2012-04-01,20311,,30,,6838,,17875,
2012-05-01,20962,,31,,7295,,19069,
2012-06-01,21035,,30,,7457,,19493,
2012-07-01,23824,,31,,8021,,20967,
2012-08-01,23824,,31,,8188,,21403,
2012-09-01,23055,,30,,7752,,20264,
2012-10-01,23824,,31,,8272,,21623,
2012-11-01,21623,,30,,7518,,19652,
2012-12-01,22316,,31,,7709,,20151,
2013-01-01,21494,,31,,7549,,19733,
2013-02-01,19940,,28,,6808,,17796,
2013-03-01,23048,,32,,7790,,20363,
2013-04-01,21484,,30,,7348,,19208,
2013-05-01,23466,,31,,8303,,21704,
2013-06-01,23055,,30,,8429,,22033,
2013-07-01,23824,,31,,8503,,22227,
2013-08-01,23824,,31,,8589,,22452,
