Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,41887,,62,,13388,,35615,
2002-11-01,41075,,60,,13641,,36280,
2002-12-01,42866,,62,,13176,,35056,
2003-01-01,43193,,62,,12960,,34474,
2003-02-01,37546,,56,,12212,,31726,
2003-03-01,42855,,62,,13322,,35440,
2003-04-01,41351,,60,,13202,,35102,
2003-05-01,42891,,63,,11798,,31396,
2003-06-01,41105,,60,,12307,,32737,
2003-07-01,42683,,62,,12972,,34514,
2003-08-01,63932,,93,,13697,,55918,
2003-09-01,33216,,54,,11455,,29679,
2003-10-01,33905,,49,,11891,,31680,
2003-11-01,35482,,51,,12676,,33746,
2003-12-01,42712,,62,,14592,,38807,
2004-01-01,35552,,51,,11971,,31887,
2004-02-01,33298,,49,,11815,,31462,
2004-03-01,63567,,92,,19207,,51399,
2004-04-01,55792,,84,,16889,,44353,
2004-05-01,43630,,63,,11347,,30258,
2004-06-01,38207,,56,,13191,53,35232,
2004-07-01,42636,,62,,13864,94,37131,
2004-08-01,42358,,62,,13942,119,37398,
2004-09-01,34380,,50,,11273,115,30329,
2004-10-01,33546,,49,,12064,109,32422,
2004-11-01,37541,,54,,13329,67,35660,
2004-12-01,42814,,62,,14459,72,38636,
2005-01-01,35643,,52,,12041,65,32234,
2005-02-01,38638,,56,,13240,27,35369,
2005-03-01,41524,,60,,13487,34,36040,
2005-04-01,41523,,60,,13969,1,37248,
2005-05-01,42856,,62,,14048,,37456,
2005-06-01,41551,,60,,13990,,37321,
2005-07-01,42826,,62,,15135,,40359,
2005-08-01,42754,,62,,15412,,41106,
2005-09-01,41240,,60,,14258,,38016,
2005-10-01,33176,,48,,12189,,32471,
2005-11-01,35615,,52,,12780,,33869,
2005-12-01,39501,,57,,14143,,37699,
2006-01-01,35370,,51,,12587,,33534,
2006-02-01,31407,,45,,11394,,30352,
2006-03-01,33741,,49,,11570,,30816,
2006-04-01,33130,,49,,11378,,30317,
2006-05-01,33062,,48,,10893,,29023,
2006-06-01,33161,,48,,10808,,28796,
2006-07-01,33464,,48,,11533,,30733,
2006-08-01,33728,,49,,11648,,31029,
2006-09-01,32700,,47,,11214,,29875,
2006-10-01,38678,,57,,13847,,37054,
2006-11-01,44310,,65,,15174,,40364,
2006-12-01,49259,,75,,17375,,46133,
2007-01-01,51842,,75,,16622,,44238,
2007-02-01,47196,,68,,16546,,44038,
2007-03-01,51738,,75,,18279,,48656,
2007-04-01,50520,,73,,16934,,45083,
2007-05-01,52071,,75,,16680,,44403,
2007-06-01,54622,,79,,17356,,46223,
2007-07-01,64353,,93,,19350,,51571,
2007-08-01,65561,,94,,21011,,56609,
2007-09-01,61449,,88,,19325,,51487,
2007-10-01,64864,,93,,23443,,62464,
2007-11-01,62547,,90,,22088,,58855,
2007-12-01,64739,,93,,21195,,56474,
2008-01-01,64745,,93,,20910,,55707,
2008-02-01,60573,,87,,20638,,54989,
2008-03-01,64439,,93,,21966,,58526,
2008-04-01,62659,,90,,18345,,48865,
2008-05-01,42822,,62,,14248,,37887,
2008-06-01,42389,,61,,13120,,34894,
2008-07-01,42755,,62,,11621,,30913,
2008-08-01,42890,,62,,12688,,33741,
2008-09-01,43726,,63,,13338,,35482,
2008-10-01,45815,,66,,15273,,40608,
2008-11-01,61866,,89,,17039,,45359,
2008-12-01,60217,,87,,17679,,47081,
2009-01-01,64091,,92,,18127,,48269,
2009-02-01,56305,,81,,18512,,49311,
2009-03-01,52768,,76,,17647,,46966,
2009-04-01,50046,,72,,16332,,43462,
2009-05-01,52677,,76,,16685,,44410,
2009-06-01,50715,,74,,16915,,45023,
2009-07-01,51540,,74,,16653,,44322,
2009-08-01,52765,,76,,16839,,44824,
2009-09-01,50472,,73,,15373,,40911,
2009-10-01,51981,,75,,17071,,45431,
2009-11-01,50588,,73,,16318,,43430,
2009-12-01,52323,,75,,17169,,45698,
2010-01-01,53202,,77,,17650,,46981,
2010-02-01,47229,,68,,15757,,41941,
2010-03-01,51799,,75,,17460,,46476,
2010-04-01,49791,,71,,15690,,41755,
2010-05-01,52583,,76,,16242,,43244,
2010-06-01,50701,,73,,16529,,44006,
2010-07-01,52060,,75,,17004,,45269,
2010-08-01,52752,,76,,18249,,48577,
2010-09-01,48768,,71,,16275,,42879,
2010-10-01,54859,,79,,19370,,51566,
2010-11-01,52761,,76,,17850,,47516,
2010-12-01,52384,,76,,17789,,47349,
2011-01-01,52979,,76,,17772,,47305,
2011-02-01,47709,,69,,16366,,43564,
2011-03-01,51926,,75,,17849,,47506,
2011-04-01,43736,,63,,14646,,38947,
2011-05-01,42945,,62,,14252,,37892,
2011-06-01,41529,,60,,13944,,37074,
2011-07-01,42869,,62,,14043,,37334,
2011-08-01,51364,,74,,16885,,45494,
2011-09-01,42169,,61,,13961,,37117,
2011-10-01,43031,,62,,14917,,39656,
2011-11-01,49869,,72,,16764,,44611,
2011-12-01,48308,,70,,16590,,44137,
2012-01-01,43629,,63,,14818,,39398,
2012-02-01,39820,,58,,13837,,36786,
2012-03-01,43026,,62,,14896,,39602,
2012-04-01,41614,,60,,13815,,36725,
2012-05-01,42781,,62,,14071,,37407,
2012-06-01,41685,,60,,14316,,38058,
2012-07-01,43013,,62,,14397,,38279,
2012-08-01,42892,,62,,14518,,38597,
2012-09-01,42624,,62,,13911,,36989,
2012-10-01,42849,,62,,14811,,39372,
2012-11-01,41431,,60,,13893,,36932,
2012-12-01,42399,,62,,14563,,38718,
2013-01-01,42670,,62,,14206,,37762,
2013-02-01,38801,,56,,12918,,34340,
2013-03-01,42864,,62,,14553,,38687,
2013-04-01,41706,,60,,13726,,36484,
2013-05-01,42918,,62,,14079,,37427,
2013-06-01,41522,,60,,14574,,38743,
2013-07-01,43054,,62,,14239,,37858,
2013-08-01,43571,,63,,14019,,37265,
2013-09-01,41147,,60,,13128,,34898,
2013-10-01,42726,,62,,14801,,39349,
2013-11-01,42127,,60,,13231,,35171,
2013-12-01,48144,,62,,16312,,43368,
2014-01-01,48459,,62,,15744,,41862,
2014-02-01,43770,,56,,14311,,38052,
2014-03-01,48459,,62,,16043,,42650,
2014-04-01,47683,,61,,14983,,39827,
2014-05-01,48459,,62,,14695,,39067,
2014-06-01,46896,,60,,15317,,40727,
2014-07-01,48379,,62,,16265,,43240,
2014-08-01,46577,,60,,15716,,41778,
2014-09-01,47593,,61,,14619,,38870,
2014-10-01,48459,,62,,16244,,43176,
2014-11-01,46896,,60,,15006,,39890,
2014-12-01,48459,,62,,16553,,44010,
2015-01-01,48459,,62,,14874,,39547,
2015-02-01,43689,,56,,14921,,39667,
2015-03-01,48459,,62,,16632,,44216,
2015-04-01,46896,,60,,14598,,38792,
2015-05-01,48358,,62,,13880,,36910,
2015-06-01,46896,,60,,14298,,38017,
2015-07-01,48300,,62,,14824,,39422,
2015-08-01,48379,,62,,15846,,42128,
2015-09-01,46896,,60,,14705,,39106,
2015-10-01,48459,,62,,16712,,44426,
2015-11-01,46896,,60,,15680,,41689,
2015-12-01,48459,,62,,16697,,44395,
2016-01-01,48459,,62,,15382,,40899,
2016-02-01,47694,,61,,15836,,42109,
2016-03-01,50033,,64,,17283,,46458,
2016-04-01,47683,,61,,15862,,42862,
2016-05-01,48459,,62,,16064,,42701,
2016-06-01,46896,,60,,15897,,42267,
2016-07-01,48256,,62,,16081,,42762,
2016-08-01,48427,,62,,16531,,43961,
2016-09-01,46768,,60,,15465,,41792,
2016-10-01,48288,,62,,16972,,45118,
2016-11-01,46811,,60,,16384,,43558,
2016-12-01,49161,,63,,17292,,46660,
2017-01-01,48129,,62,,16019,,42598,
2017-02-01,43088,,56,,14890,,39589,
2017-03-01,48117,,62,,17010,,45220,
