Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,27842,,43,,8768,,20927,
2002-11-01,27160,,42,,8358,,19943,
2002-12-01,32319,,50,,10218,,24324,
2003-01-01,22420,,36,,5193,,12434,
2003-02-01,18346,,29,,4912,,11769,
2003-03-01,19564,,31,,5899,,14152,
2003-04-01,20133,,33,,6608,,16035,
2003-05-01,19370,,31,,6253,,15001,
2003-06-01,19506,,31,,6892,,17119,
2003-07-01,19221,,31,,7448,,17868,
2003-08-01,19465,,31,,7173,,17208,
2003-09-01,18775,,30,,6962,,16702,
2003-10-01,19331,,31,,7255,,17405,
2003-11-01,18669,,30,,6954,,16683,
2003-12-01,19749,,32,,7148,,17726,
2004-01-01,19487,,31,,6531,,15668,
2004-02-01,18665,,31,,6683,,16469,
2004-03-01,19441,,31,,6937,,16642,
2004-04-01,18808,,30,,6845,,16421,
2004-05-01,19254,,31,,7008,,16812,
2004-06-01,18683,,30,,7533,,18072,
2004-07-01,19293,,31,,7715,,18508,
2004-08-01,19372,,31,,7248,,17388,
2004-09-01,18563,,30,,7008,,16812,
2004-10-01,19348,,31,,7430,,17825,
2004-11-01,18432,,30,,6995,,16781,
2004-12-01,19199,,31,,7145,,17141,
2005-01-01,19582,,32,,6657,,16074,
2005-02-01,17414,,28,,6205,,14886,
2005-03-01,19379,,31,,6901,,16555,
2005-04-01,18681,,30,,6469,,15519,
2005-05-01,19360,,31,,7414,,17786,
2005-06-01,18806,,30,,7347,,17625,
2005-07-01,19346,,31,,7468,,17916,
2005-08-01,19473,,31,,7622,,18285,
2005-09-01,18875,,30,,7505,,18004,
2005-10-01,19348,,31,,7359,,17654,
2005-11-01,18647,,30,,6983,,16752,
2005-12-01,19377,,31,,7506,,18007,
2006-01-01,19295,,31,,7102,,17038,
2006-02-01,17395,,28,,6537,,15682,
2006-03-01,19398,,31,,6971,,16723,
2006-04-01,18784,,30,,6894,,16539,
2006-05-01,19470,,31,,7212,,17302,
2006-06-01,18686,,30,,7220,,17321,
2006-07-01,19214,,31,,7467,,17913,
2006-08-01,19492,,31,,7102,,17038,
2006-09-01,18848,,31,,6835,,16490,
2006-10-01,19175,,31,,7401,,17755,
2006-11-01,18156,,30,,7070,,16570,
2006-12-01,18575,,30,,6664,,15987,
2007-01-01,19458,,31,,6805,,16325,
2007-02-01,17347,,28,,6678,,16021,
2007-03-01,19318,,32,,7245,,17484,
2007-04-01,18688,,30,,7051,,16915,
2007-05-01,19413,,31,,7465,,17909,
2007-06-01,18976,,30,,7413,,17784,
2007-07-01,19461,,31,,7325,,17573,
2007-08-01,19458,,31,,7047,,16906,
2007-09-01,20128,,32,,7113,,17592,
2007-10-01,18935,,30,,6979,,17304,
2007-11-01,18902,,30,,6797,,16306,
2007-12-01,20116,,32,,6824,,16371,
2008-01-01,18878,,30,,6630,,15905,
2008-02-01,19004,,31,,6395,,15342,
2008-03-01,19458,,31,,7010,,16817,
2008-04-01,20742,,33,,7801,,18715,
2008-05-01,19470,,31,,7290,,17489,
2008-06-01,18849,,30,,6582,,15790,
2008-07-01,19475,,31,,6678,,16021,
2008-08-01,20101,,32,,6985,,16757,
2008-09-01,18755,,30,,6278,,15061,
2008-10-01,19487,,31,,7151,,17155,
2008-11-01,18842,,30,,6620,,15881,
2008-12-01,19441,,31,,6808,,16332,
2009-01-01,19474,,32,,6309,,15235,
2009-02-01,17727,,29,,6369,,15407,
2009-03-01,19465,,31,,6890,,16529,
2009-04-01,18758,,30,,6882,,16510,
2009-05-01,19430,,31,,7004,,16803,
2009-06-01,18854,,30,,7210,,17297,
2009-07-01,19487,,31,,7310,,17537,
2009-08-01,20108,,32,,7187,,17834,
2009-09-01,17558,,28,,6586,,15800,
2009-10-01,19516,,31,,7208,,17885,
2009-11-01,18808,,30,,6911,,16579,
2009-12-01,19475,,31,,7064,,16947,
2010-01-01,20080,,32,,6535,,15677,
2010-02-01,17575,,28,,5795,,13902,
2010-03-01,20807,,33,,6924,,17453,
2010-04-01,18796,,30,,6622,,15886,
2010-05-01,20075,,32,,6965,,17184,
2010-06-01,19552,,31,,7114,,17657,
2010-07-01,20255,,32,,7302,,18076,
2010-08-01,19593,,31,,7132,,17110,
2010-09-01,19573,,31,,6683,,16584,
2010-10-01,19470,,31,,7252,,17398,
2010-11-01,18861,,30,,6898,,16548,
2010-12-01,23234,,37,,8628,,20699,
2011-01-01,18895,,30,,6467,,15514,
2011-02-01,17489,,28,,6011,,14420,
2011-03-01,20104,,32,,6805,,16870,
2011-04-01,19487,,31,,6920,,17150,
2011-05-01,19458,,31,,7023,,16848,
2011-06-01,18919,,30,,7240,,17369,
2011-07-01,20214,,32,,7175,,17762,
2011-08-01,20327,,32,,6849,,17119,
2011-09-01,18952,,30,,6596,,15824,
2011-10-01,18873,,30,,7154,,17162,
2011-11-01,21513,,32,,7807,,18729,
2011-12-01,22570,,32,,8196,,19662,
2012-01-01,22426,,32,,7908,,18971,
2012-02-01,20454,,29,,7356,,17647,
2012-03-01,21709,,31,,7992,,19173,
2012-04-01,21015,,30,,7546,,18103,
2012-05-01,21864,,31,,8217,,19713,
2012-06-01,21637,,31,,8069,,19358,
2012-07-01,21781,,31,,8003,,19199,
2012-08-01,22498,,32,,7764,,18626,
2012-09-01,20843,,30,,6846,,16424,
2012-10-01,22498,,32,,7990,,19168,
2012-11-01,21159,,30,,7837,,18801,
2012-12-01,21793,,31,,8092,,19413,
2013-01-01,21847,,31,,7861,,18859,
2013-02-01,20310,,29,,7144,,17138,
2013-03-01,22570,,32,,8049,,19310,
2013-04-01,21159,,30,,7759,,18614,
2013-05-01,21721,,31,,8163,,19583,
2013-06-01,21159,,30,,8360,,20056,
2013-07-01,21864,,31,,8298,,19907,
2013-08-01,21864,,31,,8171,,19602,
2013-09-01,21159,,30,,7217,,17314,
2013-10-01,21864,,31,,8031,,19266,
2013-11-01,21159,,30,,7248,,17388,
2013-12-01,23131,,33,,8446,,20262,
2014-01-01,21864,,31,,7591,,18211,
2014-02-01,19749,,28,,6750,,16193,
2014-03-01,21864,,31,,7275,,17453,
2014-04-01,22616,,32,,7707,,19017,
2014-05-01,21855,,31,,7831,,18779,
2014-06-01,21078,,30,,7950,,19064,
2014-07-01,21855,,31,,7733,,18544,
2014-08-01,21700,,31,,6817,,16870,
2014-09-01,21855,,31,,6757,,16203,
2014-10-01,21783,,31,,7725,,18525,
2014-11-01,25818,,37,,8079,,19287,
2014-12-01,36987,,54,,12676,,30076,
2015-01-01,42405,,61,,10938,,25990,
2015-02-01,38987,,56,,10735,,25481,
2015-03-01,42477,,61,,13252,,31428,
2015-04-01,41772,,60,,12826,,30403,
2015-05-01,43110,,62,,13892,,32951,
2015-06-01,41772,,60,,15385,,36439,
2015-07-01,42376,,61,,14385,,34097,
2015-08-01,43092,,62,,12170,,28851,
2015-09-01,41772,,60,,12374,,29343,
2015-10-01,42948,,62,,13840,,32817,
2015-11-01,41084,,59,,11950,,28354,
2015-12-01,43164,,62,,14104,,33414,
2016-01-01,43164,,62,,11546,,27403,
2016-02-01,40063,,58,,12196,,28914,
2016-03-01,43164,,62,,15417,,36524,
2016-04-01,41772,,60,,15373,,36409,
2016-05-01,43080,,62,,16630,,39391,
2016-06-01,41700,,60,,16501,,39075,
2016-07-01,43164,,62,,16929,,40090,
2016-08-01,43092,,62,,16663,,39457,
2016-09-01,39907,,59,,15308,,36247,
2016-10-01,40927,,62,,16160,,38268,
2016-11-01,38951,,59,,14384,,34057,
2016-12-01,41050,,62,,15203,,36578,
2017-01-01,41311,,62,,14067,,33340,
2017-02-01,36977,,56,,12607,,29885,
2017-03-01,40834,,62,,14771,,35005,
