Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,8166,,31,,4021,,6538,
2002-11-01,7902,,30,,3374,,5486,
2002-12-01,8166,,30,,4215,,6854,
2003-01-01,8166,,31,,4160,,6764,
2003-02-01,7376,,27,,3384,,5502,
2003-03-01,7902,,30,,4179,,6795,
2003-04-01,7902,,30,,4099,,6665,
2003-05-01,8429,,32,,4376,,7115,
2003-06-01,7902,,30,,4648,,7558,
2003-07-01,8166,,31,,4855,,7894,
2003-08-01,8166,,31,,4794,,7795,
2003-09-01,7658,,30,,4080,,6634,
2003-10-01,7863,,31,,4003,,6509,
2003-11-01,7610,,30,,3405,,5537,
2003-12-01,7863,,31,,3987,,6483,
2004-01-01,14450,,55,,5313,,8813,
2004-02-01,15291,,58,,5801,,9745,
2004-03-01,16346,,62,,7114,,11977,
2004-04-01,15818,,60,,6895,,11628,
2004-05-01,19643,,75,,8736,,14631,
2004-06-01,23428,,90,,11611,,19383,
2004-07-01,24209,,93,,12407,,20664,
2004-08-01,24209,,93,,11995,,19981,
2004-09-01,23428,,90,,9641,,16036,
2004-10-01,24209,,93,,10020,,16687,
2004-11-01,23174,,89,,9791,,16305,
2004-12-01,24209,,93,,10821,,18023,
2005-01-01,24209,,88,,10302,,17144,
2005-02-01,21866,,84,,9444,,15719,
2005-03-01,24209,,91,,12202,,20357,
2005-04-01,23428,,90,,11372,,18979,
2005-05-01,24209,,93,,11857,,19776,
2005-06-01,23428,,90,,12694,,21193,
2005-07-01,24209,,93,,12980,,21656,
2005-08-01,24209,,93,,12784,,21346,
2005-09-01,23428,,90,,10649,,17740,
2005-10-01,24209,,93,,10482,,17474,
2005-11-01,23174,,89,,9850,,16404,
2005-12-01,24209,,93,,10980,,18279,
2006-01-01,24209,,93,,10786,,17935,
2006-02-01,21339,,82,,9174,,15260,
2006-03-01,24209,,93,,12403,,20677,
2006-04-01,23428,,90,,10871,,18112,
2006-05-01,24209,,93,,9984,,16588,
2006-06-01,27487,,106,,13688,,22752,
2006-07-01,32072,,124,,16301,,27033,
2006-08-01,32072,,124,,15949,,26420,
2006-09-01,24696,,95,,10383,,17223,
2006-10-01,24209,,93,,9783,,16257,
2006-11-01,22901,,88,,8931,,14858,
2006-12-01,22921,,88,,9594,,15959,
2007-01-01,23935,,92,,9025,,15004,
2007-02-01,20051,,77,,7103,,11823,
2007-03-01,23428,,90,,10556,,17611,
2007-04-01,23174,,89,,9418,,15725,
2007-05-01,19863,,79,,8781,,14725,
2007-06-01,27630,,111,,13372,,22223,
2007-07-01,29375,,118,,14394,,23927,
2007-08-01,29863,,120,,14732,,24469,
2007-09-01,22752,,91,,9173,,15290,
2007-10-01,23034,,92,,8863,,14808,
2007-11-01,21757,,87,,8085,,13481,
2007-12-01,22508,,90,,9011,,15017,
2008-01-01,21064,,84,,8846,,14753,
2008-02-01,19806,,79,,7831,,13077,
2008-03-01,23278,,93,,11352,,18928,
2008-04-01,20332,,81,,8846,,14771,
2008-05-01,20576,,82,,9382,,15699,
2008-06-01,21513,,86,,10478,,17508,
2008-07-01,25191,,101,,12332,,20536,
2008-08-01,27874,,112,,13045,,21678,
2008-09-01,22020,,88,,10526,,17592,
2008-10-01,22302,,89,,9479,,15908,
2008-11-01,21288,,85,,6477,,10825,
2008-12-01,21757,,87,,8508,,14157,
2009-01-01,22245,,89,,7849,,13057,
2009-02-01,20762,,83,,6449,,10735,
2009-03-01,22771,,91,,8827,,14714,
2009-04-01,21288,,85,,8360,,13939,
2009-05-01,21083,,84,,8605,,14441,
2009-06-01,22527,,90,,9786,,16400,
2009-07-01,23034,,92,,11388,,19052,
2009-08-01,23278,,93,,11358,,18995,
2009-09-01,20495,,84,,9270,,15531,
2009-10-01,19457,,85,,8590,,14425,
2009-11-01,17912,,71,,6924,,11641,
