Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,54595,,325,,42553,,44175,
2002-11-01,57940,,344,,46397,,48250,
2002-12-01,68796,,405,,55542,,57994,
2003-01-01,71913,,425,,60887,,63686,
2003-02-01,72268,,407,,55874,,58550,
2003-03-01,84902,,500,,71999,,75461,
2003-04-01,86661,,510,,70036,,73445,
2003-05-01,76774,,426,,60284,,65949,
2003-06-01,73925,,401,,57597,,65140,
2003-07-01,74421,,403,,60469,,68363,
2003-08-01,74421,,401,,60132,,68108,
2003-09-01,81239,,435,,52946,,60482,
2003-10-01,96281,,518,,65800,,76633,
2003-11-01,97798,,531,,70146,,81300,
2003-12-01,106120,,575,,74363,,86800,
2004-01-01,103592,,578,,79663,,91130,
2004-02-01,107491,,615,,82161,,91812,
2004-03-01,119004,,682,,97862,,109292,
2004-04-01,123985,,710,,98262,,109864,
2004-05-01,96891,,545,,76508,,86759,
2004-06-01,85934,,480,,68988,,78874,
2004-07-01,92801,,520,,74559,,84854,
2004-08-01,93968,,527,,75232,,85131,
2004-09-01,99800,,490,,58375,,65565,
2004-10-01,126519,,717,,90302,,101211,
2004-11-01,127955,,726,,96731,,108812,
2004-12-01,138650,,791,,99995,,112524,
2005-01-01,139015,,767,,102167,,115541,
2005-02-01,133295,,756,,96392,,108831,
2005-03-01,157054,,891,,125979,,141238,
2005-04-01,151994,,867,,116054,,129989,
2005-05-01,133014,,755,,103956,,116859,
2005-06-01,126973,,718,,103361,,116771,
2005-07-01,131206,,743,,106255,,120199,
2005-08-01,131206,,728,,99076,,111976,
2005-09-01,122804,,689,,86445,,97536,
2005-10-01,129996,,742,,86909,,97540,
2005-11-01,157666,,904,,106506,,118928,
2005-12-01,159182,,914,,121342,,135387,
2006-01-01,152089,,850,,114341,,129753,
2006-02-01,147950,,807,,105154,,121848,
2006-03-01,179520,,991,,132180,,152785,
2006-04-01,173039,,955,,126214,,145652,
2006-05-01,135104,,729,,98310,,113829,
2006-06-01,128115,,690,,92663,,108226,
2006-07-01,132051,,711,,98320,,115492,
2006-08-01,129116,,696,,92167,,107928,
2006-09-01,124298,,667,,75427,,87470,
2006-10-01,132865,,711,,87767,,102486,
2006-11-01,146997,,805,,107738,,125142,
2006-12-01,166250,,915,,116638,,135999,
2007-01-01,156644,,849,,113044,,132502,
2007-02-01,152721,,835,,104076,,121450,
2007-03-01,192378,,1063,,135362,,157186,
2007-04-01,197933,,1096,,144716,,166299,
2007-05-01,148895,,844,,108228,,125368,
2007-06-01,135015,,777,,97837,,114763,
2007-07-01,142198,,822,,105005,,123312,
2007-08-01,143364,,831,,105664,,122703,
2007-09-01,134998,,778,,77760,,89715,
2007-10-01,136588,,811,,87351,,101028,
2007-11-01,181683,,1095,,121690,,140285,
2007-12-01,190790,,1153,,129932,,149956,
2008-01-01,179918,,1130,,133764,,151092,
2008-02-01,176057,,1135,,126017,,139780,
2008-03-01,208803,,1348,,159717,,176318,
2008-04-01,197520,,1277,,147510,,162818,
2008-05-01,141282,,945,,108712,,119222,
2008-06-01,137241,,909,,105035,,116648,
2008-07-01,141265,,940,,109821,,122098,
2008-08-01,140105,,937,,110182,,121826,
2008-09-01,118190,,801,,73051,,80149,
2008-10-01,124313,,848,,84795,,93091,
2008-11-01,165621,,1073,,110282,,121468,
2008-12-01,175568,,1149,,123116,,135896,
2009-01-01,171544,,1131,,124421,,137057,
2009-02-01,162059,1019,1069,56,114226,2676,126160,495
2009-03-01,187133,1128,1227,62,143202,3454,158843,636
2009-04-01,184795,1092,1210,60,138803,3830,154144,718
2009-05-01,145135,1138,978,62,109010,3692,120259,672
2009-06-01,142280,3467,967,86,111162,6571,122532,2493
2009-07-01,147622,6792,1011,124,119301,11040,131204,5580
2009-08-01,147621,6801,1008,124,116593,10678,128191,5012
2009-09-01,130542,5759,873,100,90602,6553,100043,2975
2009-10-01,138526,5841,924,106,96683,6777,106712,2742
2009-11-01,174769,6509,1120,118,124018,8345,139031,3736
2009-12-01,193911,9120,1204,142,133484,11764,151938,6190
2010-01-01,189331,8691,1177,138,132395,6263,151729,5643
2010-02-01,174896,7668,1086,124,117063,10103,133422,5357
2010-03-01,204978,6774,1289,123,153695,10693,174547,5283
2010-04-01,191360,6600,1192,120,142783,9428,162923,4514
2010-05-01,154384,6820,957,124,116066,10917,132815,5072
2010-06-01,154824,6600,966,121,119479,11361,138396,5577
2010-07-01,160847,7422,1049,128,122999,11748,142814,6013
2010-08-01,158282,7732,1030,131,119950,11544,138625,5614
2010-09-01,142003,6216,905,113,98058,9162,113763,4340
2010-10-01,155054,4692,986,103,108172,8557,125485,3505
2010-11-01,186878,5638,1161,111,132949,9288,152805,4430
2010-12-01,193505,8292,1206,140,138263,14034,157343,7081
2011-01-01,194605,7687,1218,135,141705,11383,161446,5724
2011-02-01,182317,6464,1147,112,129166,9953,146538,4679
2011-03-01,219947,6639,1399,116,170528,11305,191475,5204
2011-04-01,216748,6885,1367,116,153311,11261,174270,5419
2011-05-01,183960,7037,1165,127,136599,12430,155994,6105
2011-06-01,180257,6833,1129,129,132694,12599,154119,6025
2011-07-01,185700,6193,1160,156,139954,13231,162003,5479
2011-08-01,173309,5714,1081,141,127339,12721,146738,5131
2011-09-01,166358,5954,1036,120,112516,8923,129877,4130
2011-10-01,176829,6313,1111,123,126233,9807,145504,4514
2011-11-01,201566,5906,1282,124,147629,10964,168981,4892
2011-12-01,224209,8262,1427,171,156626,15995,179321,7093
2012-01-01,209004,7030,1337,131,158405,10736,181271,5309
2012-02-01,204627,6591,1306,129,145899,10977,167238,5046
2012-03-01,237235,7365,1510,155,177176,12803,203662,5685
