Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,56116,,186,,25013,,46738,
2002-11-01,53547,,178,,22652,,41778,
2002-12-01,56116,,186,,25707,,47702,
2003-01-01,56116,,186,,23028,,42260,
2003-02-01,50685,,158,,18934,,33937,
2003-03-01,56116,,186,,24389,,44773,
2003-04-01,54306,,180,,24992,,46811,
2003-05-01,67551,,217,,29296,,57719,
2003-06-01,65372,,210,,29795,,58682,
2003-07-01,67551,,217,,32165,,63075,
2003-08-01,67551,,217,,31635,,62082,
2003-09-01,66587,,229,,27888,,53677,
2003-10-01,69406,,247,,33296,,61997,
2003-11-01,66155,,236,,29827,,54802,
2003-12-01,69406,,248,,32964,,60756,
2004-01-01,69406,,248,,30878,,56919,
2004-02-01,64928,,232,,27687,,49070,
2004-03-01,69406,,248,,31326,,56203,
2004-04-01,67167,,240,,32214,,59338,
2004-05-01,96239,,304,,37009,,74707,
2004-06-01,95917,,300,,39923,,81822,
2004-07-01,99114,,310,,42450,,87188,
2004-08-01,99114,,310,,42253,,86934,
2004-09-01,95776,,290,,30652,,66846,
2004-10-01,99114,,310,,41510,,85655,
2004-11-01,96029,,304,,40123,,81751,
2004-12-01,95894,,310,,39188,,77138,
2005-01-01,79034,,258,,31480,,62244,
2005-02-01,70600,,235,,28213,,54121,
2005-03-01,80810,,279,,37117,,68989,
2005-04-01,78203,,269,,34520,,66000,
2005-05-01,108125,,337,,43078,,89405,
2005-06-01,106461,,330,,43158,,90224,
2005-07-01,110009,,341,,46460,,98025,
2005-08-01,110009,,340,,44713,,94442,
2005-09-01,106461,,329,,35632,,74108,
2005-10-01,109166,,335,,39066,,82800,
2005-11-01,93211,,309,,40111,,77353,
2005-12-01,91846,,311,,41502,,78064,
2006-01-01,82074,,345,,40079,,67437,
2006-02-01,76040,,390,,42750,,61824,
2006-03-01,87653,,457,,52078,,75164,
2006-04-01,84592,,439,,51272,,74178,
2006-05-01,110807,,502,,53659,,87026,
2006-06-01,112244,,502,,55299,,90157,
2006-07-01,115866,,517,,56379,,92719,
2006-08-01,117700,,604,,62690,,95294,
2006-09-01,93506,,610,,50875,,65877,
2006-10-01,96673,,651,,59598,,75395,
2006-11-01,100304,,657,,61661,,76854,
2006-12-01,106425,,694,,62951,,79126,
2007-01-01,102643,,671,,54652,,67617,
2007-02-01,89837,,545,,49435,,63841,
2007-03-01,108614,,680,,68298,,86219,
2007-04-01,104209,,642,,65079,,82500,
2007-05-01,113737,,666,,66912,,91796,
2007-06-01,114587,,663,,70728,,96225,
2007-07-01,118496,,690,,73452,,102498,
2007-08-01,111229,,671,,69524,,95206,
2007-09-01,94700,,610,,50752,,65452,
2007-10-01,97848,,631,,58608,,76162,
2007-11-01,96741,,632,,61383,,76569,
2007-12-01,101597,,658,,61758,,77624,
2008-01-01,98477,,627,,51378,,65534,
2008-02-01,89307,,589,,50628,,60750,
2008-03-01,95856,,655,,65341,,77680,
2008-04-01,93093,,635,,60724,,70522,
2008-05-01,99810,,650,,64773,,77343,
2008-06-01,110222,,668,,71667,,89507,
2008-07-01,119000,,701,,76679,,97718,
2008-08-01,113969,,691,,73356,,92544,
2008-09-01,65583,,518,,44413,,48185,
2008-10-01,66230,,542,,50674,,53836,
2008-11-01,66900,,509,,46459,,50455,
2008-12-01,73000,406,557,2,55648,289,59737,391
2009-01-01,69336,1016,566,5,46617,563,47183,762
2009-02-01,60623,812,504,4,41593,481,40084,651
2009-03-01,68465,812,570,4,51391,427,48232,578
2009-04-01,66161,812,543,4,53835,297,51561,402
2009-05-01,66487,,493,,50651,,52287,
2009-06-01,66146,,513,,54503,,53376,
2009-07-01,67118,812,543,4,59062,236,57034,320
2009-08-01,66382,1016,540,5,56246,571,54560,773
2009-09-01,59209,203,444,1,43703,21,43660,28
2009-10-01,61623,,440,,48684,,49630,
2009-11-01,58413,406,455,2,43122,165,43634,223
2009-12-01,63644,609,487,3,49034,318,51589,431
2010-01-01,55162,745,440,5,37515,286,38377,387
2010-02-01,39711,406,341,3,30120,248,27877,336
2010-03-01,53113,542,456,4,43117,364,41547,493
2010-04-01,53572,542,452,4,42152,317,42012,429
2010-05-01,54718,1016,448,5,47826,638,44836,864
2010-06-01,57646,812,468,4,51535,484,47711,655
2010-07-01,60927,1016,510,5,58028,632,52880,856
2010-08-01,60633,1036,510,5,55146,535,49725,937
2010-09-01,54470,203,461,1,46836,57,43119,77
2010-10-01,55560,,492,,53382,,47511,
2010-11-01,50693,406,447,2,43670,247,40707,334
2010-12-01,51465,812,450,4,45132,577,43342,781
2011-01-01,42842,1016,400,5,36627,537,31965,727
2011-02-01,36253,812,357,4,33281,497,27730,673
2011-03-01,40405,812,427,4,37430,519,30162,703
2011-04-01,42783,1016,425,5,38425,396,32440,536
2011-05-01,57604,812,441,4,45353,410,45733,555
2011-06-01,54806,812,437,4,44653,464,45677,628
2011-07-01,53639,1016,447,5,46099,682,47828,923
