Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,323106,,1653,,216465,,266410,
2002-11-01,323298,,1655,,212365,,258914,
2002-12-01,370787,,1881,,260114,,323160,
2003-01-01,395300,,1988,,261260,,331858,
2003-02-01,395206,,1899,,247213,,310885,
2003-03-01,468673,,2325,,303466,,380055,
2003-04-01,461365,,2296,,302484,,383510,
2003-05-01,430934,,2042,,278915,,370609,
2003-06-01,437408,,2042,,281789,,379798,
2003-07-01,510801,,2304,,342765,,472134,
2003-08-01,515854,,2304,,339673,,471002,
2003-09-01,458619,,2132,,262017,,365052,
2003-10-01,485720,,2286,,310080,,423092,
2003-11-01,482983,,2329,,303359,,398117,
2003-12-01,552654,,2635,,348491,,464122,
2004-01-01,548778,,2615,,325991,,430846,
2004-02-01,513116,,2521,,316583,,405787,
2004-03-01,568142,,2785,,368575,,470286,
2004-04-01,570680,,2822,,370938,,485306,
2004-05-01,560025,,2684,,343531,,461659,
2004-06-01,565879,13047,2678,56,356006,6510,486851,9736
2004-07-01,604753,21757,2874,93,405889,12257,549337,18373
2004-08-01,609268,21757,2883,93,404754,10168,551678,15254
2004-09-01,538049,18294,2452,75,286801,5622,392631,8462
2004-10-01,552448,14624,2674,62,353404,5403,472469,8146
2004-11-01,538417,19282,2710,90,354725,8624,459376,11783
2004-12-01,587765,19753,2947,92,386340,11374,505099,15787
2005-01-01,583737,19924,2813,90,365325,9051,487384,12352
2005-02-01,531229,17996,2647,84,349873,9482,459865,12806
2005-03-01,627152,12675,3139,62,434683,8252,557622,10556
2005-04-01,641094,13972,3225,70,430689,9143,557189,11471
2005-05-01,640064,12545,3024,63,394835,7693,551327,9803
2005-06-01,673896,12032,3068,60,417491,7843,596102,10037
2005-07-01,739996,17734,3329,92,480314,12175,685080,14907
2005-08-01,757251,17734,3374,93,477023,12455,689437,15181
2005-09-01,666340,12887,2965,65,349044,6356,504767,8116
2005-10-01,666297,12492,2988,62,369189,6538,531863,8356
2005-11-01,638420,14597,3155,75,405675,8297,539780,10241
2005-12-01,686077,16708,3502,87,449928,10690,594893,13229
2006-01-01,654186,16537,3353,86,419795,8811,557727,10915
2006-02-01,595010,15163,3095,79,391688,9925,509177,12249
2006-03-01,707569,17734,3759,93,478120,11637,607554,14279
2006-04-01,710319,18529,3839,98,472741,12784,604134,15530
2006-05-01,719525,19607,3696,134,427401,13490,577572,15131
2006-06-01,740782,22313,3822,153,460975,16092,613595,17841
2006-07-01,791278,26600,4314,173,534682,19771,684614,22704
2006-08-01,800219,28381,4547,180,539253,20705,685101,23868
2006-09-01,680459,22710,4142,123,407684,11086,499942,14566
2006-10-01,702954,25972,4405,127,480746,14060,572896,18918
2006-11-01,680566,26554,4418,133,490600,15679,564132,20965
2006-12-01,736753,41717,4763,198,526920,22983,608210,32942
2007-01-01,718388,40302,4713,187,490640,18845,564644,27100
2007-02-01,621847,35116,3983,167,425275,18799,489636,26670
2007-03-01,750388,44935,4939,216,555276,25325,621169,35553
2007-04-01,753664,44515,4900,216,537458,24639,606719,34430
2007-05-01,800897,45092,4992,242,540997,24963,654535,34017
2007-06-01,773855,64558,4757,324,539249,33218,655259,46975
2007-07-01,816564,78513,5061,385,601875,44484,734453,64193
2007-08-01,833848,83794,5171,420,597518,45099,733930,64492
2007-09-01,741095,56419,4683,270,433869,20366,533939,29564
2007-10-01,750454,51612,4724,245,473630,22967,580186,33770
2007-11-01,703923,60986,4647,289,470822,29135,552471,42225
2007-12-01,727366,76915,4816,357,488150,40539,578239,60309
2008-01-01,685940,72607,4487,338,446680,32762,534462,48812
2008-02-01,662736,72601,4267,337,432982,38161,516098,56722
2008-03-01,758651,82666,4858,387,516259,45640,609028,67050
2008-04-01,721956,76536,4648,361,488480,41064,573663,60243
2008-05-01,721525,74280,4415,356,471462,41474,576149,61215
2008-06-01,708106,81163,4305,387,483161,46999,595964,69232
2008-07-01,745369,101612,4579,487,550125,60589,668580,89905
2008-08-01,747945,107834,4615,520,537954,62756,659638,91994
2008-09-01,593809,74681,3823,355,367984,34065,462069,50881
2008-10-01,593692,76320,3920,353,404097,42811,487258,64367
2008-11-01,581115,93867,3906,439,393504,50157,455238,75323
2008-12-01,607939,113372,4045,527,437665,61597,516775,92510
2009-01-01,576304,113275,3876,527,367149,53744,435932,81078
2009-02-01,542931,113414,3650,529,353157,60577,409156,90195
2009-03-01,614698,128313,4102,601,420432,63236,476993,93491
2009-04-01,589732,124269,3940,583,417662,66648,478962,98374
2009-05-01,632622,138757,4260,651,426340,65913,491584,96951
2009-06-01,638579,142555,4248,668,436769,70011,515624,102318
2009-07-01,671023,160652,4456,754,510443,93681,597459,137062
2009-08-01,677458,163397,4488,769,507552,91588,593992,133572
2009-09-01,566001,119982,3648,555,364807,52745,443977,77080
2009-10-01,566438,113259,3626,501,400356,58295,483012,89026
2009-11-01,551400,136629,3601,600,379927,67072,444299,103338
2009-12-01,592674,147878,3839,650,424852,82635,507200,127017
2010-01-01,574226,148105,3625,649,351949,61877,433562,95716
2010-02-01,506694,134349,3237,592,322040,64757,382929,99369
2010-03-01,582625,153785,3785,682,423188,78666,488250,118998
2010-04-01,567193,151264,3711,669,384597,74034,446135,111818
2010-05-01,572208,167266,3630,737,397987,82762,471149,125514
2010-06-01,581107,177025,3662,777,409518,94161,493986,142476
2010-07-01,626218,214313,4003,960,475767,122642,561383,185277
2010-08-01,629629,213687,4033,956,468103,117605,554842,176583
2010-09-01,553496,144501,3504,633,375003,67183,451475,101563
2010-10-01,577788,136186,3655,605,414842,71921,493646,110044
2010-11-01,548185,133176,3459,588,379875,69898,452853,106951
2010-12-01,536748,151230,3382,660,384657,86395,466816,133830
2011-01-01,487155,145195,3158,628,343245,66463,411112,104070
2011-02-01,455826,138684,2945,607,320849,69952,378971,108400
2011-03-01,573211,163194,3707,729,411001,80916,472789,123342
2011-04-01,554614,169459,3569,757,384154,85361,443753,130233
2011-05-01,568338,155930,3594,694,386430,81479,461996,123305
2011-06-01,577515,178747,3613,791,393879,94593,480139,142827
2011-07-01,636869,232289,3940,1018,456491,129672,562141,197501
2011-08-01,588020,210042,3647,917,425842,115555,525852,176669
2011-09-01,558036,165152,3518,738,355529,71423,438066,109808
2011-10-01,565050,149335,3536,672,387301,77894,477616,120676
2011-11-01,540688,158984,3368,705,375661,85294,456882,131351
2011-12-01,583209,198191,3636,862,400379,109094,491091,169106
2012-01-01,534865,175020,3338,750,357348,81042,435019,127504
2012-02-01,521270,165884,3301,719,353289,87383,428661,136209
2012-03-01,596291,193456,3797,853,432351,101023,517411,155261
2012-04-01,584467,193099,3681,856,401300,103041,490347,158593
2012-05-01,569173,161006,3560,714,395033,88726,480225,135511
2012-06-01,579590,186941,3530,824,397325,108680,493714,166893
2012-07-01,636202,244597,3881,1073,454364,142975,565554,220704
2012-08-01,628801,242962,3880,1066,454263,133301,561453,205152
2012-09-01,560373,174009,3474,768,357324,78908,444482,121731
2012-10-01,513100,143945,3163,640,360628,75551,446477,116374
2012-11-01,519576,179547,3275,780,355892,88565,429902,138276
2012-12-01,562402,220590,3561,945,393001,116093,478792,182472
2013-01-01,518378,202801,3351,861,364701,91855,437931,145984
2013-02-01,458956,180094,2996,777,325906,90517,387259,142036
2013-03-01,559675,204177,3630,889,413285,115235,491771,178840
2013-04-01,536331,206301,3404,913,361300,104922,440763,162764
2013-05-01,549340,188885,3550,828,384847,102393,475505,157309
2013-06-01,568403,211829,3604,931,392838,120531,495960,185873
2013-07-01,617068,269127,3922,1178,441960,156885,558619,241627
2013-08-01,611452,272457,3911,1190,435432,144660,541945,223210
2013-09-01,528776,178133,3337,778,336847,74782,426569,116348
2013-10-01,538504,175015,3377,769,360842,82933,452471,128523
2013-11-01,518550,193046,3247,842,328601,100904,407895,156745
2013-12-01,577081,250133,3546,1076,396768,141637,501717,222427
2014-01-01,470585,221160,2935,934,317752,103307,392198,164646
2014-02-01,474268,210529,2967,882,318072,105691,390577,167554
2014-03-01,568319,237249,3543,985,390189,117919,473350,187576
2014-04-01,559708,240515,3439,999,377157,121458,464271,193273
2014-05-01,545416,235511,3534,965,383843,114333,469307,180528
2014-06-01,555765,256863,3564,1066,386747,127835,480540,202319
2014-07-01,582523,312744,3687,1294,429178,173474,535871,274787
2014-08-01,609900,320062,3854,1326,435142,166931,539745,264999
2014-09-01,543958,210828,3379,883,351673,88567,443660,141140
2014-10-01,573002,211740,3484,881,390756,99312,494564,158490
2014-11-01,544323,230868,3295,947,357827,109838,447786,176090
2014-12-01,617709,287649,3671,1186,414947,154576,531832,247293
2015-01-01,562752,264848,3325,1080,362027,114601,463754,185253
2015-02-01,525778,224755,3047,911,340710,110987,436930,179728
2015-03-01,613205,238443,3548,972,413130,125574,524231,201070
2015-04-01,617389,243798,3548,1005,397755,120860,516894,193333
2015-05-01,637232,223616,3737,935,415660,117934,539601,186992
2015-06-01,642632,261654,3727,1061,417471,140466,544327,224834
2015-07-01,677075,342865,3959,1356,461243,193409,602896,311248
2015-08-01,675524,348745,3964,1375,450503,185843,588988,299731
2015-09-01,604156,232859,3545,926,375391,103002,486790,167245
2015-10-01,625927,234610,3619,916,416443,116467,541155,187348
2015-11-01,626435,241202,3530,934,396904,126149,527105,203096
2015-12-01,671487,322893,3819,1231,441727,177295,587945,286302
2016-01-01,611540,284162,3451,1074,382004,134894,506238,220671
2016-02-01,625987,266216,3432,997,387794,130876,518055,212472
2016-03-01,692731,274170,3823,1031,449888,145465,595932,234942
2016-04-01,680706,272833,3720,1026,426683,140970,572326,227733
2016-05-01,687733,262178,3781,1040,432283,127474,574695,204502
2016-06-01,674731,293461,3639,1147,438092,154265,592733,246916
2016-07-01,673796,351290,3651,1359,454510,195976,609284,314829
