Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,3405,,91,,9054,,2091,
2002-11-01,8793,,104,,11913,,5390,
2002-12-01,14770,,124,,14177,,10572,
2003-01-01,29701,,165,,20235,,22741,
2003-02-01,37012,,174,,20221,,25201,
2003-03-01,48638,,217,,26234,,36010,
2003-04-01,46705,,209,,27080,,36995,
2003-05-01,47478,,186,,25639,,39751,
2003-06-01,45946,,180,,24697,,38694,
2003-07-01,47478,,186,,25830,,39811,
2003-08-01,47478,,186,,27993,,44298,
2003-09-01,44528,,180,,24158,,37350,
2003-10-01,45720,,185,,25018,,39480,
2003-11-01,43858,,178,,22994,,35364,
2003-12-01,37303,,161,,19088,,27519,
2004-01-01,45720,,184,,23236,,36217,
2004-02-01,44173,,177,,22216,,34973,
2004-03-01,56591,,217,,25763,,41707,
2004-04-01,54765,,210,,28817,,48261,
2004-05-01,56591,,217,,28380,,47994,
2004-06-01,54765,,210,,27029,,44226,
2004-07-01,56591,,217,,29121,,47664,
2004-08-01,56591,,217,,30916,,51453,
2004-09-01,54765,,210,,27197,,45158,
2004-10-01,56591,,217,,28608,,48506,
2004-11-01,41403,,171,,22877,,35211,
2004-12-01,40810,,172,,20086,,29879,
2005-01-01,47824,,188,,25346,,40069,
2005-02-01,41295,,167,,21197,,33118,
2005-03-01,47473,,191,,24881,,40014,
2005-04-01,54415,,209,,27493,,46592,
2005-05-01,78206,,303,,38274,,65568,
2005-06-01,77510,,299,,37475,,63255,
2005-07-01,80094,,307,,41253,,69235,
2005-08-01,78977,,279,,38817,,69960,
2005-09-01,68913,,271,,33444,,57156,
2005-10-01,68836,,277,,34497,,59488,
2005-11-01,50281,,208,,27067,,43918,
2005-12-01,47831,,218,,25668,,38860,
2006-01-01,59053,,250,,30805,,49004,
2006-02-01,50909,,219,,28072,,44275,
2006-03-01,58063,,240,,32359,,51756,
2006-04-01,64969,,257,,34601,,57381,
2006-05-01,89411,,312,,36492,,68130,
2006-06-01,86483,,302,,35826,,66160,
2006-07-01,89345,,339,,40544,,69131,
2006-08-01,89696,,340,,41597,,72018,
2006-09-01,78024,,304,,34151,,59220,
2006-10-01,80489,,329,,38985,,67358,
2006-11-01,56202,,266,,30725,,46076,
2006-12-01,63092,,273,,28831,,46485,
2007-01-01,59268,,228,,27523,,45744,
2007-02-01,56246,,211,,25761,,44403,
2007-03-01,66152,,245,,31768,,56805,
2007-04-01,69616,,253,,33216,,59700,
2007-05-01,86586,,340,,40095,,71177,
2007-06-01,82485,,326,,38749,,68174,
2007-07-01,82574,,329,,40338,,69474,
2007-08-01,86263,,340,,42979,,75490,
2007-09-01,77419,,311,,35052,,60734,
2007-10-01,80213,,322,,36315,,63347,
2007-11-01,63594,,270,,30933,,51620,
2007-12-01,67662,,284,,30668,,51910,
2008-01-01,67702,,284,,30134,,50198,
2008-02-01,65838,,274,,30680,,51376,
2008-03-01,75493,,308,,35919,,62160,
2008-04-01,73338,,298,,33953,,58663,
2008-05-01,83185,,339,,39488,,68801,
2008-06-01,81764,,348,,43822,,72535,
2008-07-01,85180,,361,,45812,,75759,
2008-08-01,85873,,363,,48210,,79780,
2008-09-01,64320,,295,,35969,,59316,
2008-10-01,65874,,303,,34976,,58867,
2008-11-01,54528,,266,,29493,,44319,
2008-12-01,53517,,263,,27712,,41583,
2009-01-01,57424,,278,,27369,,42808,
