Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,28445,,186,,23305,,22000,
2002-11-01,29515,,193,,24616,,23238,
2002-12-01,32750,,213,,28441,,26818,
2003-01-01,34103,,223,,28921,,27301,
2003-02-01,32268,,203,,26614,,25124,
2003-03-01,37926,,248,,33788,,31896,
2003-04-01,36703,,240,,32492,,30672,
2003-05-01,28445,,186,,26213,,24745,
2003-06-01,29056,,190,,25885,,24435,
2003-07-01,37926,,248,,36046,,34027,
2003-08-01,37926,,246,,36907,,34840,
2003-09-01,31430,,212,,26278,,24806,
2003-10-01,31956,,217,,29315,,27673,
2003-11-01,29158,,198,,28466,,26872,
2003-12-01,36227,,244,,32467,,30649,
2004-01-01,45440,,296,,35709,,34501,
2004-02-01,55629,,356,,44042,,43860,
2004-03-01,62771,,403,,55780,,55573,
2004-04-01,67705,,435,,58142,,57711,
2004-05-01,56733,,362,,49469,,49374,
2004-06-01,58390,,374,,46062,,45564,
2004-07-01,66306,,427,,58849,,58217,
2004-08-01,67336,,424,,58934,,58356,
2004-09-01,59274,,318,,37250,,36888,
2004-10-01,62771,,403,,51086,,50985,
2004-11-01,63075,,406,,55378,,55029,
2004-12-01,64980,,418,,54923,,54549,
2005-01-01,67944,,419,,52259,,52055,
2005-02-01,64244,,410,,51626,,51727,
2005-03-01,80415,,513,,72212,,71972,
2005-04-01,83664,,536,,71884,,71250,
2005-05-01,62320,,405,,59203,,58325,
2005-06-01,60065,,390,,54741,,53870,
2005-07-01,71046,,464,,65606,,64243,
2005-08-01,71046,,464,,66561,,65063,
2005-09-01,57709,,375,,48391,,47466,
2005-10-01,75336,,495,,65498,,64027,
2005-11-01,86502,,566,,74956,,73458,
2005-12-01,89446,,585,,79211,,77678,
2006-01-01,80886,,527,,69180,,67999,
2006-02-01,75312,,499,,62586,,61717,
2006-03-01,100004,,669,,86722,,85608,
2006-04-01,103909,,686,,87458,,86385,
2006-05-01,106219,,683,,81997,,81499,
2006-06-01,107098,,688,,86924,,87092,
2006-07-01,128833,,791,,107977,,110996,
2006-08-01,135072,,827,,106303,,109262,
2006-09-01,115090,,700,,75614,,77836,
2006-10-01,114091,,689,,86084,,89327,
2006-11-01,113583,,707,,95004,,96767,
2006-12-01,118205,,757,,102715,,103608,
2007-01-01,122551,,791,,100049,,100840,
2007-02-01,112307,,724,,88514,,88760,
2007-03-01,139546,,898,,113914,,114989,
2007-04-01,147805,,954,,125920,,125959,
2007-05-01,138265,,937,,115766,,115143,
2007-06-01,131873,,892,,105526,,105317,
2007-07-01,147594,,997,,129417,,129289,
2007-08-01,150484,,1022,,128773,,126965,
2007-09-01,128301,,870,,90677,,89522,
2007-10-01,134404,,910,,100327,,99559,
2007-11-01,145334,,995,,118090,,117599,
2007-12-01,156431,,1069,,124079,,124525,
2008-01-01,160437,,1110,,126600,,128013,
2008-02-01,153717,,1080,,123558,,125401,
2008-03-01,173509,3796,1224,45,148373,3597,149820,3075
2008-04-01,164430,4858,1156,59,140849,3565,142120,2892
2008-05-01,159134,5041,1135,62,128738,4673,130574,3669
