Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,12158,,31,,3487,,8442,
2002-11-01,11766,,30,,2939,,7115,
2002-12-01,12158,,31,,3998,,9679,
2003-01-01,12158,,31,,3474,,8411,
2003-02-01,10982,,27,,2873,,6956,
2003-03-01,12158,,31,,3388,,8202,
2003-04-01,11766,,30,,3612,,8745,
2003-05-01,12550,,32,,4307,,10427,
2003-06-01,11766,,30,,4434,,10735,
2003-07-01,12158,,31,,4624,,11195,
2003-08-01,12158,,31,,4806,,11635,
2003-09-01,11403,,30,,4416,,10691,
2003-10-01,11708,,31,,4148,,10042,
2003-11-01,10953,,29,,3361,,8137,
2003-12-01,11708,,31,,4117,,9967,
2004-01-01,11708,,31,,3870,,9369,
2004-02-01,10953,,29,,3096,,7495,
2004-03-01,11708,,31,,3707,,8975,
2004-04-01,11330,,30,,4043,,9788,
2004-05-01,12086,,32,,4296,,10401,
2004-06-01,11330,,30,,4331,,10485,
2004-07-01,11708,,31,,4468,,10817,
2004-08-01,11708,,31,,4548,,11011,
2004-09-01,11330,,30,,4342,,10512,
2004-10-01,11708,,31,,4302,,10415,
2004-11-01,11330,,30,,3902,,9447,
2004-12-01,11708,,31,,4273,,10345,
2005-01-01,11708,,30,,4272,,10343,
2005-02-01,10575,,28,,3942,,9544,
2005-03-01,11708,,30,,4292,,10391,
2005-04-01,11330,,29,,4202,,10173,
2005-05-01,11708,,31,,4524,,10953,
2005-06-01,16618,,44,,5906,,14298,
2005-07-01,23416,,61,,7860,,19029,
2005-08-01,23416,,62,,9054,,21920,
2005-09-01,22661,,60,,7274,,17610,
2005-10-01,23416,,62,,6446,,15606,
2005-11-01,21843,,57,,6300,,15420,
2005-12-01,23389,,61,,7231,,17734,
2006-01-01,23779,,62,,6806,,16688,
2006-02-01,21088,,55,,6578,,16036,
2006-03-01,23779,,62,,8668,,21304,
2006-04-01,23012,,60,,8147,,20051,
2006-05-01,35121,,92,,10529,,25744,
2006-06-01,34342,,90,,12077,,29543,
2006-07-01,35487,,93,,12159,,29749,
2006-08-01,35487,,93,,13023,,31860,
2006-09-01,24900,,65,,9058,,22220,
2006-10-01,23779,,62,,7286,,17868,
2006-11-01,22622,,59,,7229,,17744,
2006-12-01,23779,,62,,7573,,18588,
2007-01-01,23779,,62,,6498,,15929,
2007-02-01,21100,,55,,5958,,14620,
2007-03-01,23401,,61,,7876,,19347,
2007-04-01,22634,,59,,7241,,17781,
2007-05-01,34122,,93,,11147,,27252,
2007-06-01,32658,,89,,11741,,28728,
2007-07-01,34122,,93,,12093,,29585,
2007-08-01,34122,,93,,12981,,31750,
2007-09-01,33021,,90,,11558,,28270,
2007-10-01,34122,,93,,10131,,24775,
2007-11-01,21389,,58,,7233,,17782,
2007-12-01,22127,,60,,7033,,17280,
2008-01-01,22864,,62,,6350,,15590,
2008-02-01,21389,,58,,5920,,14535,
2008-03-01,22864,,62,,7070,,17359,
2008-04-01,22127,,60,,6857,,16833,
2008-05-01,36633,,120,,13198,,28390,
2008-06-01,43725,,176,,20488,,37031,
2008-07-01,44778,,180,,22075,,39378,
2008-08-01,44802,,180,,23723,,42100,
2008-09-01,37093,,153,,17454,,31571,
2008-10-01,37722,,156,,15925,,28118,
2008-11-01,31842,,142,,13629,,22086,
2008-12-01,32435,,141,,14916,,24638,
2009-01-01,35044,,154,,11863,,20220,
2009-02-01,32334,,139,,12020,,18912,
2009-03-01,36347,,154,,17742,,28001,
2009-04-01,35537,,150,,15854,,25410,
2009-05-01,47979,,186,,20933,,35865,
2009-06-01,48677,,186,,23272,,40546,
2009-07-01,53220,,200,,25839,,46204,
2009-08-01,52846,,199,,27911,,49875,
2009-09-01,36798,,135,,18037,,33182,
2009-10-01,32307,,120,,13588,,25081,
2009-11-01,27009,,107,,10460,,18878,
2009-12-01,29461,,113,,13142,,22557,
2010-01-01,29086,,119,,10292,,18143,
2010-02-01,25497,,106,,9198,,15859,
2010-03-01,30584,,124,,12968,,22552,
2010-04-01,30088,,120,,12688,,22330,
2010-05-01,39057,,144,,16553,,30436,
2010-06-01,46221,,162,,20061,,38761,
2010-07-01,59151,,217,,27512,,50674,
2010-08-01,59191,,217,,29389,,53775,
2010-09-01,48816,,187,,24041,,42028,
2010-10-01,43814,,175,,18704,,32310,
2010-11-01,33780,,139,,15994,,26903,
2010-12-01,32785,,143,,16733,,26624,
2011-01-01,28811,,128,,10619,,17679,
2011-02-01,27976,,122,,12301,,19516,
2011-03-01,29904,,128,,15127,,23855,
2011-04-01,30152,,131,,14625,,23485,
