Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,11993,,52,,5590,,8565,
2002-11-01,12529,,60,,6032,,7620,
2002-12-01,12947,,61,,7445,,9777,
2003-01-01,12947,,62,,8264,,10994,
2003-02-01,11694,,55,,6946,,8976,
2003-03-01,12947,,62,,8923,,11781,
2003-04-01,12529,,60,,7937,,10297,
2003-05-01,12947,,62,,8134,,11271,
2003-06-01,12529,,60,,8684,,11774,
2003-07-01,12947,,62,,8926,,11869,
2003-08-01,12947,,62,,9054,,11981,
2003-09-01,12142,,60,,7074,,9650,
2003-10-01,12467,,62,,7149,,9712,
2003-11-01,12065,,60,,6182,,7757,
2003-12-01,12467,,62,,7250,,9477,
2004-01-01,12467,,62,,7858,,10511,
2004-02-01,11663,,58,,6778,,9134,
2004-03-01,12467,,62,,8132,,10887,
2004-04-01,12065,,60,,7603,,10155,
2004-05-01,12467,,62,,7368,,9832,
2004-06-01,12065,,60,,8031,,10752,
2004-07-01,12467,,62,,8504,,11203,
2004-08-01,12467,,62,,8386,,11128,
2004-09-01,12065,,60,,6809,,9205,
2004-10-01,12467,,62,,7289,,9363,
2004-11-01,12065,,60,,6910,,9202,
2004-12-01,12467,,62,,7584,,10300,
2005-01-01,12467,,61,,7970,,10330,
2005-02-01,11261,,56,,7130,,9090,
2005-03-01,12467,,61,,8296,,11041,
2005-04-01,12065,,60,,7721,,10123,
2005-05-01,12467,,62,,7555,,9602,
2005-06-01,12065,,60,,7784,,9926,
2005-07-01,12467,,62,,8169,,10368,
2005-08-01,12467,,62,,7908,,10233,
2005-09-01,12065,,60,,6752,,8711,
2005-10-01,12467,,62,,7188,,9292,
2005-11-01,12065,,60,,6510,,8574,
2005-12-01,12467,,62,,7584,,10041,
2006-01-01,12467,,62,,8643,,11289,
2006-02-01,11169,,55,,7410,,9610,
2006-03-01,12467,,62,,8856,,11551,
2006-04-01,12065,,60,,8109,,10848,
2006-05-01,13110,,69,,8563,,11013,
2006-06-01,14822,,90,,10746,,12504,
2006-07-01,15316,,93,,12059,,13318,
2006-08-01,15316,,93,,11649,,13436,
2006-09-01,14822,,90,,9825,,11234,
2006-10-01,15316,,93,,9949,,11042,
2006-11-01,14822,,90,,9866,,10731,
2006-12-01,15316,,93,,10219,,11559,
2007-01-01,15316,,93,,11721,,12786,
2007-02-01,13213,,82,,10187,,10432,
2007-03-01,15005,,92,,12234,,13089,
2007-04-01,14822,,90,,11450,,12485,
2007-05-01,14727,,93,,10966,,12235,
2007-06-01,14252,,90,,11531,,12759,
2007-07-01,15645,,103,,13419,,14103,
2007-08-01,20423,,155,,18896,,17656,
2007-09-01,19676,,149,,14829,,14108,
2007-10-01,20423,,155,,14120,,13096,
2007-11-01,20117,,154,,14219,,12560,
2007-12-01,22328,,177,,16659,,14151,
2008-01-01,23269,,188,,19224,,16487,
2008-02-01,23660,,183,,17449,,15313,
2008-03-01,23534,,191,,21537,,18580,
2008-04-01,22607,,183,,17244,,15258,
2008-05-01,25648,,226,,18332,,14616,
2008-06-01,25572,,231,,23027,,18067,
2008-07-01,23606,,199,,20263,,16552,
2008-08-01,21138,,174,,19413,,16633,
2008-09-01,18426,,149,,14074,,11409,
2008-10-01,19349,,155,,14803,,11388,
2008-11-01,18426,,149,,13257,,9781,
2008-12-01,19349,,155,,15313,,12365,
2009-01-01,19945,,157,,15386,,12705,
2009-02-01,19266,,146,,14233,,12052,
2009-03-01,19349,,155,,15205,,13548,
2009-04-01,18249,,147,,14723,,12593,
2009-05-01,17637,,124,,11229,,10467,
2009-06-01,17069,,120,,12829,,12057,
2009-07-01,17637,,124,,14501,,14076,
2009-08-01,17461,,122,,13883,,13869,
2009-09-01,15179,,114,,11254,,10267,
2009-10-01,13063,,113,,10585,,8703,
2009-11-01,14340,,91,,8537,,7970,
2009-12-01,14727,,93,,10070,,9892,
2010-01-01,14727,,93,,10754,,10519,
2010-02-01,13003,,83,,8983,,8546,
2010-03-01,14340,,91,,10607,,11041,
2010-04-01,14876,,97,,9004,,9513,
2010-05-01,16516,,106,,9347,,11692,
2010-06-01,14607,,94,,11296,,12360,
2010-07-01,14816,,94,,12278,,13015,
2010-08-01,15169,,98,,12132,,13514,
2010-09-01,16026,,98,,10811,,13250,
2010-10-01,15116,,95,,10306,,11253,
2010-11-01,17023,,119,,11933,,11611,
2010-12-01,17496,,129,,13391,,13064,
2011-01-01,17270,,124,,14076,,13445,
2011-02-01,16978,,128,,12723,,13375,
2011-03-01,18090,,131,,14552,,14809,
2011-04-01,17918,,129,,13653,,13861,
2011-05-01,18028,,128,,13497,,13982,
2011-06-01,17435,,124,,13635,,14150,
2011-07-01,17550,,125,,15115,,14400,
2011-08-01,17481,,129,,14710,,14699,
2011-09-01,16893,,120,,13051,,11953,
2011-10-01,18197,,130,,14231,,13700,
2011-11-01,19144,,143,,14579,,13908,
2011-12-01,18779,,139,,15800,,13864,
2012-01-01,18164,,132,,16114,,14990,
2012-02-01,16510,,118,,14899,,13919,
2012-03-01,17755,,125,,16556,,15968,
