Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,20188,,124,,16540,,16623,
2002-11-01,19374,,119,,16704,,16788,
2002-12-01,22468,,137,,19835,,19934,
2003-01-01,21002,,129,,17776,,17865,
2003-02-01,20709,,123,,16932,,17028,
2003-03-01,25887,,159,,22952,,23067,
2003-04-01,29306,,180,,24860,,24984,
2003-05-01,25236,,155,,22294,,22405,
2003-06-01,24422,,150,,20741,,20845,
2003-07-01,25236,,155,,22246,,22572,
2003-08-01,25236,,154,,22235,,22357,
2003-09-01,23668,,150,,18329,,18421,
2003-10-01,24301,,155,,20129,,20230,
2003-11-01,24928,,159,,21905,,22015,
2003-12-01,29161,,183,,24608,,24731,
2004-01-01,38219,,234,,25470,,26161,
2004-02-01,38002,,232,,28895,,30275,
2004-03-01,40622,,248,,36057,,37840,
2004-04-01,39312,,240,,34136,,35804,
2004-05-01,40622,,248,,33538,,35144,
2004-06-01,39312,,240,,31601,,32941,
2004-07-01,40622,,248,,34122,,35679,
2004-08-01,40622,,241,,33031,,34588,
2004-09-01,40880,,226,,28059,,29272,
2004-10-01,40622,,248,,31996,,33471,
2004-11-01,39939,,244,,33917,,35444,
2004-12-01,42347,,259,,34931,,36435,
2005-01-01,45244,,263,,31506,,33162,
2005-02-01,41867,,252,,32203,,34154,
2005-03-01,50586,,303,,44429,,47086,
2005-04-01,49561,,300,,42332,,44723,
2005-05-01,41306,,252,,37368,,39187,
2005-06-01,39312,,240,,35320,,36964,
2005-07-01,40622,,248,,35675,,37343,
2005-08-01,40622,,247,,34605,,36111,
2005-09-01,39312,,240,,31322,,32745,
2005-10-01,43860,,269,,34642,,36147,
2005-11-01,55121,,340,,45742,,47532,
2005-12-01,57840,,357,,49492,,51608,
2006-01-01,55999,,349,,41104,,42993,
2006-02-01,50061,,305,,39225,,41171,
2006-03-01,58985,,360,,51397,,54043,
2006-04-01,57962,,354,,48952,,51361,
2006-05-01,38279,,256,,33153,,34378,
2006-06-01,35330,,240,,30395,,31489,
2006-07-01,36351,,247,,30879,,31977,
2006-08-01,36390,,247,,29863,,30887,
2006-09-01,34068,,232,,24394,,25303,
2006-10-01,36474,,248,,28211,,29246,
2006-11-01,45725,,281,,37134,,38737,
2006-12-01,54613,,343,,41541,,43715,
2007-01-01,50694,,321,,35474,,37315,
2007-02-01,43593,,274,,32654,,34371,
2007-03-01,55294,,356,,43836,,46392,
2007-04-01,54855,,354,,44767,,47281,
2007-05-01,41622,,277,,36479,,37887,
2007-06-01,39943,,266,,33126,,34396,
2007-07-01,41110,,274,,34794,,36126,
2007-08-01,41412,,276,,34428,,35703,
2007-09-01,39609,,264,,26899,,27945,
2007-10-01,40087,,267,,28873,,30143,
2007-11-01,45545,,304,,34092,,35662,
2007-12-01,46060,,305,,35806,,37655,
2008-01-01,47358,,314,,33142,,34988,
2008-02-01,47236,,312,,34876,,36993,
2008-03-01,55571,,368,,43601,,46215,
2008-04-01,53289,,353,,42415,,44895,
