Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,16403,,850,,26274,,11984,
2002-11-01,33587,,1325,,37613,,23702,
2002-12-01,37909,,1434,,46788,,29381,
2003-01-01,37821,,1372,,40927,,27262,
2003-02-01,35522,,1316,,42977,,27167,
2003-03-01,41385,,1526,,52879,,33167,
2003-04-01,37591,,1540,,53845,,30194,
2003-05-01,34821,,1506,,55867,,29554,
2003-06-01,35905,,1652,,64398,,31607,
2003-07-01,42897,45,1900,1,72385,0,36955,0
2003-08-01,53145,45,2229,1,83495,0,45047,0
2003-09-01,57864,180,2269,4,83243,0,47261,0
2003-10-01,62826,1096,2426,28,90937,1039,52559,814
2003-11-01,59250,2310,2243,59,79850,1701,47273,1332
2003-12-01,60880,3191,2414,79,88218,2159,49401,1740
2004-01-01,58406,3663,2420,89,80173,2476,44238,2027
2004-02-01,53012,2829,2197,68,77581,2507,42432,2093
2004-03-01,60118,2566,2285,61,83516,2418,49348,2033
2004-04-01,61787,1425,2201,32,78095,1158,48147,1029
2004-05-01,65606,1347,2215,30,84886,1080,53521,970
2004-06-01,67609,5893,2477,116,99486,4371,58775,4023
2004-07-01,68379,6850,2565,124,101564,5347,58353,4927
2004-08-01,68341,7899,2658,151,103737,6485,58297,6017
2004-09-01,67075,7403,2530,148,99206,6029,55598,5543
2004-10-01,74173,8060,2755,152,104449,6551,61176,5976
2004-11-01,72088,7818,2597,147,100531,6207,58007,5709
2004-12-01,79372,6849,2885,152,110362,6320,63175,5798
2005-01-01,90963,6792,3142,151,120926,6303,73059,5739
2005-02-01,87747,6867,2980,140,115329,6355,70103,5808
2005-03-01,104221,7502,3472,154,141952,6591,86814,5948
2005-04-01,101326,7933,3281,165,126373,6366,79489,5698
2005-05-01,105995,8192,3507,186,135890,7136,82477,6380
2005-06-01,114951,8383,3925,174,161410,6975,97744,6322
2005-07-01,121044,8229,4154,183,170817,7195,102506,6526
2005-08-01,122798,9331,4220,211,171354,8007,102913,7120
2005-09-01,104334,7634,3722,158,146567,5903,85666,5313
2005-10-01,97161,6798,3496,151,139244,6297,80656,5733
2005-11-01,91620,7876,3104,149,120696,6067,71791,5551
2005-12-01,101442,8030,3533,154,145223,5818,84154,5298
2006-01-01,112833,8960,3867,177,154155,7135,91409,6456
