Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,997,,89,,2989,,670,
2002-11-01,963,,86,,2457,,550,
2002-12-01,997,,89,,2856,,649,
2003-01-01,997,,89,,1939,,434,
2003-02-01,934,,80,,1824,,409,
2003-03-01,1061,,92,,2480,,556,
2003-04-01,459,,41,,724,,166,
2003-05-01,336,,30,,430,,96,
2003-06-01,325,,29,,543,,129,
2003-07-01,865,,141,,2109,,375,
2003-08-01,1816,,358,,4802,,787,
2003-09-01,3229,,524,,8090,,1530,
2003-10-01,5206,,774,,14011,,2913,
2003-11-01,5238,,896,,17227,,3335,
2003-12-01,5489,,940,,14820,,2894,
2004-01-01,5149,,894,,11175,,2086,
2004-02-01,4865,,877,,11177,,2026,
2004-03-01,4963,,929,,13073,,2303,
2004-04-01,4774,,888,,12825,,2283,
2004-05-01,4482,,894,,13408,,2215,
2004-06-01,4366,,861,,13264,,2208,
2004-07-01,5383,,912,,13519,,2280,
2004-08-01,4830,,931,,13658,,2337,
2004-09-01,4692,,904,,12533,,2140,
2004-10-01,4824,,926,,14842,,2476,
2004-11-01,5174,,855,,13580,,2341,
2004-12-01,5227,,975,,14150,,2516,
2005-01-01,5193,,969,,12654,,2206,
2005-02-01,5682,,905,,13095,,2957,
2005-03-01,6430,,842,,13662,,3942,
2005-04-01,5852,,743,,11871,,3435,
2005-05-01,4661,,532,,9346,,2966,
2005-06-01,5960,,339,,7342,,3800,
2005-07-01,5411,,89,,4193,,3714,
2005-08-01,5584,,92,,3568,,3151,
2005-09-01,3060,,59,,2632,,2327,
2005-10-01,3191,,60,,2695,,2423,
2005-11-01,661,,14,,570,,501,
2005-12-01,2202,,36,,2001,,1785,
2006-01-01,4938,,84,,4246,,3814,
2006-02-01,3490,,59,,3252,,2910,
2006-03-01,3532,,60,,3424,,3066,
2006-04-01,1522,,25,,1461,,1347,
2006-05-01,1893,,31,,1878,,1737,
2006-06-01,4813,,76,,4490,,4423,
2006-07-01,6059,,93,,5482,,5437,
2006-08-01,5626,,88,,4900,,4887,
2006-09-01,6095,,89,,4230,,4278,
2006-10-01,6195,,90,,4442,,4532,
2006-11-01,6516,,86,,4434,,4927,
2006-12-01,6349,,84,,4489,,4953,
2007-01-01,8577,,120,,6066,,6466,
2007-02-01,10408,,155,,8852,,8967,
2007-03-01,14721,,228,,13233,,12524,
2007-04-01,14722,,220,,12805,,12414,
2007-05-01,14733,,222,,12446,,11892,
2007-06-01,11325,,158,,9283,,9687,
2007-07-01,10565,,143,,8501,,9180,
2007-08-01,10427,,141,,8129,,8780,
2007-09-01,9422,,127,,6605,,7105,
2007-10-01,10407,,140,,7639,,8253,
2007-11-01,9867,,134,,7411,,7961,
2007-12-01,12863,,163,,9319,,10259,
2008-01-01,12643,,153,,8369,,9441,
2008-02-01,12684,,156,,8624,,9499,
2008-03-01,15931,,212,,11926,,12117,
2008-04-01,17131,,241,,13251,,12912,
2008-05-01,17607,,247,,13827,,13524,
2008-06-01,17896,,249,,14700,,14603,
2008-07-01,17204,,231,,13655,,14075,
2008-08-01,16362,,219,,12577,,13067,
2008-09-01,13284,,182,,9575,,9557,
2008-10-01,15461,,212,,13512,,13467,
2008-11-01,13542,,179,,10900,,11451,
2008-12-01,13739,,178,,10809,,11786,
2009-01-01,14525,,191,,10696,,11145,
2009-02-01,17521,,249,,13857,,13305,
