Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1680,,189,,4132,,1115,
2002-11-01,1846,,180,,4346,,1325,
2002-12-01,1845,,189,,4521,,1397,
2003-01-01,1970,,211,,4881,,1457,
2003-02-01,1863,,200,,4560,,1343,
2003-03-01,2140,,228,,5161,,1543,
2003-04-01,1784,,212,,4103,,1133,
2003-05-01,1729,,212,,3704,,1015,
2003-06-01,1156,,179,,2551,,587,
2003-07-01,1161,,179,,2134,,487,
2003-08-01,1190,,182,,2257,,515,
2003-09-01,1119,,172,,2589,,571,
2003-10-01,1166,,179,,3115,,695,
2003-11-01,1091,,170,,3376,,738,
2003-12-01,1173,,179,,3453,,759,
2004-01-01,1154,,179,,3317,,713,
2004-02-01,1067,,165,,3177,,692,
2004-03-01,1161,,180,,3183,,691,
2004-04-01,1117,,174,,2693,,596,
2004-05-01,1116,,172,,2823,,646,
2004-06-01,1083,,167,,2595,,584,
2004-07-01,1246,,163,,2556,,570,
2004-08-01,1127,,173,,2672,,613,
2004-09-01,1068,,165,,2417,,545,
2004-10-01,1045,,161,,2862,,644,
2004-11-01,1228,,163,,2860,,639,
2004-12-01,1037,,160,,2568,,589,
2005-01-01,1138,,169,,2779,,619,
2005-02-01,2055,,209,,5008,,1427,
2005-03-01,2343,,245,,5651,,1606,
2005-04-01,2241,,231,,5347,,1549,
2005-05-01,1562,,201,,3749,,968,
2005-06-01,1130,,174,,3115,,701,
2005-07-01,1130,,173,,2795,,615,
2005-08-01,1166,,178,,2563,,574,
2005-09-01,1094,,169,,2850,,616,
2005-10-01,1125,,174,,3370,,733,
2005-11-01,1094,,168,,2969,,643,
2005-12-01,2057,,225,,4589,,1332,
2006-01-01,1669,,206,,4112,,1064,
2006-02-01,1506,,189,,3567,,904,
2006-03-01,2733,,267,,6580,,1957,
2006-04-01,2938,,284,,6474,,1947,
2006-05-01,1991,,237,,4651,,1242,
2006-06-01,2799,,276,,7866,,2370,
2006-07-01,2396,,254,,6890,,2000,
