Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,28466,,4452,,97839,,20166,
2002-11-01,28024,,4185,,90170,,19647,
2002-12-01,28910,,4335,,94465,,20329,
2003-01-01,28386,,4233,,87944,,19325,
2003-02-01,26242,,3890,,85391,,18783,
2003-03-01,28584,,4178,,92236,,20403,
2003-04-01,26613,,3818,,86824,,19026,
2003-05-01,31961,,4008,,96125,,23566,
2003-06-01,31755,,3928,,97867,,24512,
2003-07-01,32776,,4056,,101797,,25133,
2003-08-01,32791,,4045,,101229,,25111,
2003-09-01,29197,,3805,,89886,,21078,
2003-10-01,29227,,3785,,93057,,21791,
2003-11-01,31002,,3882,,95377,,23326,
2003-12-01,33107,,4107,,102004,,24632,
2004-01-01,32196,,4014,,94087,,23004,
2004-02-01,30189,,3706,,93491,,23036,
2004-03-01,33833,,3986,,104169,,26409,
2004-04-01,30763,,3759,,99528,,24074,
2004-05-01,27737,,3725,,94663,,21777,
2004-06-01,25607,,3505,,83455,,18685,
2004-07-01,30271,,3900,,97737,,22821,
2004-08-01,31098,,3996,,102715,,23805,
2004-09-01,31584,,3874,,95130,,23604,
2004-10-01,34228,,4071,,103586,,25709,
2004-11-01,33173,,3890,,95615,,24067,
2004-12-01,34619,,3963,,94334,,24102,
2005-01-01,34358,,4030,,101798,,26714,
2005-02-01,32650,,3757,,96840,,25471,
2005-03-01,39327,,4324,,111076,,31020,
2005-04-01,40461,,4220,,108359,,31352,
2005-05-01,42969,,4366,,111557,,32550,
2005-06-01,40168,,4244,,108996,,32479,
2005-07-01,41462,,4313,,106909,,32166,
2005-08-01,41452,,4390,,108640,,32262,
2005-09-01,38981,,4130,,100593,,28975,
2005-10-01,39829,,4201,,107094,,30260,
2005-11-01,38769,,4026,,99628,,29692,
2005-12-01,39900,,4139,,98980,,30557,
2006-01-01,41166,,4113,,94737,,29106,
2006-02-01,41276,,3820,,95715,,30206,
2006-03-01,47706,,4333,,115592,,36748,
2006-04-01,44256,,4013,,104763,,33674,
2006-05-01,44581,,4148,,109148,,34643,
2006-06-01,45046,,4103,,112317,,37533,
2006-07-01,46847,,4149,,113094,,37786,
2006-08-01,46606,,4207,,109472,,36424,
2006-09-01,48739,3564,4117,50,106248,2283,36326,2466
2006-10-01,50611,4331,4314,61,115563,2997,39391,3237
2006-11-01,47952,3992,4010,56,107138,2623,36918,2833
2006-12-01,49988,4063,4201,57,106551,3185,37538,3432
2007-01-01,50120,4277,4251,60,110188,3293,37307,3512
2007-02-01,45833,3992,3854,56,103552,3079,35114,3325
2007-03-01,50308,4419,4283,62,119520,3476,40878,3754
2007-04-01,48232,4206,4157,59,115915,3262,39135,3523
2007-05-01,47569,4419,4168,62,111851,3694,37631,3990
2007-06-01,48366,4154,4042,59,113025,3012,39283,3253
2007-07-01,50206,4402,4124,62,108814,3028,37938,3270
2007-08-01,50955,4385,4193,62,110290,3590,38184,3877
2007-09-01,55390,4277,3936,60,100325,2873,37350,3103
2007-10-01,59088,4419,4180,62,110801,2995,42050,3235
2007-11-01,56152,4134,3941,58,105543,3095,40764,3343
2007-12-01,58626,4154,4143,59,102571,3234,41448,3493
2008-01-01,65432,4348,3828,61,103657,3198,45705,3406
2008-02-01,65963,5329,3584,75,101652,4345,47364,4693
2008-03-01,72520,6629,3865,93,112960,5355,55367,5783
2008-04-01,69776,6130,3720,86,104200,4712,50916,5089
2008-05-01,70522,6201,3751,87,106979,4859,51727,5248
2008-06-01,67944,6344,3642,89,107701,4837,52530,5170
2008-07-01,69664,6486,3668,91,107866,5307,52518,5732
2008-08-01,67704,6629,3569,93,108623,5681,52400,6135
2008-09-01,57863,6059,3355,85,97526,4760,44741,5141
2008-10-01,59442,6344,3444,89,102889,4830,46315,5216
2008-11-01,55080,4206,3049,59,89888,2859,42124,3088
2008-12-01,60807,5132,3210,72,80352,3040,46686,4210
2009-01-01,61205,5702,3264,80,89063,3786,41985,4089
2009-02-01,57235,5631,3034,79,87288,4060,41390,4385
2009-03-01,64327,6629,3418,93,102648,5271,49827,5693
2009-04-01,58535,5560,3212,78,97397,4511,45860,4872
2009-05-01,59371,5988,3238,84,96858,5027,46085,5429
2009-06-01,63474,6415,3310,90,103818,4988,52264,5387
2009-07-01,65131,6486,3366,91,106459,4853,53479,5241
2009-08-01,65803,6629,3413,93,104419,4881,52650,5271
2009-09-01,61266,6344,3108,89,91829,4214,45887,4551
2009-10-01,64411,6629,3241,93,102791,4070,49512,4396
2009-11-01,62693,6273,3101,88,98911,4087,47604,4414
2009-12-01,68941,6415,3230,90,105056,4809,53198,5194
2010-01-01,74657,6558,3502,92,106412,5215,52134,5584
2010-02-01,69227,5417,3321,76,103098,4362,49288,4711
