Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2566,,598,,9718,,1454,
2002-11-01,2509,,583,,8961,,1304,
2002-12-01,2469,,575,,10518,,1495,
2003-01-01,2606,,590,,7635,,1057,
2003-02-01,2353,,541,,7338,,1011,
2003-03-01,2580,,598,,8923,,1231,
2003-04-01,2486,,568,,7955,,1135,
2003-05-01,2491,8,575,1,9761,0,1404,0
2003-06-01,2430,,561,,10737,,1532,
2003-07-01,2503,,579,,10646,,1514,
2003-08-01,2524,,576,,10041,,1415,
2003-09-01,2369,,545,,9153,,1299,
2003-10-01,2430,,560,,9508,,1381,
2003-11-01,2352,,546,,9978,,1424,
2003-12-01,2569,,581,,11437,,1648,
2004-01-01,2874,,521,,7742,,1595,
2004-02-01,3254,,567,,9506,,2011,
2004-03-01,3657,,603,,11134,,2353,
2004-04-01,4577,,614,,10778,,3037,
2004-05-01,4708,,631,,11949,,3268,
2004-06-01,5598,,664,,14067,,4179,
2004-07-01,6028,,655,,13804,,4225,
2004-08-01,4574,,655,,13943,,3449,
2004-09-01,4226,,602,,11753,,2879,
2004-10-01,4406,,630,,11896,,2925,
2004-11-01,4632,,600,,11199,,2746,
2004-12-01,4513,,642,,13431,,3103,
2005-01-01,4627,,612,,11873,,3040,
2005-02-01,3325,,545,,10448,,2301,
2005-03-01,6384,,702,,13684,,3867,
2005-04-01,5307,,653,,12320,,3553,
2005-05-01,3677,,623,,11412,,2432,
2005-06-01,6167,,660,,15730,,4967,
2005-07-01,6788,,683,,16201,,5388,
2005-08-01,5896,,664,,14580,,4524,
2005-09-01,5671,,625,,13211,,4136,
2005-10-01,6854,,680,,14534,,4872,
2005-11-01,6017,,549,,12133,,4509,
2005-12-01,5960,,574,,13704,,4704,
2006-01-01,5221,,571,,10554,,3489,
2006-02-01,7280,,561,,14082,,5876,
2006-03-01,8172,,611,,16319,,6765,
2006-04-01,9779,,823,,17961,,6947,
2006-05-01,9535,,836,,19337,,6907,
2006-06-01,9033,,811,,20505,,7332,
2006-07-01,9010,,802,,20053,,7393,
2006-08-01,9283,,838,,19829,,7526,
2006-09-01,8896,,803,,17222,,6569,
2006-10-01,9433,,848,,18673,,7050,
2006-11-01,8366,,801,,17953,,6357,
2006-12-01,6443,,751,,15710,,4585,
2007-01-01,6222,,741,,13099,,3806,
2007-02-01,5822,,674,,12264,,3725,
2007-03-01,7263,,778,,16256,,5243,
2007-04-01,6950,,738,,15565,,5088,
2007-05-01,7575,,780,,17514,,5804,
2007-06-01,6367,,737,,17427,,4907,
2007-07-01,6168,,744,,15917,,4464,
2007-08-01,5851,,746,,15215,,4121,
2007-09-01,5424,,667,,14903,,4002,
2007-10-01,6777,,753,,15924,,4980,
2007-11-01,6705,,715,,15492,,4881,
2007-12-01,6620,,742,,16480,,4939,
2008-01-01,10284,,809,,17210,,7422,
2008-02-01,11333,,798,,19073,,8799,
2008-03-01,12205,,875,,21831,,9950,
2008-04-01,13461,,887,,22877,,10928,
2008-05-01,13397,,894,,23788,,11095,
2008-06-01,12208,,864,,23568,,10158,
2008-07-01,12415,,884,,23175,,10002,
2008-08-01,11895,,850,,22677,,10004,
2008-09-01,12979,,755,,22242,,10888,
2008-10-01,13214,,820,,22917,,10998,
2008-11-01,14610,,845,,22451,,11607,
2008-12-01,14098,,828,,20636,,11372,
2009-01-01,15841,,917,,22717,,11628,
2009-02-01,15083,,864,,21924,,11691,
2009-03-01,17644,,982,,26641,,14564,
2009-04-01,20733,,1009,,28066,,15703,
2009-05-01,21231,,1015,,30410,,16840,
2009-06-01,23509,,1140,,36834,,20037,
2009-07-01,24986,,1194,,39271,,21480,
2009-08-01,23473,,1179,,37600,,20583,
2009-09-01,17858,,970,,26244,,14708,
2009-10-01,18608,,973,,26687,,14886,
2009-11-01,17758,,929,,25243,,14432,
2009-12-01,19300,,990,,28581,,15850,
2010-01-01,21117,,1028,,27184,,15750,
2010-02-01,18414,,926,,24605,,14498,
2010-03-01,19873,,1027,,28219,,16057,
2010-04-01,19538,,999,,28645,,15964,
2010-05-01,19583,,1004,,28878,,16049,
2010-06-01,20627,,1115,,32692,,17402,
2010-07-01,20131,,1152,,31185,,16842,
2010-08-01,20720,,1148,,32024,,17731,
2010-09-01,19263,,1045,,28940,,15939,
2010-10-01,17424,,912,,26270,,14390,
2010-11-01,17408,,864,,26514,,14917,
2010-12-01,18188,,914,,27734,,15378,
2011-01-01,20589,11,985,1,29568,22,16357,5
2011-02-01,17142,,783,,24958,,14430,
2011-03-01,17852,,891,,27720,,15194,
2011-04-01,17797,,853,,26465,,15353,
2011-05-01,20755,,940,,31412,,17809,
2011-06-01,21525,,974,,34251,,18534,
2011-07-01,22533,,1003,,34742,,19692,
2011-08-01,23700,,1017,,36420,,21629,
2011-09-01,23045,,922,,32070,,19393,
2011-10-01,23738,,942,,31648,,19407,
2011-11-01,23606,,934,,33840,,20318,
2011-12-01,23485,,977,,35208,,20692,
2012-01-01,20356,,872,,28438,,16862,
2012-02-01,19133,,838,,28158,,16493,
2012-03-01,21787,,896,,31980,,19223,
2012-04-01,20329,,860,,28150,,16955,
2012-05-01,21276,,880,,29883,,17743,
2012-06-01,23399,,912,,33152,,20205,
2012-07-01,23191,,914,,32290,,20119,
2012-08-01,22725,,917,,32941,,20488,
2012-09-01,21745,,855,,29426,,18495,
2012-10-01,23370,,905,,33153,,21000,
2012-11-01,22928,,848,,32353,,20498,
2012-12-01,23577,,888,,33482,,21116,
2013-01-01,22111,22,803,1,28938,45,18848,15
2013-02-01,20753,,765,,29435,,18616,
2013-03-01,21773,,856,,32312,,19765,
2013-04-01,20697,,816,,29836,,18121,
2013-05-01,21071,,819,,30741,,18535,
2013-06-01,23285,,855,,32623,,20394,
2013-07-01,22938,,850,,32021,,19885,
2013-08-01,23057,,853,,33191,,20502,
2013-09-01,27853,,922,,34148,,21934,
2013-10-01,30432,,1006,,38109,,24348,
2013-11-01,33161,,1062,,39406,,26253,
2013-12-01,34087,,1056,,44830,,30304,
2014-01-01,31703,,987,,37774,,26352,
2014-02-01,28953,,868,,35810,,25044,
2014-03-01,35529,,1094,,45771,,30755,
2014-04-01,30372,,1001,,37538,,24865,
2014-05-01,34412,,1085,,40753,,27356,
2014-06-01,26696,,808,,33564,,22884,
2014-07-01,26152,,789,,33074,,22970,
2014-08-01,27119,,932,,38207,,23758,
2014-09-01,22722,,576,,29428,,19325,
2014-10-01,21446,,543,,29109,,18592,
2014-11-01,21120,,526,,27172,,17972,
2014-12-01,19119,,499,,26869,,16629,
2015-01-01,20198,,513,,26458,,16875,
2015-02-01,17558,38,450,1,24634,,15495,0
2015-03-01,23118,,582,,34003,,20657,
2015-04-01,21108,,537,,30770,,18717,
2015-05-01,20847,,529,,30349,,18135,
2015-06-01,16726,,434,,26204,,15129,
2015-07-01,19564,,435,,25742,,16909,
2015-08-01,20557,,450,,26414,,17715,
2015-09-01,21204,,489,,26112,,16266,
2015-10-01,20751,,475,,27720,,17216,
2015-11-01,25542,,503,,28894,,21568,
2015-12-01,26623,,498,,29797,,22476,
2016-01-01,29991,,604,,33731,,24179,
2016-02-01,34518,,651,,37337,,28039,
2016-03-01,47003,,791,,48090,,40426,
2016-04-01,42698,,717,,41641,,36704,
2016-05-01,47255,,754,,44478,,38851,
2016-06-01,42263,,725,,43488,,35831,
2016-07-01,41068,,699,,41619,,34868,
2016-08-01,42111,,710,,43312,,36715,
2016-09-01,41190,,658,,40482,,35042,
2016-10-01,42331,,704,,41777,,35484,
2016-11-01,43079,,720,,42318,,35694,
2016-12-01,44479,,733,,43646,,36454,
2017-01-01,43206,,750,,40883,,31610,
2017-02-01,41831,,782,,43851,,32301,
2017-03-01,47665,,908,,54251,,40440,
