Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,9728,,434,,17374,141,7824,
2002-11-01,9274,,415,,16784,86,7557,
2002-12-01,9525,,427,,17831,84,8050,
2003-01-01,9502,,425,,17081,109,7707,
2003-02-01,8685,,388,,16128,120,7291,
2003-03-01,9601,,429,,18300,111,8283,
2003-04-01,12486,,489,,19022,178,9796,
2003-05-01,13394,,492,,19116,115,10542,
2003-06-01,13626,,502,,20269,115,11191,
2003-07-01,15521,,577,,22284,105,12085,
2003-08-01,15770,,584,,20688,64,11213,
2003-09-01,15138,,560,,18473,123,10145,
2003-10-01,15529,,571,,21244,151,11761,
2003-11-01,14558,,530,,19649,106,10595,
2003-12-01,14994,,546,,20256,132,10986,
2004-01-01,9889,,404,,15441,111,7588,
2004-02-01,8141,,347,,14876,,6890,
2004-03-01,10822,,433,,19022,,9301,
2004-04-01,10481,,419,,17867,,8673,
2004-05-01,10760,,431,,17452,,8345,
2004-06-01,8659,,360,,14961,,7074,
2004-07-01,8355,,343,,14388,,6858,
2004-08-01,8310,,340,,12712,,6064,
2004-09-01,8892,,374,,14982,,6888,
2004-10-01,9414,,399,,16182,,7401,
2004-11-01,9216,,390,,16236,,7504,
2004-12-01,10257,,439,,17538,,7961,
2005-01-01,10628,,456,,18317,,8200,
2005-02-01,10175,,453,,17152,,7533,
2005-03-01,13426,,584,,23350,,10558,
2005-04-01,12303,,539,,21746,,9776,
2005-05-01,12386,,548,,21921,,9758,
2005-06-01,9334,,418,,16529,,7274,
2005-07-01,8614,,389,,15165,,6603,
2005-08-01,8822,,398,,14389,,6280,
2005-09-01,6938,,308,,11524,,5119,
2005-10-01,6947,,307,,12294,,5504,
2005-11-01,6435,,286,,11477,,5122,
2005-12-01,3024,,152,,6525,,2601,
2006-01-01,3075,,154,,6548,,2632,
2006-02-01,3068,,151,,6590,,2674,
2006-03-01,4307,,218,,9598,,3793,
2006-04-01,4326,,219,,8869,,3519,
2006-05-01,4706,,237,,10364,,4125,
2006-06-01,3793,,198,,8668,,3328,
2006-07-01,3707,,197,,8720,,3301,
2006-08-01,3551,,189,,7634,,2875,
2006-09-01,4282,,217,,8684,,3452,
2006-10-01,4455,,225,,9377,,3738,
2006-11-01,4283,,217,,8428,,3359,
2006-12-01,4397,,224,,8496,,3369,
2007-01-01,5337,,246,,10418,,4319,
2007-02-01,4836,,220,,9919,,4104,
2007-03-01,4663,,221,,9797,,3937,
2007-04-01,4763,,230,,10195,,4048,
2007-05-01,4563,,230,,9924,,3959,
2007-06-01,6422,,256,,12265,,5422,
2007-07-01,7085,,269,,13323,,5929,
2007-08-01,7423,,279,,13617,,6043,
2007-09-01,5828,,229,,10912,,4672,
2007-10-01,4985,,211,,10116,,4176,
2007-11-01,4975,,211,,10097,,4240,
2007-12-01,6051,,254,,11777,5,5099,
2008-01-01,5048,,215,,9809,,4112,
2008-02-01,5205,,217,,10068,,4269,
2008-03-01,6165,,248,,12266,,5268,
2008-04-01,7127,,269,,13606,,6019,
2008-05-01,7610,,288,,14770,,6545,
2008-06-01,8370,,298,,15131,1,6807,
2008-07-01,8231,,302,,15138,75,6830,
2008-08-01,7923,,289,,14667,,6511,
2008-09-01,3890,,164,,7963,,3325,
2008-10-01,4518,,187,,9818,,4160,
2008-11-01,4900,,191,,9620,,4038,
2008-12-01,5906,,212,,10001,,4828,
2009-01-01,7033,,257,,11968,,5286,
2009-02-01,6604,,237,,11667,,5235,
2009-03-01,7451,,272,,14000,,6310,
2009-04-01,7119,,266,,12458,,5570,
2009-05-01,7139,,265,,12211,,5414,
2009-06-01,10477,,334,,16959,87,8278,
2009-07-01,9646,,317,,16064,28,7653,
2009-08-01,10450,,339,,15722,25,7569,
2009-09-01,9902,,319,,15530,,7635,
2009-10-01,10454,,337,,18407,,9004,
2009-11-01,9695,,308,,17292,,8189,
2009-12-01,10146,,321,,17762,20,8398,
2010-01-01,10278,,326,,17680,46,8372,
2010-02-01,8250,,266,,14907,15,6869,
2010-03-01,8503,,277,,16855,,7683,
2010-04-01,8818,,290,,17002,,7848,
2010-05-01,8094,,274,,15277,,6986,
2010-06-01,8605,,283,,15051,,7455,
2010-07-01,10211,,318,,16646,,8697,
2010-08-01,9412,,303,,14370,2,7378,
2010-09-01,7428,,246,,11999,,6033,
2010-10-01,7279,,247,,12657,,6367,
2010-11-01,5736,,209,,10683,,4944,
2010-12-01,6547,,231,,11811,,5515,
2011-01-01,7737,,254,,12529,,6160,
2011-02-01,8398,,270,,13322,,6847,
2011-03-01,16391,,510,,26592,,13313,
2011-04-01,15089,,479,,23750,28,11958,
2011-05-01,15404,,482,,24178,3,12272,
2011-06-01,15569,,499,,25671,,13064,
2011-07-01,15478,,507,,25029,,12687,
2011-08-01,16616,,531,,24003,,12427,
2011-09-01,15090,,514,,23963,4,11861,
2011-10-01,15898,,525,,25611,,13107,
2011-11-01,9182,,346,,16672,2,7365,
2011-12-01,11253,,452,,21088,,9067,
2012-01-01,20548,,1001,,39671,,15364,
2012-02-01,21704,,1078,,44579,,17094,
2012-03-01,35644,,1803,,76838,,29570,
2012-04-01,34973,109,1780,2,76904,79,29598,86
2012-05-01,33747,217,1769,4,77151,123,29203,134
2012-06-01,35924,272,1816,5,79368,218,30590,237
2012-07-01,36856,1436,1853,69,76472,1330,30366,625
2012-08-01,35785,1251,1778,61,75304,1288,29829,571
2012-09-01,31886,762,1587,46,66098,938,25673,303
2012-10-01,32929,834,1669,50,71863,1312,27596,430
2012-11-01,33490,493,1722,30,73044,993,27999,339
2012-12-01,36839,471,1850,31,74637,1203,29281,366
