Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2910,,892,,14241,,1552,
2002-11-01,2483,,758,,14388,,1567,
2002-12-01,2623,,802,,18197,,1983,
2003-01-01,2515,,768,,14993,,1636,
2003-02-01,2279,,698,,14366,,1566,
2003-03-01,2591,,796,,16297,,1814,
2003-04-01,2184,,670,,14451,,1601,
2003-05-01,2176,,664,,13786,,1537,
2003-06-01,2020,,622,,14426,,1603,
2003-07-01,2049,,631,,15617,,1724,
2003-08-01,2043,,629,,14948,,1657,
2003-09-01,2007,,618,,13357,,1486,
2003-10-01,1979,,605,,13536,,1505,
2003-11-01,2294,,610,,15950,,1765,
2003-12-01,2522,,611,,16938,,1864,
2004-01-01,3432,,650,,15281,,2280,
2004-02-01,2734,,591,,16304,,2514,
2004-03-01,2891,,622,,18031,,2735,
2004-04-01,3523,,601,,19154,,2824,
2004-05-01,3849,,649,,19136,,3298,
2004-06-01,3719,,627,,16461,,3153,
2004-07-01,4118,,636,,16492,,3255,
2004-08-01,4308,,693,,18380,,3484,
2004-09-01,4075,,673,,16220,,3120,
2004-10-01,5248,,688,,17419,,3294,
2004-11-01,4128,,661,,15920,,3082,
2004-12-01,3984,,655,,16281,,3108,
2005-01-01,3809,,672,,15467,,3008,
2005-02-01,2875,,591,,13658,,2126,
2005-03-01,3234,,665,,15785,,2450,
2005-04-01,4892,,709,,17977,,4048,
2005-05-01,4893,,729,,18421,,4156,
2005-06-01,4085,,756,,17077,,3189,
2005-07-01,4283,,771,,16546,,3206,
2005-08-01,4343,,801,,16474,,3279,
2005-09-01,4193,,756,,16485,,3069,
2005-10-01,4271,,779,,18429,,3417,
2005-11-01,3973,,739,,16943,,3145,
2005-12-01,4716,,775,,17171,,3564,
2006-01-01,4583,,763,,15555,,3398,
2006-02-01,4117,,662,,15870,,3303,
2006-03-01,4640,,746,,18188,,3716,
2006-04-01,3527,,590,,15033,,2879,
2006-05-01,4674,,680,,16567,32,3570,
2006-06-01,4908,,701,,18138,57,4125,
2006-07-01,5185,,717,,18454,30,4313,
2006-08-01,5014,,719,,16987,89,4023,
2006-09-01,3805,,655,,14752,7,2853,
2006-10-01,3943,,686,,16024,,3024,
2006-11-01,4502,,621,,15362,,3320,
2006-12-01,5420,,674,,17333,,4224,
2007-01-01,5664,,685,,17380,,4407,
2007-02-01,5312,,619,,17767,,4622,
2007-03-01,6229,,689,,20456,,5293,
2007-04-01,6267,,667,,19721,,5218,
2007-05-01,6708,,675,,19246,,5456,
2007-06-01,4789,,632,,16568,40,3875,
2007-07-01,4031,,625,,15643,,3241,
2007-08-01,3365,,608,,14790,,2732,
2007-09-01,2313,,538,,12485,,1736,
2007-10-01,2458,,565,,13323,,1930,
2007-11-01,2492,,527,,12659,,1964,
2007-12-01,4963,,618,,15997,,3932,
2008-01-01,3970,,531,,14648,,3268,
2008-02-01,4014,,483,,14300,,3416,
2008-03-01,4802,,537,,15734,,4149,
2008-04-01,4225,,520,,14692,,3635,
2008-05-01,4771,,548,,15240,,3949,
2008-06-01,4271,,543,,15942,,3689,
2008-07-01,4738,,566,,16730,,4026,
2008-08-01,4333,,544,,16064,,3789,
2008-09-01,4163,,536,,15579,,3699,
2008-10-01,4222,,546,,16421,15,3892,
2008-11-01,3535,,471,,14350,0,3180,
2008-12-01,4649,,499,,13839,,4120,
2009-01-01,6599,,582,,17695,20,5485,
2009-02-01,6322,,536,,17102,,5559,
2009-03-01,6168,,582,,18318,,5362,
2009-04-01,6163,,570,,18546,,5555,
2009-05-01,7523,,599,,20107,34,6611,
2009-06-01,6111,,576,,18650,3,5459,
2009-07-01,7131,,604,,20050,,6274,
2009-08-01,7181,,619,,20275,,6314,
2009-09-01,6187,,564,,17501,,5178,
2009-10-01,8277,,573,,21462,43,7181,
2009-11-01,9234,,568,,23971,,7781,
2009-12-01,9650,,586,,23864,,8082,
2010-01-01,10780,,609,,24750,,8896,
2010-02-01,8558,,613,,25182,,7266,
2010-03-01,8515,,713,,29621,,7525,
2010-04-01,5027,,627,,23051,,4059,
2010-05-01,4132,,646,,19988,,2826,
2010-06-01,5660,,649,,24519,,4678,
2010-07-01,5480,,651,,24884,,4501,
2010-08-01,4835,,634,,23622,,3895,
2010-09-01,3092,,556,,20354,,2257,
2010-10-01,3415,,578,,20805,,2486,
2010-11-01,4190,,560,,21114,,3312,
2010-12-01,5124,,595,,22325,,4139,
2011-01-01,5066,,609,,20259,,3802,
2011-02-01,5518,,579,,21672,,4564,
2011-03-01,7297,,686,,25648,,6148,
2011-04-01,5902,,639,,25026,,5167,
2011-05-01,5793,,642,,23455,11,4864,
2011-06-01,5051,,633,,23488,14,4300,
2011-07-01,5178,,651,,24702,,4509,
2011-08-01,5096,,651,,25508,,4514,
2011-09-01,4657,,548,,20260,,3871,
2011-10-01,4917,,577,,20618,,4084,
2011-11-01,4322,,550,,19775,1,3529,
2011-12-01,6043,,630,,22627,,4983,
2012-01-01,5175,,600,,18424,,3567,
2012-02-01,4871,,566,,18606,,3617,
2012-03-01,5560,,627,,21901,,4425,
2012-04-01,6411,,646,,24388,,5400,
2012-05-01,6602,,657,,24152,,5649,
2012-06-01,6066,,678,,24488,,5222,
2012-07-01,6796,,713,,26895,,5969,
2012-08-01,6850,,704,,27283,,6024,
2012-09-01,5706,,624,,22433,,4638,
2012-10-01,5044,,629,,23060,,4186,
2012-11-01,5932,,739,,27834,,4943,
2012-12-01,7930,,912,,32032,,6099,
2013-01-01,8278,,914,,32427,,6308,
2013-02-01,7078,,825,,29553,,5549,
2013-03-01,7633,,917,,31908,,5659,
2013-04-01,8557,,873,,32967,,6963,
2013-05-01,8534,,845,,32703,,7293,
2013-06-01,9946,,880,,34877,,8774,
2013-07-01,8231,,835,,30940,,6997,
2013-08-01,7285,,815,,29870,,6210,
2013-09-01,5062,,690,,24872,,4233,
2013-10-01,5695,,717,,27592,,4893,
2013-11-01,6267,,690,,25930,,5270,
2013-12-01,7143,,719,,28068,,6139,
2014-01-01,6286,,675,,24518,,5131,
2014-02-01,5332,,610,,23276,,4524,
2014-03-01,10477,,821,,35126,,9263,
2014-04-01,6443,,715,,29785,,5711,
2014-05-01,6570,,774,,31609,,5606,
2014-06-01,9356,,849,,34328,,8060,
2014-07-01,10390,,892,,35511,,8775,
2014-08-01,9948,,883,,36272,,8803,
2014-09-01,9101,,821,,32983,,7433,
2014-10-01,11119,,876,,36546,,9368,
2014-11-01,8222,,692,,27674,,6863,
2014-12-01,9210,,745,,29669,,7696,
2015-01-01,9216,,712,,29478,,7875,
2015-02-01,9234,,637,,28265,,8273,
2015-03-01,10182,,697,,30961,,8997,
2015-04-01,7691,,606,,28177,,6807,
2015-05-01,7228,,549,,28196,,6480,
2015-06-01,8560,,566,,30171,,7749,
2015-07-01,9806,,617,,33131,,8856,
2015-08-01,9855,,627,,33894,,8767,
2015-09-01,10129,,628,,32759,,8224,
2015-10-01,9332,,434,,25666,,7826,
2015-11-01,8101,,365,,21409,,6953,
2015-12-01,8407,,358,,20145,,7032,
2016-01-01,10719,,387,,21085,,8852,
2016-02-01,10433,,388,,20711,,8474,
2016-03-01,11500,,442,,24663,,9897,
2016-04-01,10538,,436,,24167,,9269,
2016-05-01,10954,,443,,25114,,9474,
2016-06-01,14230,,581,,32878,,11725,
2016-07-01,14105,,607,,34518,,11388,
2016-08-01,12591,,564,,31437,,9859,
2016-09-01,13432,,540,,30587,,10609,
2016-10-01,12013,,521,,28828,,9065,
2016-11-01,16411,,531,,31955,,13682,
2016-12-01,15982,,548,,31278,,12753,
2017-01-01,14985,,534,,27416,,10808,
2017-02-01,15367,,515,,29284,,12412,
2017-03-01,14144,,568,,31874,,10642,
