Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1727,320,324,84,6589,684,1006,87
2002-11-01,1978,297,380,78,6398,548,1137,70
2002-12-01,2052,339,388,89,7937,1066,1401,135
2003-01-01,2076,331,405,87,6157,852,1090,108
2003-02-01,1927,293,372,77,6010,1020,1058,130
2003-03-01,2178,347,419,91,7291,1358,1300,172
2003-04-01,1942,339,375,89,6291,984,1107,125
2003-05-01,1899,347,366,91,6085,1501,1076,191
2003-06-01,1895,343,365,90,6738,1306,1187,166
2003-07-01,1944,351,375,92,7393,1480,1296,188
2003-08-01,1910,343,369,90,7052,1530,1224,194
2003-09-01,1876,324,361,85,6423,1327,1119,169
2003-10-01,1854,293,357,77,6601,1013,1173,129
2003-11-01,1816,320,351,84,6588,931,1158,118
2003-12-01,1962,335,379,88,7890,1305,1385,166
2004-01-01,2663,293,368,77,6736,848,1824,108
2004-02-01,2810,309,379,81,7267,1109,1981,141
2004-03-01,1978,354,381,93,7409,1549,1313,197
2004-04-01,1952,339,378,89,6824,1066,1201,135
2004-05-01,3077,351,419,92,7924,1486,2043,189
2004-06-01,2987,339,408,89,8723,1493,2183,190
2004-07-01,3359,404,410,91,8490,1246,2221,158
2004-08-01,3090,347,422,91,9044,1310,2330,166
2004-09-01,2887,335,392,88,7345,1288,1959,164
2004-10-01,1943,328,375,86,6378,999,1118,127
2004-11-01,2126,356,345,80,6009,858,1063,109
2004-12-01,1772,309,348,81,7083,1230,1217,156
2005-01-01,1910,312,361,82,6467,1005,1154,128
2005-02-01,2706,290,362,76,6614,1042,1607,132
2005-03-01,4917,339,467,89,10586,1269,3609,161
2005-04-01,5097,339,469,89,10265,932,3590,118
2005-05-01,5206,351,481,92,10521,1374,3802,174
2005-06-01,5037,339,469,89,11229,1448,4053,184
2005-07-01,4156,339,452,89,10322,1353,3262,172
2005-08-01,4148,347,456,91,10584,1492,3328,189
2005-09-01,6203,339,492,89,11654,1329,4811,169
2005-10-01,6396,335,506,88,11486,927,4539,118
2005-11-01,4719,,349,,9013,,3759,
2005-12-01,3275,,314,,7808,,2645,
2006-01-01,3225,,319,,7037,,2466,
2006-02-01,2890,,277,,6352,,2194,
2006-03-01,3269,,303,,7342,,2519,
2006-04-01,4359,,398,,9355,,3184,
2006-05-01,3461,,377,,7954,,2365,
2006-06-01,3588,,389,,9410,,2944,
2006-07-01,3757,,399,,9885,,3052,
2006-08-01,3840,,411,,10285,,3206,
2006-09-01,4501,,408,,9418,,3555,
2006-10-01,4928,,428,,9986,,3903,
2006-11-01,4643,,416,,9663,,3561,
2006-12-01,5882,,437,,11344,,4595,
2007-01-01,6783,,452,,10602,,4790,
2007-02-01,6209,,400,,10433,,4808,
2007-03-01,7018,,465,,12546,,5661,
2007-04-01,5938,,430,,10892,,4546,
2007-05-01,5127,,432,,9707,,3838,
2007-06-01,5495,,439,,11500,,4457,
2007-07-01,5130,,437,,11347,,4131,
2007-08-01,5501,,450,,12419,,4547,
2007-09-01,4373,,386,,9819,,3476,
2007-10-01,7240,,459,,12315,,5414,
2007-11-01,7116,,441,,11887,,5276,
2007-12-01,3396,,376,,8299,,2310,
2008-01-01,7678,,444,,10642,,5600,
2008-02-01,7549,,423,,11639,,5987,
2008-03-01,7771,,454,,13251,,6431,
2008-04-01,7600,,454,,12321,,6034,
2008-05-01,6188,,434,,10942,,4971,
2008-06-01,4786,,411,,10320,,3658,
2008-07-01,4124,,418,,9753,,3231,
2008-08-01,4011,,409,,10077,,3196,
2008-09-01,6904,,373,,11340,,5739,
2008-10-01,7494,,379,,11933,,6371,
2008-11-01,10211,,395,,13268,,8346,
2008-12-01,9907,,394,,12460,,8461,
2009-01-01,10435,,409,,12740,,8144,
2009-02-01,10061,,402,,12988,,8427,
2009-03-01,12523,,481,,17087,,10916,
2009-04-01,12525,,469,,16983,,10622,
2009-05-01,13389,,486,,17989,,11460,
2009-06-01,14418,,627,,20177,,12511,
2009-07-01,14714,,651,,21192,,12979,
2009-08-01,15699,,673,,23748,,14366,
2009-09-01,12627,,577,,18101,,10785,
2009-10-01,15779,,654,,20942,,12678,
2009-11-01,15948,,638,,20713,,13141,
2009-12-01,16647,37,668,1,23087,,14402,0
2010-01-01,18508,,688,,22645,,14693,
2010-02-01,17283,,641,,22383,,14343,
2010-03-01,19192,,716,,26659,,16862,
2010-04-01,16652,,658,,21217,,13332,
2010-05-01,16995,,668,,21777,,13849,
2010-06-01,16788,,700,,23246,,14140,
2010-07-01,15586,,697,,22159,,13470,
2010-08-01,15237,,685,,22525,,13635,
2010-09-01,13230,,614,,19361,,11571,
2010-10-01,14990,,594,,19917,,12491,
2010-11-01,15566,,582,,21022,,13224,
2010-12-01,14547,,578,,20410,,12467,
2011-01-01,13139,5,539,1,16531,,10489,3
2011-02-01,10866,,403,,13995,,9269,
2011-03-01,15179,,515,,20153,,13745,
2011-04-01,11693,,435,,15519,,10165,
2011-05-01,15948,,522,,19979,,13794,
2011-06-01,20180,,603,,24686,,17747,
2011-07-01,22534,,653,,28400,,20681,
2011-08-01,23380,,668,,30335,,21996,
2011-09-01,21673,,597,,26497,,19032,
2011-10-01,21606,,600,,23447,,17153,
2011-11-01,20257,,587,,24297,,17327,
2011-12-01,20291,,604,,24640,,17552,
2012-01-01,16886,,515,,18934,,13734,
2012-02-01,16592,,515,,19933,,14424,
2012-03-01,18461,,536,,22057,,16797,
2012-04-01,17416,,509,,20061,,15661,
2012-05-01,18745,,527,,20219,,16295,
2012-06-01,18837,,533,,22337,,17119,
2012-07-01,18896,,550,,23913,,17351,
2012-08-01,18769,,558,,25025,,17793,
2012-09-01,18492,,524,,22576,,16829,
2012-10-01,18593,,534,,22471,,16866,
2012-11-01,16712,,470,,20286,,14904,
2012-12-01,16715,,487,,20837,,15181,
2013-01-01,14194,,426,,16571,,12295,
2013-02-01,14285,,427,,17793,,12929,
2013-03-01,14220,,463,,17683,,12801,
