Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,16509,,2387,,50380,,10847,
2002-11-01,15514,,2238,,45172,,9984,
2002-12-01,15842,,2244,,49188,,11106,
2003-01-01,20429,,2526,,49019,,12282,
2003-02-01,19834,,2314,,50564,,13022,
2003-03-01,21772,,2448,,57161,,14783,
2003-04-01,21932,,2359,,57747,,14856,
2003-05-01,27361,,2669,,72359,,19851,
2003-06-01,28228,,2680,,79191,,22255,
2003-07-01,30274,,2799,,83720,,23771,
2003-08-01,30177,,2781,,83502,,23903,
2003-09-01,29188,,2675,,74401,,21074,
2003-10-01,30235,,2754,,80927,,22967,
2003-11-01,28564,,2674,,76601,,21741,
2003-12-01,29619,,2741,,80489,,23187,
2004-01-01,30124,,2771,,70817,,20590,
2004-02-01,28677,,2627,,72975,,21351,
2004-03-01,31445,,2945,,83595,,24416,
2004-04-01,32125,,2972,,84952,,24256,
2004-05-01,33621,,3084,,89248,,25493,
2004-06-01,32987,,2952,,91984,,26865,
2004-07-01,33567,,2976,,92103,,26444,
2004-08-01,33649,,2885,,89379,,25337,
2004-09-01,28745,,2777,,79527,,22545,
2004-10-01,32896,,2820,,83353,,23723,
2004-11-01,32917,,2700,,78952,,24536,
2004-12-01,35797,,2795,,84287,,26931,
2005-01-01,35083,,2942,,86553,,27804,
2005-02-01,37736,1971,2802,28,88097,1724,29969,1755
2005-03-01,45439,4302,3173,61,97961,3671,35169,3737
2005-04-01,44921,4058,3106,59,94600,3357,33296,3417
2005-05-01,47724,4369,3312,62,99198,3504,35788,3567
2005-06-01,49347,4139,3291,59,103598,3422,38411,3484
2005-07-01,48813,4357,3433,62,102158,3601,37904,3666
2005-08-01,52304,4261,3480,61,104047,3517,38210,3580
2005-09-01,48072,4206,3213,60,94278,3366,33873,3427
2005-10-01,48437,4337,3269,62,102931,3465,36585,3527
2005-11-01,44035,3897,3168,56,92126,3025,33406,3079
2005-12-01,42457,4261,3138,61,91055,3216,33421,3274
2006-01-01,44720,4838,3306,72,89085,4709,32157,4799
2006-02-01,41575,5315,3031,76,88022,4330,32151,4572
2006-03-01,47286,6198,3382,88,103429,5025,38015,5348
2006-04-01,45764,6265,3248,89,99258,5272,36565,5619
2006-05-01,49149,7119,3391,101,105118,5715,38179,6091
2006-06-01,45689,6891,3272,98,102314,4972,38398,5272
2006-07-01,48580,7263,3356,103,103965,5443,39359,5790
2006-08-01,51743,7026,3441,100,103886,5530,38973,5898
2006-09-01,46642,8088,3212,116,95575,6101,35601,6443
2006-10-01,48744,8492,3387,122,100598,6263,37593,6603
2006-11-01,45620,8348,3115,120,92667,5856,35054,6178
2006-12-01,47717,8396,3256,121,94904,6272,36686,6605
2007-01-01,48657,8542,3368,123,91713,6408,34472,6766
2007-02-01,43696,7791,2985,112,85006,6240,32503,6575
2007-03-01,50135,8626,3492,124,102119,6736,39075,7110
2007-04-01,47593,8511,3318,122,98753,7057,37350,7453
2007-05-01,47991,8933,3373,128,101321,7211,37478,7614
2007-06-01,50568,8664,3510,124,105091,6902,40292,7301
2007-07-01,51410,8933,3579,128,101957,7061,38416,7456
2007-08-01,51727,8789,3633,126,104330,7294,39357,7716
2007-09-01,44328,8424,3287,121,89861,6268,31734,6622
2007-10-01,46447,8540,3431,123,94160,6563,33473,6923
2007-11-01,44383,8213,3210,118,87656,6182,31638,6542
2007-12-01,46401,8626,3340,124,87673,6533,32288,6896
2008-01-01,44439,9992,3124,142,80583,6947,29110,7460
2008-02-01,44471,10140,3128,143,86067,8106,31664,8712
2008-03-01,48634,11003,3411,155,93646,8835,34822,9487
2008-04-01,41588,10725,3093,151,79536,8971,28225,9633
2008-05-01,42469,11003,3120,155,83742,8775,30062,9411
2008-06-01,41076,12533,3070,184,86652,9420,31170,9743
2008-07-01,42994,14512,3245,213,89236,11983,31672,12367
2008-08-01,43184,17188,3243,250,91199,14404,32507,15027
2008-09-01,45738,16408,3267,239,93107,10634,33629,11096
2008-10-01,47832,17034,3368,248,98816,11269,35669,11714
2008-11-01,45480,13827,3075,205,88111,9418,33655,9614
2008-12-01,46699,15299,3098,225,77809,8440,35345,10946
2009-01-01,48097,14927,3229,221,83676,10055,32857,10401
2009-02-01,42685,14304,2863,211,78568,10776,31236,11235
2009-03-01,47792,16624,3250,246,90797,12852,35664,13325
2009-04-01,46124,14819,3192,238,91840,12573,34705,12647
2009-05-01,46979,15317,3209,246,94646,12438,35257,12500
2009-06-01,58370,15452,3608,247,116373,11574,46358,11625
2009-07-01,60008,15761,3656,252,119460,13072,48082,13218
2009-08-01,60746,16104,3689,257,119296,14045,48043,14220
2009-09-01,60425,14855,3502,238,112659,10490,45679,10518
2009-10-01,65325,15243,3587,246,117347,10792,50020,10762
2009-11-01,62487,14268,3401,234,110906,10099,47861,9744
2009-12-01,63976,14250,3493,236,112091,11015,48730,10508
2010-01-01,64498,14839,3437,243,100094,10925,44221,10658
2010-02-01,58712,12460,3175,204,98183,10080,42903,10060
2010-03-01,65573,13580,3645,221,117973,11070,51039,11032
2010-04-01,64503,13173,3468,215,112458,11652,51208,11623
2010-05-01,68656,13897,3581,227,119059,12290,54626,12237
2010-06-01,73333,12909,3702,210,130222,11487,60844,11512
2010-07-01,78111,13369,3897,217,134208,11956,63275,12053
2010-08-01,76144,13254,3860,215,131567,12022,61673,12096
2010-09-01,68242,12990,3523,211,117213,11097,53016,11166
