Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,78641,3587,4234,90,137800,5429,56826,1769
2002-11-01,84986,7599,4535,202,131126,4647,60935,3548
2002-12-01,87253,7643,4567,203,146800,5888,67846,4499
2003-01-01,87180,7799,4592,207,127376,6244,60010,4790
2003-02-01,79913,7235,4262,192,126408,6183,57787,4736
2003-03-01,91281,7986,4816,212,144981,6384,67882,4877
2003-04-01,82388,7655,4529,203,119659,5258,55173,4085
2003-05-01,84817,7846,4411,208,133005,5835,61057,4506
2003-06-01,90130,7723,4957,205,152452,6786,69063,5216
2003-07-01,96627,8026,5144,213,161166,7798,73887,5951
2003-08-01,96614,7990,5148,212,162460,7548,74002,5736
2003-09-01,93895,7763,5003,206,143270,5802,65358,4453
2003-10-01,96541,7946,4973,211,155671,5432,71612,4196
2003-11-01,94691,7423,4828,197,146167,4528,67780,3474
2003-12-01,98000,7723,4919,205,157338,5050,72292,3898
2004-01-01,111779,7770,5495,206,154819,4876,73409,3768
2004-02-01,111028,7232,5440,192,166347,5535,77827,4171
2004-03-01,120420,8026,5946,213,184210,5069,86804,3859
2004-04-01,116105,7871,5722,209,169277,6204,79847,4672
2004-05-01,124829,8094,6130,215,183482,6724,86653,5101
2004-06-01,127373,7871,6272,209,207328,6355,97793,4809
2004-07-01,133472,8170,6498,217,217111,7996,102773,6019
2004-08-01,131721,8170,6459,217,207950,7592,99017,5738
2004-09-01,125403,7907,6195,210,191896,6522,90899,4941
2004-10-01,127972,8134,6280,216,194661,5870,92431,4430
2004-11-01,124518,7579,6013,201,188107,5384,89332,4050
2004-12-01,126018,8058,6107,214,195424,6788,92016,5207
2005-01-01,124610,7874,5940,209,175079,7801,83880,5907
2005-02-01,129633,8204,6096,219,186012,8271,87058,6213
2005-03-01,155731,9073,7189,240,234588,7179,112761,5430
2005-04-01,152018,8851,6926,235,217945,8326,106234,6273
2005-05-01,154570,9070,7150,242,224668,8826,108247,6646
2005-06-01,151341,7575,7122,204,237300,7668,113759,5696
2005-07-01,156747,7871,7414,212,246815,8114,118325,6014
2005-08-01,156924,7846,7472,211,242600,7524,115997,5594
2005-09-01,155174,7755,7192,209,213886,6875,105411,5101
2005-10-01,158554,8011,7251,216,216802,6841,107437,5060
2005-11-01,145157,7387,6701,199,205883,6181,101637,4571
2005-12-01,122692,7832,5748,205,194811,5888,94216,4437
2006-01-01,121871,9004,5582,232,181544,8097,90796,6219
2006-02-01,113186,8928,5113,229,172567,8465,86467,6620
2006-03-01,134773,9983,6014,256,212890,9578,107418,7539
2006-04-01,136795,9270,5884,238,201675,8280,104791,6537
2006-05-01,145421,9019,6091,232,213665,9046,113133,7064
2006-06-01,144266,9986,6305,257,234290,8581,119931,6761
2006-07-01,152589,10718,6644,276,246434,9564,125869,7503
2006-08-01,151424,10796,6702,278,243274,10252,123724,8130
2006-09-01,148655,11435,6194,252,219562,9246,114841,8156
2006-10-01,161156,11984,6387,254,237488,9235,127309,8515
2006-11-01,165979,11394,6283,243,230664,7233,127742,6515
2006-12-01,178104,12756,6715,268,255475,8751,137846,7924
2007-01-01,180887,15558,6832,331,248595,10445,135754,9393
2007-02-01,170329,13831,6344,297,240894,9503,132303,8484
2007-03-01,199378,14747,7235,318,282222,11094,160412,10275
2007-04-01,187154,15117,6584,323,255010,10810,148914,9640
2007-05-01,184886,13725,6441,295,255129,11079,147550,10030
2007-06-01,212927,14823,7639,301,299221,10992,171611,10226
2007-07-01,222912,15748,8020,311,312539,12520,179238,11707
2007-08-01,223203,16663,8011,324,315568,13661,181119,13038
2007-09-01,190520,12983,6875,258,257387,10462,146862,9854
2007-10-01,207625,13860,7083,268,276975,10909,161205,10168
2007-11-01,198964,12959,6814,253,257364,9215,149464,8725
2007-12-01,201134,13143,6870,241,257493,9453,146506,9202
2008-01-01,185249,16493,6506,277,236161,12288,134181,12242
2008-02-01,176410,14969,6336,244,240462,11634,133387,11884
2008-03-01,197370,18630,7076,311,280961,14548,158435,14828
2008-04-01,186328,15671,6267,273,243630,12274,145390,12127
2008-05-01,179907,15063,6010,271,237539,12454,141993,12087
2008-06-01,181041,12036,6397,252,257588,9931,144543,8848
2008-07-01,191231,11009,6785,246,274596,10503,152758,8614
2008-08-01,185262,10483,6604,240,268374,10117,148346,8225
2008-09-01,172962,11206,6005,245,243605,8599,138912,7486
2008-10-01,179200,11193,6038,249,252037,8536,147189,7503
2008-11-01,171970,10480,5775,230,231257,7746,135556,7247
2008-12-01,182483,12517,6074,268,245327,8587,144864,8170
2009-01-01,185255,10985,6282,245,241095,8658,141084,7426
2009-02-01,162563,9178,5666,198,219181,8193,125148,6963
2009-03-01,176803,10782,6294,236,247964,9647,141403,8130
2009-04-01,181400,10028,6082,216,245618,8525,144981,7261
2009-05-01,191299,10078,6255,218,260092,8714,153895,7167
2009-06-01,213901,9781,6989,212,301515,8691,179027,7295
2009-07-01,229454,11563,7477,234,328074,11197,193434,9674
2009-08-01,225046,10691,7223,215,319341,10227,190258,8715
2009-09-01,196666,6297,6111,153,268626,6181,162721,4954
2009-10-01,206734,6940,6274,146,281318,6139,172069,4974
2009-11-01,196212,6634,6024,140,261265,5823,157796,4668
2009-12-01,195113,9070,6178,169,257520,7145,152592,6505
2010-01-01,199860,8689,6394,155,262721,7027,155835,6518
2010-02-01,179219,7838,5780,136,246896,6874,143487,6389
2010-03-01,198319,8845,6431,152,286724,7674,167600,7298
2010-04-01,181797,6276,5829,117,259306,6381,152145,5451
2010-05-01,193683,6011,5967,113,266756,6153,158576,5051
2010-06-01,202434,6281,6458,138,288265,6887,171738,5366
2010-07-01,179382,8030,6485,186,276380,8801,150478,6724
2010-08-01,192015,6756,6586,152,279863,7424,158476,5688
2010-09-01,166099,6879,5722,128,241455,6470,132161,5474
2010-10-01,155423,7080,5346,134,228755,6789,127540,5800
2010-11-01,171310,5829,5462,121,234320,5326,139844,4369
2010-12-01,181820,5516,5722,119,246325,4439,145963,3575
2011-01-01,189288,6017,5900,124,249103,4961,149470,3949
2011-02-01,170357,5457,5357,112,230887,4515,136376,3540
2011-03-01,206147,6052,6293,124,282837,5693,172145,4517
2011-04-01,175416,2622,5476,60,242920,3221,144866,2218
2011-05-01,173640,2778,5522,63,248290,3291,146341,2533
2011-06-01,179302,6358,5777,122,261988,6457,153752,5645
2011-07-01,189348,9217,6117,181,280726,9192,164319,7863
2011-08-01,182696,7479,5900,152,271109,7898,158108,6556
2011-09-01,157052,5768,5067,119,232196,5856,133901,4652
2011-10-01,157969,5684,5018,118,229912,4614,134572,3718
2011-11-01,147680,6437,4518,119,210026,5209,125189,4412
2011-12-01,154930,5277,4760,113,211876,4187,126444,3181
2012-01-01,155200,4063,4774,83,210188,4040,126670,3016
2012-02-01,150782,3860,4624,77,208308,3628,125784,2748
2012-03-01,174325,4916,5248,94,246820,4892,150640,3804
2012-04-01,154988,4250,4742,79,221216,4660,132815,3605
2012-05-01,150745,6673,4669,102,218119,6235,128620,5538
2012-06-01,155394,8447,5010,137,231291,8089,133328,7000
2012-07-01,158297,5828,5129,110,239637,6709,136842,5093
2012-08-01,156820,5440,5020,100,240552,6297,138418,4824
2012-09-01,146067,5024,4568,97,212802,5343,123627,4033
2012-10-01,157665,5473,4787,106,228705,5547,134728,4164
2012-11-01,146685,5070,4449,98,210366,4884,124002,3693
2012-12-01,148972,4951,4508,94,207069,4757,121604,3749
2013-01-01,158574,7795,4692,128,211544,6983,129944,6355
2013-02-01,143584,6435,4275,111,197465,6203,120814,5365
2013-03-01,182690,7116,5315,128,257013,7086,157140,5617
2013-04-01,168787,8272,4972,132,235268,7810,142716,6778
2013-05-01,161904,9070,4806,141,231032,8248,138191,7511
2013-06-01,166227,7802,5049,122,242518,6834,142398,6301
2013-07-01,170088,4494,5172,88,244097,4479,144332,3348
2013-08-01,170049,4881,5195,93,249078,5494,146620,4203
2013-09-01,149816,3879,4662,76,216931,3790,125662,2803
2013-10-01,156734,5753,4735,109,224533,5577,133355,4230
2013-11-01,148184,5309,4418,100,206852,5242,120691,3918
2013-12-01,144574,4546,4372,86,210035,4317,121750,3358
2014-01-01,141589,8326,4383,129,196169,6957,114213,6541
2014-02-01,122478,6339,3843,102,180851,5664,103321,5034
2014-03-01,145129,5591,4651,99,219305,5837,127847,4633
2014-04-01,133915,4416,4299,82,205052,4988,116572,3925
