Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,354510,,4195,,356255,,244390,
2002-11-01,329816,,3836,,321827,,221341,
2002-12-01,350233,,4007,,343874,,246452,
2003-01-01,377590,,4329,,305523,,227934,
2003-02-01,318759,,3619,,276327,,206458,
2003-03-01,386427,,4392,,360150,,262216,
2003-04-01,395488,,4402,,386538,,282764,
2003-05-01,409755,,4523,,420703,,299575,
2003-06-01,402419,,4478,,434256,,313690,
2003-07-01,421568,,4648,,471579,,346770,
2003-08-01,424918,,4672,,460838,,336805,
2003-09-01,402955,,4413,,342900,,243766,
2003-10-01,436250,,4757,,405670,,289455,
2003-11-01,414569,,4477,,379754,,272846,
2003-12-01,439899,,4670,,378809,,287577,
2004-01-01,434497,,4614,,323876,,253870,
2004-02-01,414149,,4428,,342763,,262574,
2004-03-01,446566,,4788,,429100,,335748,
2004-04-01,434228,,4670,,455033,,347694,
2004-05-01,446639,,4770,,451403,,334636,
2004-06-01,439660,,4714,,457173,,347326,
2004-07-01,454080,,4844,,459915,,355689,
2004-08-01,455099,,4872,,432498,,342307,
2004-09-01,429042,,4613,,334293,,262092,
2004-10-01,461773,,4905,,385362,,298793,
2004-11-01,438521,,4661,,369592,,277488,
2004-12-01,460466,,4913,,359345,,278814,
2005-01-01,446589,,4752,,328782,,261528,
2005-02-01,404537,,4349,,311152,,239695,
2005-03-01,449916,,4840,,407811,,318759,
2005-04-01,437299,,4718,,375536,,280941,
2005-05-01,451185,,4871,,419332,,310964,
2005-06-01,439803,,4755,,432901,,330007,
2005-07-01,450464,,4848,,475149,,362848,
2005-08-01,453752,,4912,,463068,,350522,
2005-09-01,430636,,4672,,390517,,284036,
2005-10-01,453919,,4893,,424223,,314688,
2005-11-01,431636,,4652,,422481,,310096,
2005-12-01,454015,,4879,,401351,,307541,
2006-01-01,454444,,4886,,362847,,286237,
2006-02-01,406408,,4335,,360331,,284005,
2006-03-01,461885,,4916,,458287,,356615,
2006-04-01,450200,,4782,,463313,,357317,
2006-05-01,465202,,4949,,483392,,366523,
2006-06-01,455269,,4858,,492246,,377635,
2006-07-01,471563,,5004,,502837,,389861,
2006-08-01,482194,,5087,,501860,,393236,
2006-09-01,465401,,4895,,419266,,326585,
2006-10-01,486684,,5151,,450092,,352552,
2006-11-01,467765,,4917,,439628,,338020,
2006-12-01,477888,,5002,,410897,,323884,
2007-01-01,482869,,5090,,377480,,311178,
2007-02-01,421474,,4417,,345823,,280715,
2007-03-01,484378,,5118,,443124,,350766,
2007-04-01,479717,,5102,,458571,,346651,
2007-05-01,503401,,5331,,495100,,369555,
2007-06-01,491422,,5203,,535152,,405445,
2007-07-01,507601,,5370,,541341,,415405,
2007-08-01,514660,,5434,,552643,,419531,
2007-09-01,485664,,5126,,444253,,333806,
2007-10-01,478201,,5221,,466837,,342122,
2007-11-01,447087,,4930,,443306,,322716,
2007-12-01,453273,,4946,,426666,,320883,
2008-01-01,458999,,5047,,394688,,305052,
2008-02-01,425023,,4653,,395593,,297321,
2008-03-01,462635,,5061,,490146,,366365,
2008-04-01,452480,,4961,,468215,,346098,
2008-05-01,457917,,5021,,502360,,363312,
2008-06-01,445186,,4888,,500282,,364047,
2008-07-01,457519,,5022,,489154,,358584,
2008-08-01,447135,,4899,,472643,,346010,
2008-09-01,418111,,4586,,378109,,282406,
2008-10-01,438184,,4794,,449944,,338424,
2008-11-01,419377,,4559,,381312,,276832,
2008-12-01,412690,,4491,,403476,,306164,
2009-01-01,398416,,4385,,350274,,270663,
2009-02-01,357818,,3969,,340799,,261318,
2009-03-01,438141,,4722,,449257,,346228,
2009-04-01,437548,,4704,,473351,,357884,
2009-05-01,443030,,4752,,467451,,348554,
2009-06-01,433756,,4674,,477661,,363101,
2009-07-01,444223,,4855,,521562,,392781,
2009-08-01,433423,,4785,,501523,,372507,
2009-09-01,407416,,4561,,445279,,325366,
2009-10-01,421946,,4733,,492286,,360430,
2009-11-01,393117,,4474,,440711,,312566,
2009-12-01,388462,,4412,,427423,,307075,
2010-01-01,394290,,4379,,387156,,293897,
2010-02-01,287976,,3158,,288255,,220706,
2010-03-01,435619,,4838,,484965,,363897,
2010-04-01,441495,,4919,,480744,,351722,
2010-05-01,483928,,5196,,511072,,382197,
2010-06-01,497379,,5253,,550154,,418396,
2010-07-01,506875,,5354,,580199,,441407,
2010-08-01,490329,,5216,,550309,,421987,
2010-09-01,449212,,4825,,463103,,347961,
2010-10-01,468207,,5033,,536780,,406990,
2010-11-01,433931,,4706,,483785,,361712,
2010-12-01,432630,,4651,,470913,,357492,
2011-01-01,424537,,4492,,421524,,332938,
2011-02-01,388119,,4125,,389965,,305991,
2011-03-01,498571,,5336,,532527,,409194,
2011-04-01,501643,,5355,,535508,,406018,
2011-05-01,520390,,5573,,572273,,432740,
2011-06-01,526867,,5646,,588320,,450315,
2011-07-01,538327,,5753,,596856,,459637,
2011-08-01,487102,,5295,,542771,,411833,
2011-09-01,449634,,4982,,491264,,360178,
2011-10-01,489929,,5351,,546269,,406084,
2011-11-01,425244,,4743,,490182,,354264,
2011-12-01,433960,,4822,,478025,,351498,
2012-01-01,425064,,4731,,427209,,324323,
2012-02-01,434349,,4739,,435670,,332326,
2012-03-01,506938,,5494,,556773,,419093,
2012-04-01,510278,,5532,,558876,,413037,
2012-05-01,534597,,5727,,592062,,442010,
2012-06-01,535063,,5683,,624803,,464902,
2012-07-01,563319,,5890,,635835,,480955,
2012-08-01,517155,,5480,,598810,,447339,
2012-09-01,463122,,4957,,492410,,363818,
2012-10-01,454730,,4914,,518520,,382227,
2012-11-01,447235,,4839,,503410,,359774,
2012-12-01,448695,,4753,,480250,,349900,
2013-01-01,430948,,4585,,424688,,322762,
2013-02-01,411267,,4296,,409880,,312075,
2013-03-01,518007,,5252,,559400,,426715,
2013-04-01,528615,,5375,,528820,,393179,
2013-05-01,551893,,5609,,605397,,452565,
2013-06-01,568995,,5550,,618826,,490781,
2013-07-01,583244,,5708,,626846,,502577,
2013-08-01,533467,,5402,,584544,,444891,
2013-09-01,467809,,4864,,497640,,367995,
2013-10-01,501374,,5195,,546739,,406254,
2013-11-01,470273,,4830,,517179,,380785,
2013-12-01,512078,,5221,,579022,,433118,
2014-01-01,463686,,4607,,457680,,363036,
2014-02-01,420125,,4224,,422328,,329252,
2014-03-01,559373,,5427,,585782,,455238,
2014-04-01,576541,,5647,,619387,,472608,
2014-05-01,599765,,5909,,668909,,505998,
2014-06-01,639129,,5929,,690219,,554524,
2014-07-01,676054,25100,6102,123,725797,14015,599032,19930
2014-08-01,615544,21876,5815,114,676248,13934,536982,18836
2014-09-01,541012,19595,5370,105,583955,9239,443187,12453
2014-10-01,569961,19799,5614,106,644091,12273,488986,16113
2014-11-01,540632,43494,5304,213,584910,21827,434541,31123
2014-12-01,576638,45943,5628,223,626431,26323,475300,37378
2015-01-01,548311,48736,5137,227,515959,22952,418571,33018
2015-02-01,479112,43995,4431,203,475787,23626,386065,33776
2015-03-01,618401,57676,5596,252,657020,31319,530581,46652
2015-04-01,651286,63070,5962,278,681752,31803,538760,47485
2015-05-01,670455,67091,6087,298,713874,33164,564073,49255
2015-06-01,694050,65425,6079,289,724685,37288,600569,56056
2015-07-01,737924,67432,6463,298,782523,40965,655868,61769
2015-08-01,654045,44862,5964,206,705796,24785,564683,36782
2015-09-01,599042,34238,5581,162,644774,16500,502894,23644
2015-10-01,622725,36984,5797,173,704304,19679,549516,28570
2015-11-01,625946,54837,5759,251,675126,28236,524915,42757
2015-12-01,644832,56908,5876,260,686612,31607,545363,48427
2016-01-01,546673,49634,4917,226,527419,27334,441387,42687
2016-02-01,538207,48971,4829,223,524061,27447,434245,42502
2016-03-01,668737,52817,5879,240,699482,30201,580336,46372
2016-04-01,672821,52795,5867,239,687857,28001,553684,42962
2016-05-01,704136,52742,6083,239,735497,28665,601113,43183
2016-06-01,739697,64367,6202,284,764271,37724,655597,56423
2016-07-01,759551,70169,6301,308,772014,41740,672624,63130
2016-08-01,688780,39530,6005,174,724447,21211,603840,32389
2016-09-01,636053,24410,5647,115,675656,14019,550209,20490
2016-10-01,663700,24312,5880,116,710770,14784,578579,21537
2016-11-01,689575,37765,5971,171,716807,20824,586968,31940
2016-12-01,705846,48143,6159,211,710845,26256,584095,41412
2017-01-01,660612,,5540,,594845,,522954,
2017-02-01,587259,,4876,,535288,,465974,
2017-03-01,709644,,5773,,699566,,607027,
