Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,133914,,3586,,245289,,79523,
2002-11-01,123736,,3316,,212452,,69761,
2002-12-01,127114,,3388,,215494,,73148,
2003-01-01,131664,,3533,,203548,,65726,
2003-02-01,116920,,3139,,199272,,64148,
2003-03-01,129731,,3473,,231461,,76382,
2003-04-01,129490,,3478,,220593,,71481,
2003-05-01,129306,,3446,,232538,,75699,
2003-06-01,128173,,3414,,233935,,77587,
2003-07-01,131999,,3525,,235662,,79298,
2003-08-01,129612,,3460,,226015,,74968,
2003-09-01,129304,,3460,,221288,,71728,
2003-10-01,136624,,3657,,250087,,81633,
2003-11-01,123101,,3287,,224435,,73546,
2003-12-01,129248,,3446,,219840,,73753,
2004-01-01,128001,,3410,,193225,,62207,
2004-02-01,122584,,3263,,213404,,68475,
2004-03-01,135159,,3596,,254854,,83804,
2004-04-01,128947,,3471,,250307,,81461,
2004-05-01,127444,,3421,,247497,,81413,
2004-06-01,127718,,3421,,246807,,81374,
2004-07-01,129880,,3480,,246003,,81614,
2004-08-01,134822,,3590,,236202,,76529,
2004-09-01,129484,,3436,,231656,,73896,
2004-10-01,133688,,3537,,257536,,83159,
2004-11-01,121472,,3219,,240617,,77676,
2004-12-01,129765,,3417,,235478,,78317,
2005-01-01,128485,,3359,,209618,,68347,
2005-02-01,117437,,3066,,218920,,71550,
2005-03-01,131060,,3436,,265013,,88435,
2005-04-01,122365,,3159,,242519,,79503,
2005-05-01,125488,,3232,,253590,,84470,
2005-06-01,122701,,3164,,249434,,83222,
2005-07-01,121426,,3113,,248709,,84845,
2005-08-01,123758,,3191,,234263,,77523,
2005-09-01,109440,,2896,,205431,,66131,
2005-10-01,113707,,3028,,238705,,76301,
2005-11-01,111800,,2925,,226078,,73882,
2005-12-01,128312,,3222,,225647,,77977,
2006-01-01,134521,,3317,,217231,,73964,
2006-02-01,120866,,3035,,227112,,76256,
2006-03-01,135863,,3402,,272359,,93016,
2006-04-01,130808,,3283,,253453,,86569,
2006-05-01,135982,,3411,,271326,,93185,
2006-06-01,133093,,3322,,271321,,95139,
2006-07-01,132316,,3288,,256170,,92289,
2006-08-01,136684,,3414,,248001,,87099,
2006-09-01,129443,,3222,,237690,,82330,
2006-10-01,144249,,3534,,273146,,96583,
2006-11-01,139574,,3360,,280176,,100399,
2006-12-01,143455,,3430,,280611,,102351,
2007-01-01,143190,,3421,,248389,,90043,
2007-02-01,132556,,3179,,255505,,90328,
2007-03-01,157369,,3672,,322893,,117824,
2007-04-01,158226,,3650,,315665,,115777,
2007-05-01,161570,,3730,,330631,,121981,
2007-06-01,161450,,3691,,342463,,129160,
2007-07-01,166463,,3811,,333972,,128270,
2007-08-01,169492,,3893,,330484,,125369,
2007-09-01,156345,,3561,,288791,,107409,
2007-10-01,166394,,3792,,318227,,117366,
2007-11-01,164921,,3725,,313614,,116921,
2007-12-01,167561,,3745,,302221,,115124,
2008-01-01,171620,,3850,,285377,,106866,
2008-02-01,159102,,3564,,288904,,105159,
2008-03-01,174652,,3850,,333796,,127272,
2008-04-01,176881,,3895,,331217,,124949,
2008-05-01,178551,,3922,,347765,,131784,
2008-06-01,177428,,3919,,363838,,139397,
2008-07-01,180956,,3993,,354169,,136658,
2008-08-01,177461,,3915,,331645,,126733,
2008-09-01,166220,,3634,,278289,,105162,
2008-10-01,179500,,3953,,335021,,125348,
2008-11-01,163393,,3647,,283179,,107493,
2008-12-01,168244,,3749,,294606,,115267,
2009-01-01,166798,,3703,,256613,,98794,
2009-02-01,153794,,3433,,268970,,100895,
2009-03-01,175393,,3831,,315331,,123052,
2009-04-01,169608,,3690,,295915,,114525,
2009-05-01,168765,,3663,,292838,,113670,
2009-06-01,166958,,3629,,317661,,124832,
2009-07-01,172303,,3749,,324387,,129096,
2009-08-01,168002,,3659,,289724,,113286,
2009-09-01,160001,,3492,,277200,,106950,
2009-10-01,166498,,3633,,310137,,120907,
