Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,22959,,520,,33840,,10784,
2002-11-01,20648,,467,,28879,,9186,
2002-12-01,21263,,482,,33893,,10902,
2003-01-01,22584,,487,,27994,,9028,
2003-02-01,21154,,433,,32082,,11294,
2003-03-01,23403,,475,,33079,,12062,
2003-04-01,30191,,467,,36648,,18160,
2003-05-01,32522,,476,,36820,,18232,
2003-06-01,31163,,464,,39491,,19837,
2003-07-01,32146,,480,,42766,,22617,
2003-08-01,30732,,454,,37535,,19435,
2003-09-01,32628,,474,,31096,,14370,
2003-10-01,34351,,498,,32729,,15392,
2003-11-01,32620,,461,,30138,,14440,
2003-12-01,33807,,480,,34632,,18133,
2004-01-01,34194,,483,,25680,,12748,
2004-02-01,32395,,465,,33694,,17409,
2004-03-01,34518,,503,,39965,,22711,
2004-04-01,31077,,449,,44591,,23514,
2004-05-01,30953,,445,,40751,,21502,
2004-06-01,30469,,444,,43282,,23256,
2004-07-01,31310,,455,,45253,,24969,
2004-08-01,31634,,461,,42894,,23413,
2004-09-01,30129,,441,,35766,,18590,
2004-10-01,30688,,450,,35672,,19242,
2004-11-01,29592,,423,,33156,,17510,
2004-12-01,31962,,457,,37365,,19084,
2005-01-01,31521,,452,,28324,,14815,
2005-02-01,28753,,416,,31957,,17779,
2005-03-01,31999,,464,,41219,,23503,
2005-04-01,30764,,444,,35582,,19102,
2005-05-01,31741,,457,,39272,,20773,
2005-06-01,30839,,449,,40724,,21875,
2005-07-01,31237,,451,,46297,,25439,
2005-08-01,31794,,464,,49406,,25894,
2005-09-01,30456,,444,,42294,,21270,
2005-10-01,31429,,453,,43408,,22509,
2005-11-01,29614,,426,,40776,,20242,
2005-12-01,31496,,455,,40060,,20503,
2006-01-01,31143,,454,,35230,,18322,
2006-02-01,29062,,414,,38436,,20371,
2006-03-01,32550,,469,,41141,,22959,
2006-04-01,31909,,459,,41773,,22680,
2006-05-01,32422,,464,,41808,,21968,
2006-06-01,31589,,459,,43528,,22531,
