Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,63520,,1069,,80683,,35310,
2002-11-01,58919,,993,,81869,,35246,
2002-12-01,64430,,1056,,86357,,39493,
2003-01-01,67133,,1090,,89327,,40391,
2003-02-01,60653,,990,,86207,,39124,
2003-03-01,68251,,1099,,97822,,46873,
2003-04-01,66270,,1074,,88390,,42192,
2003-05-01,68051,,1093,,89613,,42554,
2003-06-01,65489,,1056,,86037,,42390,
2003-07-01,67156,,1083,,90235,,45630,
2003-08-01,67410,,1079,,90921,,46355,
2003-09-01,64910,,1055,,75829,,34508,
2003-10-01,67493,,1101,,81735,,36890,
2003-11-01,63972,,1027,,88652,,41792,
2003-12-01,66430,,1067,,82003,,39192,
2004-01-01,66930,,1078,,90174,,42348,
2004-02-01,63867,,1033,,92177,,43628,
2004-03-01,72204,,1139,,110825,,55295,
2004-04-01,73119,,1107,,106463,,56069,
2004-05-01,74366,,1118,,104797,,54171,
2004-06-01,73300,,1109,,101829,,52287,
2004-07-01,79145,,1156,,101434,,54307,
2004-08-01,82134,,1170,,102748,,55531,
2004-09-01,69669,,970,,67881,,34708,
2004-10-01,90885,,1252,,99695,,50735,
2004-11-01,87111,,1090,,101332,,56878,
2004-12-01,91039,,1147,,95829,,53160,
2005-01-01,92430,,1159,,115092,,67019,
2005-02-01,90669,,1096,,107570,,65122,
2005-03-01,100540,,1214,,128069,,78348,
2005-04-01,98395,,1171,,117788,,71713,
2005-05-01,101323,,1209,,123564,,76145,
2005-06-01,97288,,1175,,115694,,71279,
2005-07-01,102193,,1212,,117570,,73788,
2005-08-01,103153,,1202,,108569,,68618,
2005-09-01,100760,,1156,,97305,,59436,
2005-10-01,89480,,1017,,87203,,55748,
2005-11-01,94420,,1123,,100520,,62985,
2005-12-01,99414,,1181,,102468,,64096,
2006-01-01,100304,,1191,,117917,,73542,
2006-02-01,96283,,1124,,108482,,67821,
2006-03-01,109188,,1269,,121714,,77829,
2006-04-01,105295,,1216,,121698,,79621,
2006-05-01,108466,,1254,,126030,,81060,
2006-06-01,107073,,1240,,119503,,77986,
2006-07-01,111549,,1273,,114144,,75895,
2006-08-01,107404,,1239,,110380,,72253,
2006-09-01,105152,,1220,,95633,,58245,
2006-10-01,109244,,1274,,102703,,63091,
2006-11-01,105115,,1224,,117431,,74039,
2006-12-01,106754,,1246,,111792,,70554,
2007-01-01,110123,,1284,,125956,,78840,
2007-02-01,98213,,1152,,113124,,70541,
2007-03-01,110869,,1288,,127549,,80955,
2007-04-01,108251,,1251,,119571,,77604,
2007-05-01,111503,,1287,,122442,,78133,
2007-06-01,112148,,1276,,129209,,85387,
2007-07-01,117012,,1351,,122782,,80084,
2007-08-01,116609,,1353,,123999,,81265,
2007-09-01,108683,,1260,,96937,,59916,
2007-10-01,112577,,1292,,106493,,65682,
2007-11-01,111168,,1266,,114990,,74756,
2007-12-01,113651,,1292,,119394,,78591,
2008-01-01,115809,,1322,,133725,,87980,
2008-02-01,113999,,1285,,122654,,81839,
2008-03-01,128633,,1426,,152471,,104528,
2008-04-01,125318,,1387,,136591,,94243,
2008-05-01,126275,,1385,,133440,,90364,
2008-06-01,122543,,1345,,130649,,87688,
2008-07-01,126017,,1381,,127177,,86855,
2008-08-01,129331,,1369,,121240,,87419,
2008-09-01,121975,,1312,,87691,,60491,
2008-10-01,128877,,1385,,116377,,81129,
2008-11-01,154592,,1471,,124195,,98666,
2008-12-01,154086,,1486,,132863,,106267,
2009-01-01,157619,,1527,,149344,,119394,
2009-02-01,143727,,1395,,136399,,111260,
2009-03-01,171459,,1642,,178091,,145170,
2009-04-01,169862,,1618,,172401,,141595,
2009-05-01,155774,,1471,,146047,,120363,
2009-06-01,146292,,1394,,138967,,114748,
2009-07-01,151181,,1456,,152718,,126433,
2009-08-01,144259,,1388,,142934,,119269,
2009-09-01,132254,,1273,,108992,,89833,
2009-10-01,137506,,1327,,130519,,105394,
2009-11-01,142102,,1362,,137955,,113834,
2009-12-01,143657,,1387,,130169,,107943,
2010-01-01,149985,,1430,,151862,,124358,
2010-02-01,132536,,1283,,134236,,110280,
2010-03-01,160794,,1517,,170283,,140743,
2010-04-01,161879,,1508,,163696,,136694,
2010-05-01,154770,,1461,,147861,,121554,
2010-06-01,150613,,1417,,150221,,124433,
2010-07-01,157327,,1460,,153910,,130769,
2010-08-01,143869,,1340,,138987,,120634,
2010-09-01,126820,,1179,,103864,,88492,
2010-10-01,131822,,1225,,128667,,107942,
2010-11-01,155282,,1386,,151147,,131189,
2010-12-01,164953,,1462,,148758,,132686,
2011-01-01,169508,,1527,,166779,,143109,
2011-02-01,154117,,1401,,145858,,126633,
2011-03-01,183448,,1632,,174945,,155580,
2011-04-01,177954,,1564,,166648,,149660,
2011-05-01,167462,,1471,,154694,,142489,
2011-06-01,165668,,1430,,144813,,135155,
2011-07-01,170972,,1465,,149354,,141082,
2011-08-01,155488,,1356,,133451,,124954,
2011-09-01,138985,,1219,,107910,,98895,
2011-10-01,153496,,1319,,129249,,121433,
2011-11-01,152973,,1328,,141940,,128539,
2011-12-01,160195,,1394,,140938,,128753,
2012-01-01,164381,,1430,,155512,,139346,
2012-02-01,164719,,1426,,152310,,136839,
2012-03-01,183603,,1576,,171253,,156468,
2012-04-01,165794,,1438,,159558,,145229,
2012-05-01,164816,,1434,,145611,,134440,
2012-06-01,158807,,1334,,140078,,132604,
2012-07-01,165331,,1361,,147942,,142452,
2012-08-01,138479,,1204,,128597,,119519,
2012-09-01,123443,,1096,,100283,,90730,
2012-10-01,134086,,1136,,116704,,104433,
2012-11-01,155495,,1244,,133607,,124265,
2012-12-01,165476,,1305,,138248,,131008,
2013-01-01,171963,,1291,,143901,,139805,
2013-02-01,165799,,1236,,138963,,136893,
2013-03-01,210073,,1515,,185236,,184164,
2013-04-01,179917,,1323,,155749,,154023,
2013-05-01,162329,,1226,,137634,,135975,
2013-06-01,130855,,995,,114905,,113660,
2013-07-01,133572,,1016,,110094,,110311,
2013-08-01,113213,,871,,97001,,93595,
2013-09-01,95299,,743,,76129,,71033,
2013-10-01,115125,,892,,93693,,88606,
2013-11-01,153300,,1118,,125231,,123605,
2013-12-01,170238,,1233,,143020,,142253,
2014-01-01,195083,,1439,,164269,,161194,
2014-02-01,200141,,1471,,164597,,162316,
2014-03-01,265067,,1900,,223617,,222641,
2014-04-01,211928,,1574,,183830,,179870,
2014-05-01,202080,,1523,,168678,,165009,
2014-06-01,207631,,1532,,178601,,178098,
2014-07-01,215393,,1575,,188286,,188468,
2014-08-01,167434,,1270,,155434,,148991,
2014-09-01,133600,,1063,,115443,,106216,
2014-10-01,139133,,1103,,126712,,116156,
2014-11-01,199231,,1420,,170161,,168044,
2014-12-01,206805,86,1491,1,177362,,173929,75
2015-01-01,242378,77,1720,1,205373,,200920,20
2015-02-01,225007,,1580,,192430,,191848,
2015-03-01,278772,163,1909,1,242126,,244543,112
2015-04-01,234120,,1638,,211051,,207525,
2015-05-01,225381,77,1587,1,194923,,191044,77
2015-06-01,224380,,1583,,197484,,196727,
2015-07-01,234409,,1652,,208756,,209524,
2015-08-01,187102,,1369,,173692,,168037,
2015-09-01,152876,,1146,,130052,,123535,
2015-10-01,156217,,1170,,145037,,136362,
2015-11-01,234568,,1653,,199223,,193236,
2015-12-01,240679,,1696,,201058,,196163,
2016-01-01,267494,,1823,,229841,,229934,
2016-02-01,257465,,1748,,214474,,217112,
2016-03-01,298327,,1985,,254563,,262818,
2016-04-01,251000,,1726,,219823,,220524,
2016-05-01,234892,26,1656,1,212722,,209812,14
2016-06-01,227890,240,1630,2,210670,,205156,201
2016-07-01,231191,,1643,,213245,,208803,
2016-08-01,185440,651,1377,25,179893,3157,171758,575
2016-09-01,163190,781,1217,30,151932,2841,144290,517
2016-10-01,163448,703,1213,27,151372,2589,143054,471
2016-11-01,243866,1934,1682,66,218481,5607,213120,1110
2016-12-01,272689,5194,1853,150,229661,16111,226178,3696
2017-01-01,274776,,1847,,236547,,235708,
2017-02-01,255005,,1708,,216767,,217153,
2017-03-01,321315,,2106,,276753,,280436,
