Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,417730,,5126,,440229,,299405,
2002-11-01,400229,,4910,,416646,,273424,
2002-12-01,410507,,5051,,439404,,295043,
2003-01-01,414736,,5075,,463249,,304575,
2003-02-01,380921,,4608,,436975,,290117,
2003-03-01,425684,,5093,,492091,,337769,
2003-04-01,414244,,4977,,460080,,311402,
2003-05-01,425285,,5086,,482706,,329613,
2003-06-01,416864,,5012,,506658,,352179,
2003-07-01,425734,,5140,,512302,,361089,
2003-08-01,428799,,5158,,505340,,344958,
2003-09-01,440569,,5153,,455355,,312861,
2003-10-01,474856,,5395,,483697,,346483,
2003-11-01,464880,,5172,,460255,,318509,
2003-12-01,480561,,5371,,447893,,314072,
2004-01-01,486032,,5414,,452280,,317282,
2004-02-01,462960,,5170,,475092,,335420,
2004-03-01,497467,,5570,,549895,,407924,
2004-04-01,480314,,5404,,539559,,398711,
2004-05-01,499580,,5537,,549123,,407661,
2004-06-01,504534,,5532,,552661,,427535,
2004-07-01,532796,,5741,,568634,,446283,
2004-08-01,550056,,5874,,575943,,447853,
2004-09-01,530388,,5632,,509564,,388489,
2004-10-01,548555,,5785,,550801,,425370,
2004-11-01,523329,,5618,,527551,,384114,
2004-12-01,545964,,5872,,508536,,366659,
2005-01-01,542898,,5823,,515571,,372961,
2005-02-01,499973,,5328,,493930,,358473,
2005-03-01,555362,,5925,,589813,,453659,
2005-04-01,538647,,5737,,556253,,420707,
2005-05-01,562888,,5951,,595302,,448203,
2005-06-01,549589,,5823,,572923,,452240,
2005-07-01,565871,,6021,,622828,,486669,
2005-08-01,571912,,6116,,609006,,477417,
2005-09-01,548380,,5867,,546847,,420003,
2005-10-01,580401,,6156,,590853,,461179,
2005-11-01,564349,,5958,,567602,,434952,
2005-12-01,592688,,6223,,567401,,436886,
2006-01-01,611291,,6426,,592863,,453081,
2006-02-01,563291,,5860,,574630,,443026,
2006-03-01,633155,,6554,,660853,,531026,
2006-04-01,612155,,6338,,645760,,515035,
2006-05-01,645207,,6596,,657875,,531292,
2006-06-01,641824,,6528,,664132,,549507,
2006-07-01,669333,,6744,,678001,,564659,
2006-08-01,673151,,6815,,663678,,559585,
2006-09-01,647897,,6520,,591518,,488477,
2006-10-01,679910,,6820,,649755,,539057,
2006-11-01,645917,,6467,,616252,,496636,
2006-12-01,656255,,6562,,611072,,487381,
2007-01-01,668886,,6708,,619613,,486660,
2007-02-01,599342,,6047,,569224,,444123,
2007-03-01,678702,,6882,,669795,,542772,
2007-04-01,670596,,6786,,650389,,526354,
2007-05-01,693728,,7002,,676894,,548882,
2007-06-01,674851,,6820,,710756,,582399,
2007-07-01,697386,,7055,,724775,,601734,
2007-08-01,699376,,7097,,729219,,606710,
2007-09-01,668055,,6850,,646508,,523722,
2007-10-01,710628,,7209,,667320,,553757,
2007-11-01,684270,,6901,,609069,,499170,
2007-12-01,691348,,6971,,613813,,508349,
2008-01-01,709961,,7168,,626853,,503808,
2008-02-01,658121,,6639,,617458,,493774,
2008-03-01,726464,,7265,,714888,,600232,
2008-04-01,711954,,7132,,662550,,559262,
2008-05-01,741332,,7308,,688161,,590737,
2008-06-01,727470,,7126,,695505,,608363,
2008-07-01,749329,,7329,,676176,,597562,
2008-08-01,740003,,7238,,670500,,590393,
2008-09-01,701535,,6897,,588061,,507202,
2008-10-01,731104,,7166,,618886,,550024,
2008-11-01,683510,,6639,,553221,,474329,
2008-12-01,675876,,6599,,564516,,487781,
2009-01-01,688981,,6708,,554918,,476681,
2009-02-01,625579,,6085,,559244,,483621,
2009-03-01,728344,,7015,,686682,,616110,
2009-04-01,712743,,6818,,654913,,591786,
2009-05-01,734965,,6975,,659058,,594308,
2009-06-01,715126,,6796,,662469,,604206,
2009-07-01,732611,,6975,,674561,,626836,
2009-08-01,709691,,6805,,656844,,601089,
2009-09-01,660279,,6416,,613009,,532868,
2009-10-01,680864,,6630,,638376,,562805,
2009-11-01,629851,,6198,,612433,,514447,
2009-12-01,644344,,6347,,597078,,502090,
2010-01-01,640170,,6278,,595707,,492317,
2010-02-01,569810,,5653,,537131,,444064,
2010-03-01,676533,,6533,,672466,,581958,
2010-04-01,670442,,6430,,629088,,557089,
2010-05-01,706722,,6633,,659442,,580785,
2010-06-01,696446,,6510,,659459,,593316,
2010-07-01,713585,,6652,,679810,,618079,
2010-08-01,716265,,6702,,680601,,613639,
2010-09-01,683016,,6418,,606923,,536656,
2010-10-01,708753,,6645,,682590,,600462,
2010-11-01,645538,,6189,,633386,,548892,
2010-12-01,654254,,6328,,622217,,543773,
2011-01-01,640782,,6323,,631133,,526560,
2011-02-01,573879,,5708,,554293,,465217,
2011-03-01,688494,,6638,,660935,,582753,
2011-04-01,680126,,6458,,637821,,568657,
2011-05-01,711239,,6735,,688718,,606250,
2011-06-01,698266,,6602,,678882,,609390,
