Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,272159,,3423,,255442,,161255,
2002-11-01,258359,,3241,,248580,,153256,
2002-12-01,271959,,3408,,271934,,176840,
2003-01-01,268826,,3358,,251027,,158965,
2003-02-01,239520,,2996,,235902,,142332,
2003-03-01,265758,,3299,,271730,,174268,
2003-04-01,255968,,3189,,266143,,173472,
2003-05-01,260684,,3236,,283417,,183046,
2003-06-01,259447,,3225,,295633,,198414,
2003-07-01,267635,,3324,,310743,,213116,
2003-08-01,267568,,3319,,311785,,208413,
2003-09-01,256388,,3190,,237974,,153489,
2003-10-01,260493,,3225,,252304,,162247,
2003-11-01,250250,,3077,,251206,,158649,
2003-12-01,261561,,3229,,252655,,167223,
2004-01-01,260170,,3200,,225917,,143490,
2004-02-01,249061,,3076,,233026,,145229,
2004-03-01,273496,,3351,,292409,,198415,
2004-04-01,268556,,3284,,296396,,199477,
2004-05-01,274112,,3319,,288928,,191812,
2004-06-01,269249,,3299,,299957,,210363,
2004-07-01,283844,,3410,,311320,,224506,
2004-08-01,288890,,3466,,321472,,229180,
2004-09-01,274302,,3266,,244181,,162823,
2004-10-01,280129,,3315,,268057,,175409,
2004-11-01,291430,,3285,,273518,,184338,
2004-12-01,304359,,3451,,270652,,185801,
2005-01-01,303276,,3405,,258244,,173536,
2005-02-01,276300,,3101,,246599,,162721,
2005-03-01,314480,,3486,,315264,,231781,
2005-04-01,313071,,3412,,295024,,213494,
2005-05-01,323253,,3521,,306180,,220610,
2005-06-01,318453,,3483,,321746,,242972,
2005-07-01,334117,,3588,,353779,,276639,
2005-08-01,338288,,3648,,349848,,270390,
2005-09-01,320445,,3459,,280956,,205179,
2005-10-01,322565,,3523,,291092,,213660,
2005-11-01,311721,,3407,,289171,,211282,
2005-12-01,323283,,3524,,282225,,213126,
2006-01-01,325548,,3560,,270486,,197981,
2006-02-01,283872,,3129,,254699,,181013,
2006-03-01,315158,,3460,,305685,,231555,
2006-04-01,305119,,3355,,310606,,236519,
2006-05-01,314889,,3467,,304772,,233626,
2006-06-01,308233,,3407,,320309,,248043,
2006-07-01,317490,,3481,,319019,,254173,
2006-08-01,319465,,3529,,317179,,252826,
