Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,196918,,1804,,148210,,127006,
2002-11-01,188078,,1713,,139612,,121165,
2002-12-01,199721,,1822,,155632,,135282,
2003-01-01,211962,,1929,,149697,,130989,
2003-02-01,195363,,1777,,154958,,134533,
2003-03-01,221621,,2010,,188409,,163962,
2003-04-01,212723,,1934,,170877,,148855,
2003-05-01,219591,,1990,,176345,,156162,
2003-06-01,211462,,1923,,171866,,149785,
2003-07-01,215982,,1966,,193175,,169755,
2003-08-01,216904,,1969,,182679,,160348,
2003-09-01,207708,,1883,,135016,,116308,
2003-10-01,215484,,1956,,156251,,135985,
2003-11-01,206271,,1865,,156866,,135921,
2003-12-01,212624,,1919,,158647,,137009,
2004-01-01,215627,,1949,,159627,,139842,
2004-02-01,204494,,1858,,174019,,150678,
2004-03-01,218657,,1987,,208402,,181597,
2004-04-01,214352,,1946,,201986,,174888,
2004-05-01,229089,,2070,,222749,,192407,
2004-06-01,224666,,2035,,215722,,186194,
2004-07-01,232230,,2088,,216505,,190276,
2004-08-01,221044,,1999,,193731,,169560,
2004-09-01,187361,,1677,,119823,,104328,
2004-10-01,252726,,2257,,194997,,168211,
2004-11-01,261847,,2277,,195105,,171237,
2004-12-01,282297,,2437,,188412,,167192,
2005-01-01,279578,,2423,,211688,,188109,
2005-02-01,264204,,2283,,217261,,192117,
2005-03-01,293387,,2531,,254089,,225345,
2005-04-01,288759,,2480,,230990,,205780,
2005-05-01,299952,,2580,,268274,,237491,
2005-06-01,292508,,2522,,251103,,221324,
2005-07-01,303440,,2608,,271385,,242111,
2005-08-01,305872,,2621,,243886,,218393,
2005-09-01,300725,,2479,,195321,,176642,
2005-10-01,311943,,2678,,249589,,221828,
2005-11-01,293196,,2556,,247843,,218185,
2005-12-01,307830,,2693,,240892,,211828,
2006-01-01,307990,,2694,,249354,,220043,
2006-02-01,280183,,2470,,236138,,204059,
2006-03-01,315921,,2789,,288052,,250413,
2006-04-01,309737,,2722,,287263,,252058,
2006-05-01,326590,,2829,,313663,,278199,
2006-06-01,316998,,2748,,292488,,257773,
2006-07-01,329716,,2851,,297758,,266263,
2006-08-01,327865,,2814,,283237,,253610,
2006-09-01,321220,,2760,,232797,,205494,
2006-10-01,338656,,2916,,262193,,232474,
2006-11-01,327876,,2823,,271638,,240070,
2006-12-01,343456,,2956,,273996,,243921,
2007-01-01,356721,,3044,,284232,,253629,
2007-02-01,319183,,2727,,266771,,236780,
2007-03-01,368499,,3157,,317187,,281589,
2007-04-01,367541,,3152,,311414,,276337,
2007-05-01,385918,,3306,,332742,,296055,
2007-06-01,382987,,3278,,345299,,306554,
2007-07-01,409080,,3534,,353476,,313700,
2007-08-01,411516,,3565,,343620,,306580,
2007-09-01,387932,,3363,,258929,,228028,
2007-10-01,408703,,3518,,310820,,275503,
2007-11-01,393696,,3396,,300155,,267813,
2007-12-01,403612,,3474,,301522,,271263,
2008-01-01,407751,,3516,,315639,,282532,
2008-02-01,378274,,3262,,311912,,277604,
2008-03-01,424015,,3638,,384638,,342829,
2008-04-01,412911,,3542,,348537,,312655,
2008-05-01,408657,,3521,,347219,,311378,
2008-06-01,391228,,3390,,333531,,295482,
2008-07-01,402861,,3483,,334373,,299312,
2008-08-01,385621,,3338,,304770,,276798,
2008-09-01,349700,,3062,,213316,,190528,
2008-10-01,368637,,3232,,291675,,258751,
2008-11-01,377165,,3243,,260366,,231991,
2008-12-01,371041,,3202,,285153,,254495,
2009-01-01,371541,,3198,,280809,,252837,
2009-02-01,338532,,2911,,282268,,255069,
2009-03-01,417455,,3542,,382601,,345652,
2009-04-01,414613,,3505,,369867,,334162,
2009-05-01,400837,,3384,,339265,,309331,
2009-06-01,377911,,3194,,328172,,298914,
2009-07-01,378668,,3221,,350350,,323153,
2009-08-01,343387,,2959,,311308,,286523,
2009-09-01,294584,,2580,,228708,,207375,
2009-10-01,306294,,2683,,280029,,248177,
2009-11-01,312197,,2713,,278171,,248593,
2009-12-01,320508,,2786,,275315,,247162,
2010-01-01,324700,,2806,,291284,,263139,
2010-02-01,288450,,2503,,264910,,238544,
2010-03-01,365845,,3156,,347590,,310684,
2010-04-01,372874,,3205,,347019,,311429,
2010-05-01,374033,,3227,,331120,,300142,
2010-06-01,362446,,3165,,326532,,291304,
2010-07-01,373957,,3258,,356212,,320570,
2010-08-01,343152,,2966,,314509,,287053,
2010-09-01,299955,,2580,,236480,,217210,
2010-10-01,314749,,2701,,297109,,269595,
2010-11-01,313115,,2715,,296212,,268798,
2010-12-01,326367,,2830,,301723,,274158,
2011-01-01,332203,,2870,,301978,,274097,
2011-02-01,306061,,2643,,280921,,251918,
2011-03-01,389387,,3337,,369771,,334338,
2011-04-01,382248,,3286,,344869,,315366,
2011-05-01,348919,,3057,,338830,,309074,
2011-06-01,361801,,3103,,323782,,297518,
2011-07-01,377167,,3219,,343897,,317336,
2011-08-01,324153,,2790,,278952,,258009,
2011-09-01,276195,,2390,,234245,,215743,
2011-10-01,313268,,2707,,299692,,268887,
2011-11-01,299916,,2601,,289898,,261490,
2011-12-01,313957,,2727,,291414,,262053,
2012-01-01,346455,,3016,,306671,,275802,
2012-02-01,338079,,2938,,305972,,273617,
2012-03-01,374615,,3210,,356555,,325567,
2012-04-01,349168,,3025,,335263,,304012,
2012-05-01,350270,,3054,,327264,,297282,
2012-06-01,351223,,3022,,328131,,298307,
2012-07-01,362452,,3111,,331557,,306727,
2012-08-01,297254,,2549,,272587,,253697,
2012-09-01,246297,,2109,,206711,,190882,
2012-10-01,274361,,2368,,261373,,233122,
2012-11-01,300354,,2397,,270149,,249152,
2012-12-01,314535,,2479,,274924,,255665,
2013-01-01,287390,,2273,,253787,,232457,
2013-02-01,293957,,2269,,257318,,239293,
2013-03-01,390316,,2917,,345557,,329079,
2013-04-01,354123,,2611,,301331,,289062,
2013-05-01,339177,,2482,,288388,,281634,
2013-06-01,323357,,2352,,285572,,281611,
2013-07-01,330551,,2395,,270501,,276757,
2013-08-01,280785,,2045,,231163,,235195,
2013-09-01,246485,,1796,,192608,,194598,
2013-10-01,283349,,2016,,240569,,237717,
2013-11-01,364362,,2678,,300525,,291179,
2013-12-01,394755,,2948,,341895,,327898,
2014-01-01,355821,,2719,,307838,,288766,
2014-02-01,352948,,2692,,313399,,289939,
2014-03-01,472020,,3517,,431025,,406040,
2014-04-01,430712,,3260,,387342,,363700,
2014-05-01,430044,,3291,,387628,,364082,
2014-06-01,442995,,3249,,391114,,378136,
2014-07-01,457255,4029,3290,36,397673,3995,394102,3288
2014-08-01,379748,7691,2744,55,340806,5847,334837,5773
2014-09-01,323349,8765,2369,61,271452,4720,265522,5179
2014-10-01,340984,9055,2505,63,315559,6463,302414,7003
2014-11-01,415074,8958,2963,62,367482,5530,356744,6007
2014-12-01,447314,9008,3226,62,393204,6996,380185,7125
2015-01-01,447145,9284,3322,64,379886,6118,357842,6719
2015-02-01,403546,8244,2991,57,365232,5116,342595,5428
2015-03-01,551841,9283,4050,63,493941,6341,467888,6491
2015-04-01,506594,8809,3731,60,462576,6442,436805,6507
2015-05-01,506673,9225,3711,63,441347,7102,422360,7397
2015-06-01,505813,8740,3646,60,442262,7503,427055,7504
2015-07-01,520299,9160,3737,63,456378,8269,445863,8503
2015-08-01,424891,9008,3068,62,379940,7420,365140,7502
2015-09-01,358024,8759,2607,60,315920,6189,301109,6608
2015-10-01,367881,9050,2688,62,357989,7248,335960,7611
2015-11-01,462266,8869,3335,61,421839,6677,396134,7029
2015-12-01,478723,9100,3430,62,429385,7692,407345,7788
2016-01-01,467263,9050,3367,62,412097,7217,390109,7432
2016-02-01,439619,8427,3181,58,403178,6312,378409,6469
2016-03-01,557556,9008,3976,62,509559,7309,487238,7345
2016-04-01,525541,8905,3720,61,479901,6914,458535,7114
2016-05-01,500318,9133,3535,63,466743,7346,446564,7470
2016-06-01,515240,8717,3603,60,465981,7654,453330,7683
2016-07-01,532230,9384,3712,64,473266,8165,464130,8417
2016-08-01,418958,9261,3005,63,382627,7879,370504,8168
