Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,335393,,3853,,277639,,197865,
2002-11-01,315937,,3563,,239495,,174833,
2002-12-01,326961,,3693,,267029,,206188,
2003-01-01,328861,,3718,,215294,,169248,
2003-02-01,301964,,3338,,220010,,172978,
2003-03-01,340934,,3745,,284249,,224204,
2003-04-01,335238,,3702,,283584,,226258,
2003-05-01,344110,,3776,,312693,,247281,
2003-06-01,337266,,3755,,340320,,271925,
2003-07-01,347359,,3864,,353428,,284063,
2003-08-01,346929,,3834,,338853,,273158,
2003-09-01,348061,,3759,,295151,,238445,
2003-10-01,367455,,3927,,321463,,262994,
2003-11-01,343397,,3600,,287594,,233245,
2003-12-01,358206,,3774,,288066,,239113,
2004-01-01,355437,,3716,,220459,,188049,
2004-02-01,341920,,3592,,240001,,198954,
2004-03-01,368494,,3900,,319602,,263806,
2004-04-01,367776,,3857,,341333,,276996,
2004-05-01,384917,,3982,,340984,,272303,
2004-06-01,386327,,4019,,372714,,307073,
2004-07-01,401700,,4131,,378527,,315708,
2004-08-01,402429,,4166,,364250,,304130,
2004-09-01,381130,,3962,,300407,,239382,
2004-10-01,402906,,4154,,330219,,263259,
2004-11-01,416298,,4017,,305123,,257208,
2004-12-01,434288,,4216,,306972,,261445,
2005-01-01,430401,,4159,,262240,,230082,
2005-02-01,425961,,4041,,288954,,258084,
2005-03-01,521449,,4802,,419993,,384658,
2005-04-01,537549,,4849,,389644,,357989,
2005-05-01,573116,,5177,,467454,,417800,
2005-06-01,587671,,5326,,506863,,455843,
2005-07-01,637224,,5674,,567123,,512518,
2005-08-01,646244,,5779,,553684,,499632,
2005-09-01,612233,,5491,,477918,,433219,
2005-10-01,637500,,5691,,517200,,467186,
2005-11-01,612330,,5458,,491904,,442306,
2005-12-01,619984,,5542,,461270,,430629,
2006-01-01,654457,,5835,,410012,,388618,
2006-02-01,602170,,5284,,430489,,405657,
2006-03-01,676096,,5923,,546946,,512916,
2006-04-01,652767,,5729,,531853,,503559,
2006-05-01,687934,,6016,,577216,,537378,
2006-06-01,683246,,5973,,615617,,571206,
