Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,79578,,1036,,75952,,46245,
2002-11-01,75152,,969,,71881,,43171,
2002-12-01,77742,,1000,,84168,,51377,
2003-01-01,79269,,1030,,67351,,40992,
2003-02-01,71331,,934,,68735,,41107,
2003-03-01,78684,,1028,,80763,,49011,
2003-04-01,76799,,1003,,73341,,44395,
2003-05-01,78615,,1024,,77965,,47702,
2003-06-01,77506,,1012,,89003,,55402,
2003-07-01,79700,,1040,,96423,,60003,
2003-08-01,79662,,1039,,97198,,59665,
2003-09-01,76946,,1002,,74502,,44775,
2003-10-01,79438,,1034,,74341,,44033,
2003-11-01,75157,,974,,73150,,43227,
2003-12-01,78764,,1022,,82054,,49038,
2004-01-01,70890,,914,,58408,,34955,
2004-02-01,74288,,964,,65622,,38858,
2004-03-01,79873,,1036,,87684,,54055,
2004-04-01,77117,,1003,,87678,,54516,
2004-05-01,78414,,1019,,86806,,53722,
2004-06-01,77728,,1009,,99932,,62822,
2004-07-01,80335,,1033,,108347,,68017,
2004-08-01,81101,,1045,,114285,,71044,
2004-09-01,77809,,1005,,87249,,54361,
2004-10-01,79159,,1024,,84239,,51702,
2004-11-01,75841,,975,,84219,,51192,
2004-12-01,80439,,1040,,90769,,55043,
2005-01-01,79311,,1018,,69829,,42656,
2005-02-01,71483,,922,,71467,,42744,
2005-03-01,79311,,1022,,91226,,55858,
2005-04-01,87947,,1052,,89138,,58054,
2005-05-01,91882,,1095,,94960,,62094,
2005-06-01,89690,,1077,,105454,,69079,
2005-07-01,91849,,1098,,114853,,75572,
2005-08-01,93046,,1115,,121757,,79790,
2005-09-01,89466,,1067,,96296,,63266,
2005-10-01,94618,,1120,,95866,,62264,
2005-11-01,90010,,1063,,95234,,61306,
2005-12-01,93279,,1112,,100691,,64817,
2006-01-01,94025,,1114,,81275,,53085,
2006-02-01,85274,,1008,,82078,,52467,
2006-03-01,95086,,1125,,103512,,68747,
2006-04-01,91927,,1092,,92609,,61406,
2006-05-01,94848,,1126,,97981,,65672,
2006-06-01,94241,,1116,,111907,,75110,
