Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,492942,,5259,,367836,,302276,
2002-11-01,472213,,5032,,349705,,282049,
2002-12-01,489064,,5219,,401925,,328009,
2003-01-01,488412,,5176,,369087,,296225,
2003-02-01,440970,,4698,,360018,,284750,
2003-03-01,491753,,5196,,454404,,367869,
2003-04-01,500281,,5140,,412740,,345513,
2003-05-01,515828,,5245,,446902,,375412,
2003-06-01,501867,,5144,,465521,,397818,
2003-07-01,513925,,5282,,492934,,418299,
2003-08-01,512307,,5251,,450135,,378579,
2003-09-01,496753,,5083,,369100,,298194,
2003-10-01,518674,,5305,,423520,,344689,
2003-11-01,487876,,4948,,404623,,320660,
2003-12-01,509284,,5178,,419022,,337616,
2004-01-01,510153,,5196,,376762,,303878,
2004-02-01,489488,,5019,,395097,,316097,
2004-03-01,527411,,5421,,502750,,414657,
2004-04-01,508958,,5214,,470953,,402595,
2004-05-01,524334,,5287,,460387,,396301,
2004-06-01,518917,,5262,,490965,,433580,
2004-07-01,533087,,5390,,515216,,451769,
2004-08-01,551377,,5525,,466967,,418242,
2004-09-01,533839,,5319,,405118,,338785,
2004-10-01,558601,,5527,,456492,,382090,
2004-11-01,534178,,5316,,441798,,350406,
2004-12-01,563442,,5620,,448655,,359578,
2005-01-01,557855,,5554,,400390,,322923,
2005-02-01,510708,,5081,,403579,,318156,
2005-03-01,578023,,5720,,538811,,444295,
2005-04-01,576249,,5579,,496624,,415340,
2005-05-01,595082,,5761,,511100,,425216,
2005-06-01,583179,,5674,,530710,,461481,
2005-07-01,594829,,5795,,568080,,495200,
2005-08-01,601391,,5852,,512426,,453759,
2005-09-01,567068,,5536,,443935,,369306,
2005-10-01,592756,,5759,,483843,,407034,
2005-11-01,570246,,5546,,471318,,393847,
2005-12-01,593168,,5775,,467490,,396716,
2006-01-01,605011,,5919,,464662,,389198,
2006-02-01,550449,,5345,,455325,,375040,
2006-03-01,619237,,6001,,577400,,485812,
2006-04-01,594473,,5745,,543676,,475294,
2006-05-01,613819,,5932,,548719,,476262,
2006-06-01,605962,,5870,,568279,,502738,
2006-07-01,628366,,6093,,562947,,504051,
2006-08-01,635930,,6174,,526790,,479975,
2006-09-01,603886,,5865,,455432,,388302,
2006-10-01,629279,,6136,,509753,,442322,
2006-11-01,600600,,5858,,508201,,432143,
2006-12-01,621070,,6011,,495850,,425732,
2007-01-01,625344,,6089,,477251,,408090,
2007-02-01,564017,,5522,,452764,,376718,
2007-03-01,627548,,6156,,567877,,475489,
2007-04-01,610419,,5996,,537311,,458855,
2007-05-01,622647,,6110,,556565,,471053,
2007-06-01,597294,,5880,,587772,,509631,
2007-07-01,616840,,6083,,581233,,513444,
2007-08-01,623208,,6146,,564276,,506252,
2007-09-01,598060,,5841,,465091,,403551,
2007-10-01,608481,,6043,,507912,,436006,
2007-11-01,565324,,5683,,472896,,396728,
2007-12-01,572672,,5741,,470520,,397559,
2008-01-01,584162,,5871,,451595,,386950,
2008-02-01,543823,,5478,,460672,,382762,
2008-03-01,591245,,5932,,558001,,475083,
2008-04-01,577434,,5784,,494477,,428667,
2008-05-01,586813,,5863,,515637,,450122,
2008-06-01,570527,,5720,,508557,,453959,
2008-07-01,584950,,5843,,502600,,448998,
2008-08-01,578021,,5777,,465782,,419088,
2008-09-01,552107,,5538,,403435,,347830,
2008-10-01,576010,,5756,,470903,,406372,
2008-11-01,525833,,5275,,410920,,340920,
