Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,171626,,2375,,209985,,116336,
2002-11-01,166175,,2289,,201529,,110702,
2002-12-01,170903,,2344,,210738,,118884,
2003-01-01,171517,,2358,,194709,,108424,
2003-02-01,154419,,2131,,190319,,104173,
2003-03-01,170682,,2345,,214591,,122709,
2003-04-01,162831,,2277,,217336,,123126,
2003-05-01,165956,,2317,,224935,,125814,
2003-06-01,164098,,2304,,238463,,135150,
2003-07-01,176674,,2385,,257851,,151357,
2003-08-01,178470,,2393,,256441,,150345,
2003-09-01,177226,,2333,,204354,,118094,
2003-10-01,189674,,2387,,212594,,130793,
2003-11-01,186408,,2328,,208785,,127284,
2003-12-01,191918,,2387,,211167,,132552,
2004-01-01,192928,,2399,,191299,,118980,
2004-02-01,183440,,2297,,202115,,121255,
2004-03-01,197284,,2477,,240951,,151004,
2004-04-01,191596,,2398,,256755,,161090,
2004-05-01,196366,,2451,,244812,,151358,
2004-06-01,191812,,2405,,253279,,160689,
2004-07-01,196720,,2456,,272517,,170144,
2004-08-01,198068,,2481,,277346,,173054,
2004-09-01,192633,,2408,,222738,,135128,
2004-10-01,202124,,2521,,239748,,148097,
2004-11-01,193804,,2444,,229942,,140828,
2004-12-01,198790,,2510,,221351,,135712,
2005-01-01,199629,,2513,,203487,,125822,
2005-02-01,182080,,2289,,202851,,122195,
2005-03-01,201813,,2544,,254819,,161272,
2005-04-01,194692,,2460,,243247,,151500,
2005-05-01,200949,,2540,,246776,,152768,
2005-06-01,195880,,2488,,250431,,158919,
2005-07-01,203548,,2590,,274260,,171292,
2005-08-01,207408,,2668,,276358,,171475,
2005-09-01,195030,,2551,,239990,,143377,
2005-10-01,198411,,2614,,246253,,148568,
2005-11-01,187643,,2476,,238397,,141171,
2005-12-01,196051,,2591,,229384,,137588,
2006-01-01,196693,,2591,,212196,,129359,
2006-02-01,192484,,2439,,220292,,137004,
2006-03-01,216980,,2742,,254544,,163597,
2006-04-01,209993,,2651,,266173,,167062,
2006-05-01,216857,,2735,,254167,,161144,
2006-06-01,211811,,2687,,266512,,167949,
2006-07-01,217426,,2756,,278238,,173874,
2006-08-01,219654,,2795,,286179,,178140,
2006-09-01,209471,,2659,,245326,,148290,
2006-10-01,217435,,2756,,258248,,158186,
2006-11-01,206149,,2609,,252283,,154606,
2006-12-01,210235,,2655,,247271,,150423,
2007-01-01,213811,,2705,,223632,,136280,
2007-02-01,191429,,2432,,223475,,134286,
2007-03-01,224811,,2821,,265715,,167131,
