Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,116032,,1183,,83048,,66824,
2002-11-01,109448,,1102,,79603,,62015,
2002-12-01,114311,,1151,,96696,,76737,
2003-01-01,114082,,1151,,76886,,60524,
2003-02-01,101979,,1026,,78696,,60569,
2003-03-01,112650,,1132,,88329,,70517,
2003-04-01,109883,,1108,,89063,,72513,
2003-05-01,112493,,1131,,90170,,75167,
2003-06-01,112198,,1138,,100140,,84408,
2003-07-01,116199,,1176,,110438,,93296,
2003-08-01,116198,,1176,,116574,,96945,
2003-09-01,110364,,1118,,85694,,73099,
2003-10-01,112921,,1148,,75116,,63816,
2003-11-01,107905,,1089,,78890,,63749,
2003-12-01,112632,,1139,,89920,,72233,
2004-01-01,111115,,1094,,68641,,54631,
2004-02-01,102992,,992,,70141,,54994,
2004-03-01,110976,,1070,,91657,,75842,
2004-04-01,108420,,1040,,100377,,82784,
2004-05-01,111911,,1067,,95952,,78355,
2004-06-01,109298,,1047,,105357,,87764,
2004-07-01,113161,,1082,,115563,,94792,
2004-08-01,112911,,1082,,122071,,99484,
2004-09-01,108919,,1045,,94846,,78200,
2004-10-01,112018,,1067,,78293,,64206,
2004-11-01,107237,,1028,,83857,,67420,
2004-12-01,112658,,1085,,93073,,73226,
2005-01-01,111954,,1071,,70936,,57074,
2005-02-01,101381,,971,,76038,,60926,
2005-03-01,118745,,1103,,95880,,82479,
2005-04-01,120700,,1108,,101283,,87346,
2005-05-01,124303,,1141,,104180,,90267,
2005-06-01,122631,,1119,,112914,,99144,
2005-07-01,126301,,1145,,127549,,111195,
2005-08-01,127375,,1159,,134445,,115536,
2005-09-01,121294,,1105,,109595,,96323,
2005-10-01,123661,,1129,,95155,,83263,
2005-11-01,119218,,1099,,97932,,82499,
2005-12-01,123714,,1145,,104717,,87717,
2006-01-01,124723,,1149,,84862,,72236,
2006-02-01,111646,,1018,,86075,,73045,
2006-03-01,124018,,1131,,106679,,94857,
2006-04-01,120875,,1107,,110077,,95904,
2006-05-01,124716,,1141,,106871,,93899,
2006-06-01,125298,,1152,,120760,,104393,
2006-07-01,130598,,1197,,130220,,112286,
2006-08-01,131790,,1213,,138587,,117536,
2006-09-01,126073,,1155,,110851,,97262,
2006-10-01,130949,,1203,,99623,,88793,
2006-11-01,124484,,1148,,106966,,90644,
