Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,92280,,1178,,75868,,52157,
2002-11-01,87872,,1115,,69370,,46328,
2002-12-01,91237,,1160,,91283,,59300,
2003-01-01,90073,,1148,,86462,,56471,
2003-02-01,80171,,1024,,81080,,52778,
2003-03-01,88816,,1128,,93617,,62370,
2003-04-01,86779,,1105,,82157,,56256,
2003-05-01,88416,,1123,,83892,,58782,
2003-06-01,88388,,1123,,90103,,64763,
2003-07-01,91226,,1161,,99050,,70132,
2003-08-01,91113,,1158,,97991,,68541,
2003-09-01,86922,,1108,,66711,,45810,
2003-10-01,89660,,1141,,71614,,47636,
2003-11-01,84023,,1065,,66981,,43913,
2003-12-01,89466,,1132,,82530,,53510,
2004-01-01,89231,,1132,,80948,,51923,
2004-02-01,86657,,1101,,82249,,52803,
2004-03-01,92757,,1180,,97037,,66795,
2004-04-01,87226,,1115,,91598,,63987,
2004-05-01,88713,,1131,,84027,,59076,
2004-06-01,87708,,1117,,92987,,66693,
2004-07-01,90264,,1145,,101015,,71171,
2004-08-01,90657,,1152,,100500,,70772,
2004-09-01,87418,,1110,,78853,,54508,
2004-10-01,89220,,1133,,79895,,54069,
2004-11-01,85868,,1079,,80861,,52054,
2004-12-01,91356,,1153,,92832,,57805,
2005-01-01,91983,,1156,,88677,,56171,
2005-02-01,84673,,1065,,80871,,51597,
2005-03-01,96368,,1194,,101818,,68031,
2005-04-01,94229,,1155,,89630,,60780,
2005-05-01,96317,,1181,,86586,,59635,
2005-06-01,95084,,1166,,95804,,67507,
2005-07-01,98183,,1196,,111438,,78233,
2005-08-01,98774,,1209,,107779,,76028,
2005-09-01,93346,,1142,,83039,,58704,
2005-10-01,95051,,1163,,86299,,59119,
2005-11-01,92185,,1128,,84315,,56521,
2005-12-01,96435,,1184,,99329,,63807,
2006-01-01,96978,,1190,,101273,,65212,
2006-02-01,83772,,1039,,96329,,61117,
2006-03-01,98705,,1262,,128292,,80114,
2006-04-01,95958,,1224,,117893,,75578,
2006-05-01,103298,,1283,,117039,,77616,
2006-06-01,101363,,1262,,121489,,82058,
2006-07-01,104242,,1293,,125673,,85682,
2006-08-01,105150,,1309,,127611,,86177,
2006-09-01,100192,,1247,,103766,,70119,
2006-10-01,104108,,1300,,106050,,70626,
2006-11-01,97983,,1228,,104740,,67834,
2006-12-01,101792,,1269,,111927,,71689,
2007-01-01,101962,,1283,,117826,,73528,
2007-02-01,91869,,1155,,107965,,66225,
2007-03-01,105923,,1322,,125226,,80093,
2007-04-01,104371,,1301,,116539,,75728,
2007-05-01,106170,,1318,,119032,,78398,
2007-06-01,102240,,1269,,134659,,88500,
2007-07-01,105401,,1310,,136964,,91626,
2007-08-01,106547,,1326,,139058,,93057,
2007-09-01,103317,,1286,,109601,,74805,
2007-10-01,107840,,1344,,109974,,74667,
2007-11-01,110211,,1387,,102987,,70200,
2007-12-01,113869,,1429,,109044,,73419,
2008-01-01,115124,,1448,,117879,,76282,
2008-02-01,107200,,1354,,113602,,71887,
2008-03-01,119298,,1473,,127718,,85884,
