Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,159704,,1739,,118134,,93745,
2002-11-01,154783,,1662,,119877,,96710,
2002-12-01,161759,,1737,,135346,,109918,
2003-01-01,164447,,1758,,120489,,99868,
2003-02-01,147186,,1570,,122245,,99569,
2003-03-01,165216,,1756,,147590,,122261,
2003-04-01,159500,,1697,,135811,,110441,
2003-05-01,164556,,1743,,139046,,115398,
2003-06-01,159000,,1685,,134681,,111593,
2003-07-01,164086,,1734,,147233,,123664,
2003-08-01,162574,,1720,,136243,,112962,
2003-09-01,158352,,1688,,118119,,93380,
2003-10-01,164381,,1753,,122864,,96780,
2003-11-01,156925,,1652,,126702,,102238,
2003-12-01,162365,,1720,,130814,,105783,
2004-01-01,163917,,1733,,118821,,98636,
2004-02-01,155098,,1647,,131006,,106612,
2004-03-01,166383,,1772,,165263,,135375,
2004-04-01,161001,,1697,,163696,,130636,
2004-05-01,168482,,1755,,166110,,135306,
2004-06-01,163452,,1719,,163040,,134046,
2004-07-01,170011,,1769,,161584,,134782,
2004-08-01,164525,,1724,,148790,,121914,
2004-09-01,150298,,1529,,112889,,94012,
2004-10-01,181941,,1863,,144996,,118079,
2004-11-01,179064,,1780,,151418,,121228,
2004-12-01,187794,,1875,,148524,,119312,
2005-01-01,185793,,1864,,154633,,127843,
2005-02-01,177233,,1755,,158204,,130356,
2005-03-01,198811,,1962,,193550,,158674,
2005-04-01,192415,,1888,,180589,,148925,
2005-05-01,201415,,1974,,198781,,164827,
2005-06-01,196802,,1928,,190544,,157141,
2005-07-01,202836,,1968,,193875,,163419,
2005-08-01,203396,,1964,,177895,,149186,
2005-09-01,201011,,1884,,159074,,134231,
2005-10-01,208233,,1882,,164100,,140819,
2005-11-01,202765,,1885,,181357,,152364,
2005-12-01,212319,,1986,,173734,,145822,
2006-01-01,213033,,1992,,181223,,153876,
2006-02-01,202557,,1931,,174801,,147196,
2006-03-01,230176,,2195,,214069,,180821,
2006-04-01,222743,,2121,,207094,,177017,
2006-05-01,229471,,2180,,224351,,191742,
2006-06-01,222819,,2118,,213403,,181107,
2006-07-01,231309,,2183,,203797,,176239,
2006-08-01,232781,,2197,,201386,,173885,
2006-09-01,222612,,2110,,173051,,145762,
2006-10-01,238131,,2264,,192379,,161737,
2006-11-01,235066,,2220,,202870,,171252,
2006-12-01,242644,,2296,,190789,,161605,
2007-01-01,245090,,2326,,189907,,160846,
2007-02-01,218013,,2078,,184734,,154220,
2007-03-01,250241,,2382,,228184,,191073,
2007-04-01,246345,,2341,,224371,,187867,
2007-05-01,258517,,2428,,237487,,200431,
2007-06-01,253728,,2388,,240406,,206030,
2007-07-01,267014,,2515,,238230,,208552,
2007-08-01,268672,,2530,,224510,,195243,
2007-09-01,253949,,2386,,177306,,150584,
2007-10-01,266569,,2503,,202466,,171962,
2007-11-01,260166,,2453,,209710,,174628,
2007-12-01,265751,,2506,,210947,,176413,
2008-01-01,267746,,2529,,207407,,176471,
2008-02-01,248832,,2353,,198938,,168578,
2008-03-01,284020,,2663,,269831,,229077,
2008-04-01,278360,,2613,,253608,,215011,
2008-05-01,284072,,2636,,246083,,216050,
2008-06-01,277195,,2579,,246683,,219420,
2008-07-01,285016,,2639,,236162,,212101,
2008-08-01,273317,,2530,,203540,,184453,
2008-09-01,246419,,2302,,157066,,137008,
2008-10-01,260558,,2442,,209261,,180776,
2008-11-01,247635,,2309,,182671,,159245,
2008-12-01,250896,,2347,,197959,,173563,
2009-01-01,245056,,2300,,183690,,163357,
2009-02-01,220862,,2066,,193239,,169848,
2009-03-01,267477,,2499,,264647,,230463,
2009-04-01,263969,,2463,,260519,,225853,
2009-05-01,255755,,2386,,227360,,200542,
2009-06-01,244111,,2291,,229174,,200444,
2009-07-01,250328,,2347,,242156,,215491,
2009-08-01,226946,,2165,,213018,,189619,
2009-09-01,195994,,1915,,170099,,146699,
2009-10-01,202892,,1991,,195340,,165620,
2009-11-01,219459,,2080,,206369,,178541,
2009-12-01,226794,,2148,,206738,,179039,
2010-01-01,223665,,2112,,199745,,175483,
2010-02-01,200402,,1899,,192428,,166510,
2010-03-01,261307,,2424,,258087,,224785,
2010-04-01,270560,,2484,,259694,,226418,
2010-05-01,264236,,2420,,233232,,208261,
2010-06-01,253068,,2332,,238550,,211106,
2010-07-01,259280,,2379,,248058,,222591,
2010-08-01,234690,,2183,,218697,,196260,
2010-09-01,204158,,1921,,172646,,152169,
2010-10-01,214350,,2006,,206832,,180818,
2010-11-01,225183,,2080,,212634,,187542,
