Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,98689,,565,,53096,,75092,
2002-11-01,108232,,626,,58644,,84673,
2002-12-01,120448,,689,,69098,,96944,
2003-01-01,106126,,633,,57445,,82979,
2003-02-01,103276,,597,,62152,,83225,
2003-03-01,115827,,708,,67422,,86968,
2003-04-01,112351,,687,,64411,,81266,
2003-05-01,86244,,513,,50025,,65415,
2003-06-01,89804,,536,,54183,,70470,
2003-07-01,104441,,623,,64663,,84225,
2003-08-01,104200,,623,,63793,,82410,
2003-09-01,77368,,450,,47199,,64353,
2003-10-01,83383,,499,,62729,,71659,
2003-11-01,91085,,567,,63869,,73880,
2003-12-01,106632,,658,,73826,79,87616,
2004-01-01,94878,,608,,64497,139,74362,
2004-02-01,91980,,594,,67815,149,74686,
2004-03-01,100429,,659,,72132,133,78835,
2004-04-01,99051,,651,,67424,211,72110,
2004-05-01,99430,,606,,62555,301,73458,
2004-06-01,100259,,621,,68106,302,77270,
2004-07-01,109261,,701,,81125,349,90074,
2004-08-01,94911,,596,,68906,399,78300,
2004-09-01,62546,,427,,45722,193,51360,
2004-10-01,74202,,505,,55775,,60002,
2004-11-01,92770,,551,,60851,420,64192,
2004-12-01,91340,,605,,69317,575,73931,
2005-01-01,85020,,574,,58681,471,64012,
2005-02-01,87954,,596,,64135,530,66575,
2005-03-01,94373,,644,,81381,716,83976,
2005-04-01,91318,5082,636,23,60101,2633,62463,3850
2005-05-01,67597,4861,461,22,51695,3916,53844,3889
2005-06-01,68645,6620,472,25,55873,3892,57152,5092
2005-07-01,81663,7742,553,30,62422,2921,63892,4279
2005-08-01,72283,5023,481,19,56713,2776,59237,3227
2005-09-01,59539,4132,375,17,43592,1858,47310,1977
2005-10-01,57818,2009,386,11,42947,1731,46699,1855
2005-11-01,62355,,418,,44500,1193,47735,
2005-12-01,65782,1508,471,7,48101,2864,52879,1343
2006-01-01,78883,5055,526,24,52134,1893,55270,2164
2006-02-01,74717,6394,506,27,62875,4903,69004,5092
2006-03-01,91895,9309,618,36,79032,6513,84696,6810
2006-04-01,86380,8726,582,34,63281,5658,68147,6689
2006-05-01,73916,4378,547,22,59430,3950,61596,3675
2006-06-01,91381,4649,586,22,70892,2129,74963,2884
2006-07-01,92600,913,604,5,70649,1941,78977,682
2006-08-01,100439,731,653,4,71589,1808,84931,530
2006-09-01,95178,913,634,5,60175,1262,70319,454
2006-10-01,101837,731,658,4,68038,1874,82180,601
2006-11-01,104824,813,635,4,66423,2162,79049,710
2006-12-01,94585,4242,599,20,62055,3844,66301,3370
2007-01-01,83691,4932,531,24,59362,2210,62539,3015
2007-02-01,100803,8272,618,39,80280,4181,87838,5910
2007-03-01,117988,9757,709,46,92805,4758,101196,6751
2007-04-01,115756,10261,693,47,80131,4709,87144,6618
2007-05-01,108622,848,603,4,74079,595,88085,801
2007-06-01,109069,1061,605,5,78250,1046,93650,853
2007-07-01,123545,848,669,4,88809,664,107693,480
2007-08-01,118250,636,652,3,88080,633,106061,471
2007-09-01,99033,1061,545,5,63586,594,75143,766
2007-10-01,105683,848,583,4,73673,638,87833,838
2007-11-01,101581,2757,566,13,67766,1418,79419,1996
2007-12-01,101621,4666,583,22,70126,3005,80746,4077
2008-01-01,95490,4879,571,23,63320,2951,71778,4058
2008-02-01,100392,5303,626,25,79411,3517,87240,4933
2008-03-01,116479,6575,741,31,95151,3963,103529,5343
2008-04-01,105537,6363,667,30,72070,3300,79446,4553
2008-05-01,73865,1064,430,5,52921,1050,62622,857
2008-06-01,79257,853,449,4,54056,1575,65181,790
2008-07-01,83331,854,468,4,57314,1101,69701,439
2008-08-01,70971,1068,406,5,52113,1239,61178,734
2008-09-01,68907,214,387,1,45950,405,56471,84
2008-10-01,72464,,403,,51572,604,63658,
2008-11-01,72698,641,412,3,48152,908,58299,502
2008-12-01,72931,3417,422,16,53605,2572,62882,3108
2009-01-01,66413,6699,403,31,46345,3307,52500,4727
2009-02-01,71896,5980,426,28,53510,3890,59525,5250
2009-03-01,84834,6621,510,31,61239,3377,67680,4606
2009-04-01,81335,6408,487,30,56976,3495,63247,4494
2009-05-01,53841,1068,327,5,37085,658,41956,337
2009-06-01,52132,854,316,4,38450,1070,43997,589
2009-07-01,54346,854,332,4,40033,782,45040,524
2009-08-01,53997,1068,330,5,41632,874,46660,857
2009-09-01,66173,,380,,43151,477,52058,
2009-10-01,67829,,394,,48135,1100,57677,
2009-11-01,59134,,366,,41341,488,46113,
2009-12-01,57388,,372,,43060,532,46445,
2010-01-01,50366,,325,,36544,938,40171,
2010-02-01,47783,3631,309,17,41160,2517,44295,3235
2010-03-01,61742,6621,407,31,53918,4047,56782,5886
2010-04-01,68349,8451,419,30,49249,4474,52274,6590
2010-05-01,61918,1068,367,5,47148,927,53338,965
2010-06-01,46813,641,293,3,33915,566,36934,505
2010-07-01,63311,1068,386,5,49436,778,53973,782
2010-08-01,63448,427,397,2,51629,508,56291,306
2010-09-01,68258,,411,,48426,183,54451,
2010-10-01,76959,,460,,60873,322,69128,
2010-11-01,79619,641,453,3,56039,1058,65259,545
2010-12-01,79675,3417,449,16,59291,3036,68227,3155
2011-01-01,75190,5126,421,24,53097,2350,59809,3300
2011-02-01,70544,4485,401,21,55476,2871,61830,4024
2011-03-01,96186,5553,552,26,75075,3402,83899,4717
2011-04-01,93467,5553,533,26,67389,3183,74517,4301
2011-05-01,69480,1495,410,7,52489,803,58382,1125
2011-06-01,61572,854,356,4,49569,547,54301,806
2011-07-01,63540,1068,366,5,53218,589,58657,868
2011-08-01,64659,854,400,4,56652,461,59687,679
2011-09-01,57430,214,384,1,51835,41,49521,60
2011-10-01,57705,,384,,55376,,52994,
2011-11-01,59622,4195,400,16,53740,1890,52635,2784
2011-12-01,63463,6506,433,25,57303,3903,56564,5749
2012-01-01,62937,7982,428,31,54072,3495,55048,5148
2012-02-01,62651,7555,402,29,55780,4274,57922,6296
2012-03-01,79452,8128,504,31,68739,4127,72410,6079
2012-04-01,79321,7866,500,30,60237,4049,64228,5964
2012-05-01,68830,1379,400,6,55492,662,59414,975
2012-06-01,67310,1117,390,5,57061,676,59908,996
2012-07-01,72100,854,421,4,63964,338,66658,498
2012-08-01,73307,1069,438,4,65526,622,69612,916
2012-09-01,64623,262,397,1,54792,101,56744,149
2012-10-01,65071,,375,,55895,,61502,
2012-11-01,68901,5244,400,20,55803,2191,61734,3227
2012-12-01,72077,6293,421,24,59972,3720,65954,5480
2013-01-01,70269,8128,407,31,56444,3256,63174,4796
2013-02-01,68978,7244,406,28,58689,3744,64229,5515
2013-03-01,85319,8128,506,31,73230,4508,79686,6640
2013-04-01,81232,6506,474,25,61099,3463,66498,5101
2013-05-01,78604,854,424,4,61246,578,69743,844
2013-06-01,78169,1068,420,5,59908,721,70048,1050
2013-07-01,84085,854,443,4,64583,488,77181,710
2013-08-01,83393,854,450,4,66220,533,78133,779
2013-09-01,86821,,458,,62221,,74082,
2013-10-01,89740,,471,,67579,,80203,
2013-11-01,87348,6293,492,24,66159,2677,74624,3943
2013-12-01,86832,5457,494,21,70830,3239,79703,4771
2014-01-01,88066,7866,497,30,68208,3555,77071,5237
2014-02-01,82397,7341,463,28,69125,3875,76660,5708
2014-03-01,93362,8134,532,31,79413,4031,87181,5941
2014-04-01,90649,7604,514,29,73721,3996,80619,5886
