Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,79372,,444,,43668,,52524,
2002-11-01,86080,,498,,53322,,62899,
2002-12-01,92525,,535,,58319,,71819,
2003-01-01,87932,,509,,55261,,67120,
2003-02-01,80875,,467,,48625,,58097,
2003-03-01,90764,,523,,56266,,65306,
2003-04-01,91014,,521,,55008,,63086,
2003-05-01,65891,,372,,44399,,51079,
2003-06-01,72859,,407,,48282,,57128,
2003-07-01,90328,,499,,59394,,71128,
2003-08-01,89325,,493,,59475,,70792,
2003-09-01,64295,,367,,43080,,50568,
2003-10-01,68549,236,395,4,50768,,55540,78
2003-11-01,81041,,497,,59833,,66967,
2003-12-01,103019,1153,636,14,68000,1320,79308,1112
2004-01-01,98716,2553,615,31,67719,1611,79684,1700
2004-02-01,95155,2388,596,29,60210,1782,70409,1633
2004-03-01,100437,2553,629,31,69268,1774,79921,1584
2004-04-01,97376,2471,610,30,63354,1664,71771,1628
2004-05-01,88977,2553,557,31,58522,1614,68327,1794
2004-06-01,91924,3294,568,40,61406,2438,73888,2410
2004-07-01,103361,4447,639,55,72021,3391,88117,3197
2004-08-01,98287,3788,604,46,67093,2944,82010,2822
2004-09-01,65355,2047,416,25,41403,1674,51560,1560
2004-10-01,75759,2553,474,31,51522,1953,59372,2001
2004-11-01,108129,4738,594,43,67209,3375,77120,3313
2004-12-01,112578,10221,685,91,69388,7991,80750,7881
2005-01-01,110268,10055,678,107,72905,8750,86208,7205
2005-02-01,107360,7222,640,105,60728,8364,73478,5208
2005-03-01,106285,8207,608,124,77457,9186,92935,6145
2005-04-01,103855,7943,595,120,72130,8552,86447,5447
2005-05-01,92663,9160,552,132,67257,11498,83558,7767
2005-06-01,90841,11303,553,142,65051,13800,80138,9716
2005-07-01,102994,15811,618,194,75493,18538,90440,12096
2005-08-01,84390,12292,519,148,60400,13713,73242,8590
2005-09-01,58363,7293,360,94,40861,6821,47402,4704
2005-10-01,56398,6720,346,81,40321,7675,46180,5144
2005-11-01,70095,10374,443,128,43664,8801,53516,8271
2005-12-01,81088,19397,526,216,50343,20273,62409,16775
2006-01-01,89513,21273,555,221,72730,20914,76499,12403
2006-02-01,75381,16534,526,217,50245,12540,63861,10136
2006-03-01,89667,20890,635,266,62600,17098,80824,14824
