Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,8463,,31,,4577,,8003,
2002-11-01,12831,,47,,5700,,9921,
2002-12-01,19762,,74,,8204,,14087,
2003-01-01,24253,,93,,10880,,18343,
2003-02-01,21669,,83,,9357,,15810,
2003-03-01,24016,,92,,11908,,19729,
2003-04-01,23234,,89,,10970,,18134,
2003-05-01,19905,,76,,10097,,16789,
2003-06-01,20414,,78,,10558,,17465,
2003-07-01,24253,,93,,12637,,20833,
2003-08-01,23980,,92,,12138,,20010,
2003-09-01,19159,,73,,10272,,17293,
2003-10-01,18968,,73,,10766,,17100,
2003-11-01,20609,,82,,10247,,17187,
2003-12-01,23320,,93,,10555,,18038,
2004-01-01,23093,,92,,11146,,18692,
2004-02-01,21815,,87,,9213,,15492,
2004-03-01,23320,,93,,11282,,18838,
2004-04-01,22568,,90,,10570,,17737,
2004-05-01,28307,,112,,12685,,21387,
2004-06-01,26768,,106,,12233,,20571,
2004-07-01,26470,,107,,13121,,21963,
2004-08-01,23320,,93,,12308,,20528,
2004-09-01,17968,,71,,9036,,15592,
2004-10-01,15539,,60,,7281,,12588,
2004-11-01,12943,,43,,5411,,9469,
2004-12-01,8138,,31,,3276,,5733,
2005-01-01,8138,,31,,3375,,5906,
2005-02-01,7350,,28,,3034,,5310,
2005-03-01,8138,,31,,4077,,7135,
2005-04-01,7875,,30,,3709,2,6494,
2005-05-01,8138,,31,,3931,,6879,
2005-06-01,6935,,30,,3587,8,6291,
2005-07-01,7487,,32,,3804,4,6661,
2005-08-01,9111,,41,,4290,,7506,
2005-09-01,13234,,60,,6440,,11275,
2005-10-01,13561,,62,,7605,,13272,
2005-11-01,8432,,30,,3989,,6981,
2005-12-01,7047,,31,,3173,,5553,
2006-01-01,7487,,31,,3690,,6459,
2006-02-01,8211,,28,,4174,,7305,
2006-03-01,10036,,31,,5628,,9849,
2006-04-01,9713,,30,,5190,,9083,
2006-05-01,10036,,31,,5384,,9422,
2006-06-01,10290,,30,,5506,,9636,
2006-07-01,10036,,31,,5353,,9368,
2006-08-01,15540,,48,,7547,,13207,
2006-09-01,22015,,68,,10311,,18044,
2006-10-01,29038,,92,,14327,,25072,
2006-11-01,26769,,100,,11982,,20965,
2006-12-01,22163,,88,,8852,,15880,
2007-01-01,14950,,61,,7049,,12326,
2007-02-01,25966,,98,,11065,,20277,
2007-03-01,33631,,125,,15994,,29596,
2007-04-01,33059,,118,,14682,,27196,
2007-05-01,62040,,212,,26291,,50097,
2007-06-01,55746,,192,,27208,,51928,
2007-07-01,61412,,216,,30174,,56482,
2007-08-01,70803,,246,,33330,,63522,
2007-09-01,77479,,264,,30924,,58493,
2007-10-01,81902,,279,,35064,,66209,
2007-11-01,64599,,219,,27055,,51224,
2007-12-01,51773,,183,,20985,,39739,
2008-01-01,36601,,136,,15184,,28616,
2008-02-01,25456,,94,,11318,,21249,
2008-03-01,25329,,93,,11559,,21641,
2008-04-01,24512,,90,,11461,,21610,
2008-05-01,33520,,119,,16099,,29768,
2008-06-01,29113,,97,,13938,,26433,
2008-07-01,27272,,89,,12514,,23979,
2008-08-01,26796,,87,,12987,,24616,
2008-09-01,32954,,112,,15261,,28575,
2008-10-01,35992,,123,,17374,,32437,
2008-11-01,23728,,80,,11585,,21175,
2008-12-01,13855,,44,,6834,,12093,
2009-01-01,9165,,31,,4839,,8468,
2009-02-01,10427,,28,,4756,,8323,
2009-03-01,11827,,31,,5950,,10413,
2009-04-01,11445,,30,,5968,,10444,
2009-05-01,17638,,62,,7914,,15383,
2009-06-01,17069,,60,,8201,,16056,
2009-07-01,17638,,62,,8558,,16780,
2009-08-01,17385,,61,,8031,,15705,
2009-09-01,32294,,120,,14630,,27161,
2009-10-01,33371,,124,,15394,,28602,
2009-11-01,22652,,82,,10562,,20038,
2009-12-01,17636,,62,,7381,,14382,
2010-01-01,17638,,62,,7326,,14319,
2010-02-01,15931,,56,,7151,,14001,
2010-03-01,17954,,63,,8634,,16894,
2010-04-01,19568,,60,,8526,,16256,
2010-05-01,35277,,124,,14914,,28753,
2010-06-01,26126,,91,,10018,,19443,
2010-07-01,35277,,124,,15309,,29769,
2010-08-01,35277,,124,,16017,,31160,
2010-09-01,39975,,143,,15717,,29981,
