Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,27580,,93,,11588,,21740,
2002-11-01,26690,,90,,12544,,23527,
2002-12-01,27580,,93,,12463,,23746,
2003-01-01,27580,,93,,12122,,22993,
2003-02-01,24602,,83,,10279,,19492,
2003-03-01,27307,,92,,11311,,21070,
2003-04-01,26690,,90,,11839,,22027,
2003-05-01,25402,,85,,11224,,21185,
2003-06-01,25057,,84,,11808,,22215,
2003-07-01,27580,,93,,13241,,24853,
2003-08-01,27271,,92,,12876,,23981,
2003-09-01,24240,,81,,11265,,21344,
2003-10-01,24643,,83,,11397,,20777,
2003-11-01,24617,,86,,11279,,21486,
2003-12-01,26519,,93,,11460,,22608,
2004-01-01,18801,,67,,8711,,16340,
2004-02-01,16199,,58,,6811,,12737,
2004-03-01,17317,,62,,8088,,15094,
2004-04-01,16496,,59,,7308,,13687,
2004-05-01,26519,,93,,11375,,21679,
2004-06-01,25664,,90,,11990,,22779,
2004-07-01,26519,,95,,13038,,24781,
2004-08-01,24144,,85,,11647,,22058,
2004-09-01,14402,,51,,6366,,12264,
2004-10-01,11296,,39,,4911,,9497,
2004-11-01,14296,,42,,5214,,10319,
2004-12-01,13952,,47,,5861,,11599,
2005-01-01,11874,,40,,5345,,10578,
2005-02-01,8312,,28,,3595,,7115,
2005-03-01,9202,,31,,4237,,8385,
2005-04-01,8312,,30,,3775,4,7479,
2005-05-01,11021,,31,,4981,7,9871,
2005-06-01,10983,,30,,5266,19,10459,
2005-07-01,12147,,32,,5669,5,11229,
2005-08-01,11350,,31,,5605,25,11142,
2005-09-01,9897,,30,,3957,15,7950,
2005-10-01,7607,,31,,3221,2,6424,
2005-11-01,8086,,30,,3154,,6242,
2005-12-01,7607,,31,,3273,,6477,
2006-01-01,8466,,31,,3192,,6317,
2006-02-01,6871,,28,,2965,,5868,
2006-03-01,7607,,31,,3717,,7356,
2006-04-01,7362,,30,,3280,,6491,
2006-05-01,7607,,31,,3322,,6574,
2006-06-01,10093,,30,,4697,,9315,
2006-07-01,11716,,32,,5751,,11381,
2006-08-01,17207,,47,,8431,,16685,
2006-09-01,12327,,34,,4989,,9873,
2006-10-01,11108,,31,,4121,,8155,
2006-11-01,9143,,30,,3334,,6598,
2006-12-01,8834,,31,,3289,,6408,
2007-01-01,8632,,31,,3442,,6824,
2007-02-01,7979,,28,,3257,,6469,
2007-03-01,14567,,48,,6282,21,13242,
2007-04-01,18880,,60,,6883,72,14880,
2007-05-01,28123,6635,93,21,10207,2073,21350,4592
2007-06-01,27750,9162,90,29,11729,3323,24768,7205
2007-07-01,28230,9162,93,29,12555,3742,26446,8214
2007-08-01,28106,9478,93,30,12457,3195,26280,6953
2007-09-01,19522,9478,63,30,7287,2148,15638,4706
2007-10-01,19289,9812,62,31,7814,3021,16871,6636
2007-11-01,18667,9478,60,30,7043,3534,15241,7710
2007-12-01,19289,9478,62,30,7199,4201,15623,9103
2008-01-01,19289,2212,62,7,6474,899,14194,1808
2008-02-01,18044,,58,,6355,13,13847,
2008-03-01,19289,,62,,7600,7,16413,
2008-04-01,18667,,60,,7270,,15718,
2008-05-01,19298,,62,,7609,12,16536,
2008-06-01,23362,,76,,9147,,19816,
2008-07-01,27745,,91,,10727,,23192,
2008-08-01,22005,,71,,9499,,20384,
2008-09-01,18796,,60,,6893,,15202,
2008-10-01,19423,,62,,7744,,17059,
2008-11-01,12684,,42,,4916,,10492,
2008-12-01,8896,,31,,3822,,7736,
2009-01-01,8896,,31,,3214,,6361,
2009-02-01,7748,,27,,2434,,4817,
2009-03-01,8609,,30,,3674,,7271,
2009-04-01,8609,,30,,4060,,8035,
2009-05-01,19423,,62,,7288,,15789,
2009-06-01,18796,,60,,7876,,16977,
2009-07-01,19423,,62,,8674,,18747,
2009-08-01,19423,,62,,8456,,18262,
2009-09-01,18796,,60,,7568,,16338,
2009-10-01,19423,,62,,7665,,16583,
2009-11-01,13344,,41,,5118,,11512,
2009-12-01,10527,,31,,3949,,9249,
2010-01-01,10527,,31,,3668,,8590,
2010-02-01,9169,,27,,2910,,6815,
2010-03-01,10527,,31,,3973,,9305,
2010-04-01,10188,,30,,3102,,7265,
2010-05-01,19423,,62,,7113,,15195,
2010-06-01,14071,,45,,5999,,12913,
2010-07-01,19423,,62,,8391,,18104,
2010-08-01,19423,,62,,8197,,17668,
2010-09-01,18796,,60,,7131,,15354,
2010-10-01,19423,,62,,8105,,17446,
2010-11-01,18796,,60,,8182,,17666,
2010-12-01,19423,,62,,8428,,18239,
2011-01-01,19405,,62,,7881,,17010,
2011-02-01,17256,,55,,6626,,14302,
2011-03-01,19423,,62,,8057,,17389,
2011-04-01,25794,,88,,11663,,23562,
2011-05-01,32025,,225,,26997,,27548,
2011-06-01,31486,,239,,29178,,28740,
2011-07-01,32537,,247,,30325,,29324,
2011-08-01,31544,,218,,27268,,29282,
2011-09-01,14909,,146,,17095,,13184,
2011-10-01,20658,,174,,20164,,18200,
2011-11-01,21885,,180,,20766,,19231,
2011-12-01,22614,,186,,21234,,18888,
2012-01-01,21827,,163,,17463,,17107,
2012-02-01,20515,,169,,19286,,17427,
2012-03-01,22546,,184,,21038,,19850,
2012-04-01,21885,,180,,21987,,19927,
2012-05-01,31939,,185,,24829,,29541,
2012-06-01,30911,,175,,24382,,29222,
2012-07-01,31736,,182,,25361,,30320,
2012-08-01,27889,,175,,24110,,26704,
2012-09-01,15526,,127,,16589,,14193,
2012-10-01,12775,,96,,11755,,11621,
2012-11-01,19019,,110,,14602,,17501,
2012-12-01,21796,,118,,16177,,20270,
2013-01-01,21970,,115,,14176,,17957,
2013-02-01,19674,,107,,12108,,14894,
2013-03-01,22278,,124,,16137,,20292,
2013-04-01,25122,,138,,18590,,23138,
2013-05-01,41994,,214,,28492,,38585,
2013-06-01,38926,,199,,27296,,36613,
2013-07-01,43239,,219,,29946,,41070,
2013-08-01,44421,,216,,31490,,42601,
2013-09-01,54102,,258,,35208,,48962,
2013-10-01,56475,,269,,34569,,48679,
2013-11-01,35849,,195,,23924,,30557,
2013-12-01,37978,,211,,27540,,34834,
2014-01-01,38198,,212,,26898,,34408,
2014-02-01,35310,,196,,23828,,30656,
2014-03-01,39115,,215,,28184,,36323,
2014-04-01,37855,,210,,27663,,34956,
2014-05-01,56221,,276,,37367,,50670,
2014-06-01,58065,,270,,40340,,55138,
2014-07-01,60068,,279,,40625,,55230,
2014-08-01,60027,,279,,41783,,56931,
2014-09-01,71175,,323,,43222,,60436,
2014-10-01,76940,,336,,46405,,65604,
2014-11-01,49737,,242,,33624,,46048,
2014-12-01,51066,,247,,34518,,47307,
2015-01-01,57628,,275,,36233,,50886,
2015-02-01,51874,,247,,33304,,47370,
2015-03-01,58487,,278,,39275,,55523,
2015-04-01,70988,,314,,44700,,61963,
2015-05-01,94377,,393,,58731,,81928,
2015-06-01,87929,,370,,56992,,80232,
2015-07-01,106256,,441,,65619,,94484,
2015-08-01,118078,,472,,70253,,102443,
2015-09-01,118202,,472,,67703,,101389,
2015-10-01,123009,,487,,71752,,108571,
2015-11-01,114000,,492,,71076,,101531,
2015-12-01,120979,,538,,73963,,102958,
2016-01-01,120709,,581,,78209,,105708,
2016-02-01,109841,,530,,72351,,98334,
2016-03-01,130079,,603,,84425,,115671,
2016-04-01,152388,,738,,98053,,129420,
2016-05-01,168748,,796,,98053,,146952,
2016-06-01,157495,,766,,108420,,144068,
2016-07-01,164196,,797,,110464,,146587,
2016-08-01,162938,,793,,109856,,145736,
2016-09-01,165180,,771,,100319,,137578,
2016-10-01,172001,,793,,103129,,144517,
2016-11-01,157370,,766,,102706,,134510,
2016-12-01,160140,,786,,101996,,131411,
2017-01-01,166181,,787,,98158,,128234,
2017-02-01,145874,,719,,94002,,120919,
2017-03-01,160867,,789,,111006,,142278,
