Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,43112,,341,,40739,,33665,
2002-11-01,43528,,329,,42481,,36029,
2002-12-01,44762,,337,,43536,,37876,
2003-01-01,45197,,341,,40386,,34631,
2003-02-01,39339,,295,,34111,,29426,
2003-03-01,44750,,339,,43092,,31020,
2003-04-01,45313,,339,,40346,,34153,
2003-05-01,42716,,341,,41828,,34621,
2003-06-01,43353,,342,,40361,,33108,
2003-07-01,47920,,372,,50325,,42137,
2003-08-01,46846,,364,,50207,,41523,
2003-09-01,44098,,331,,37463,,31512,
2003-10-01,45462,,348,,45620,,36592,
2003-11-01,46201,,363,,46629,,39960,
2003-12-01,54890,,414,,53229,,48526,
2004-01-01,57647,,432,,47359,459,44037,
2004-02-01,54310,,407,,40526,337,36728,
2004-03-01,57072,,435,,47494,284,42699,
2004-04-01,56774,,439,,48730,275,42968,
2004-05-01,54691,,429,,48236,363,41356,
2004-06-01,52919,,415,,46254,388,39741,
2004-07-01,54777,,433,,56341,974,49613,
2004-08-01,54160,,425,,56692,1025,49578,
2004-09-01,47287,,380,,38090,115,35282,
2004-10-01,56029,,424,,50975,261,44425,
2004-11-01,63446,,427,,51478,256,46023,
2004-12-01,64350,,452,,52636,359,49148,
2005-01-01,62735,,445,,50301,311,46715,
2005-02-01,66813,,469,,45471,335,42416,
2005-03-01,61469,,432,,54298,430,52420,
2005-04-01,59504,,420,,54681,1073,50491,
2005-05-01,57009,,426,,55232,838,49264,
2005-06-01,51592,,421,,51912,1012,46311,
2005-07-01,55440,,438,,58379,1167,52460,
2005-08-01,48218,,403,,53644,712,46829,
2005-09-01,35837,,301,,33702,253,28672,
2005-10-01,35279,,299,,35328,202,29934,
2005-11-01,42289,4791,362,35,37138,4895,33733,4682
2005-12-01,49547,4272,382,31,41239,5668,40082,3013
2006-01-01,51430,4723,384,31,40947,2794,37157,2488
2006-02-01,39076,3696,329,27,35016,3869,32905,2955
2006-03-01,44815,4244,397,31,42626,4361,39832,3695
2006-04-01,42132,4107,386,30,42606,4719,39083,3348
2006-05-01,35607,,360,,38223,1279,31569,
2006-06-01,37438,,340,,38824,60,30016,
2006-07-01,38471,,368,,42919,2493,37290,
2006-08-01,37496,,377,,43546,2888,36217,
2006-09-01,32855,,345,,31069,1475,24762,
2006-10-01,32493,,340,,32209,1458,26065,
2006-11-01,36091,,328,,34182,1816,28977,
2006-12-01,40803,,344,,26197,2530,30927,
2007-01-01,43266,,348,,35827,347,31321,
2007-02-01,43530,,338,,37690,300,34042,
2007-03-01,48284,,359,,40493,374,35952,
2007-04-01,47937,,358,,41316,434,36270,
2007-05-01,38492,,313,,39074,256,31712,
2007-06-01,35751,,297,,37891,326,30278,
2007-07-01,36510,,308,,41571,617,33682,
2007-08-01,36482,,302,,42837,212,33988,
2007-09-01,35707,,302,,35294,73,28394,
2007-10-01,35988,,305,,38915,78,31445,
2007-11-01,37879,,312,,37336,149,31706,
2007-12-01,41181,,328,,40179,210,34737,
2008-01-01,41482,,334,,38782,213,34106,
2008-02-01,38148,,305,,34875,432,30596,
2008-03-01,41048,,329,,37191,540,31976,
2008-04-01,39608,,320,,37370,418,31958,
