Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,40004,,270,,29307,,28963,
2002-11-01,40380,,276,,32745,,32270,
2002-12-01,42700,,288,,33545,,34594,
2003-01-01,41931,,284,,32464,,33590,
2003-02-01,36839,,249,,28893,,29480,
2003-03-01,41913,,282,,28857,,33291,
2003-04-01,40775,,272,,34215,,32924,
2003-05-01,39898,,263,,33394,,32329,
2003-06-01,40595,,268,,30770,,30539,
2003-07-01,48444,,317,,39414,,39250,
2003-08-01,47444,,312,,39458,,39317,
2003-09-01,33858,,224,,28082,,28061,
2003-10-01,40488,,272,,35229,,33457,
2003-11-01,39913,,275,,34143,,34189,
2003-12-01,44387,,304,,34412,,36320,
2004-01-01,45809,,315,,35693,,37786,
2004-02-01,43631,,301,,33330,,33913,
2004-03-01,45670,,315,,37119,,36717,
2004-04-01,47053,,325,,37132,,36633,
2004-05-01,46912,,323,,37132,,37053,
2004-06-01,47921,,331,,35086,,35090,
2004-07-01,54142,,381,,44984,,44490,
2004-08-01,50473,,350,,42531,,42469,
2004-09-01,34637,,238,,24467,,27281,
2004-10-01,47345,,320,,38151,,38407,
2004-11-01,55896,,338,,40744,,39753,
2004-12-01,51561,,349,,40528,,40550,
2005-01-01,48162,,328,,40306,,41072,
2005-02-01,46929,,318,,36851,,37404,
2005-03-01,52860,,357,,47096,,46498,
2005-04-01,51212,,348,,43806,,43385,
2005-05-01,42993,,289,,37930,,37526,
2005-06-01,46226,,308,,39209,,38911,
2005-07-01,56169,,378,,47510,,47227,
2005-08-01,47160,,320,,40376,,40326,
2005-09-01,31135,,208,,24304,,24332,
2005-10-01,31780,,216,,25940,,26001,
2005-11-01,42473,968,309,9,29183,1702,29466,576
2005-12-01,48562,2474,350,23,33930,3447,34404,2042
2006-01-01,46206,2581,323,24,39202,1222,37064,816
2006-02-01,39808,2138,307,23,33296,1956,32751,937
2006-03-01,41750,,335,,41181,2086,39651,
2006-04-01,39264,,318,,38621,1837,36446,
2006-05-01,37243,,271,,36559,1933,35558,
2006-06-01,43944,,289,,39448,9,36162,
2006-07-01,54397,,392,,48983,2263,48157,
2006-08-01,40959,,297,,36947,1776,35562,
2006-09-01,26603,,198,,22016,1609,20760,
2006-10-01,27921,,207,,24832,1843,23584,
2006-11-01,29342,,212,,25610,1528,24367,
2006-12-01,34230,,248,,1181,2146,27535,
2007-01-01,38181,,290,,33605,130,30303,
2007-02-01,39453,384,298,8,36604,457,32374,112
2007-03-01,44244,911,335,19,43638,1446,38381,400
2007-04-01,44437,815,334,16,42190,1079,36862,295
2007-05-01,40346,,352,,42246,19,34547,
2007-06-01,50121,,439,,51400,4,43136,
2007-07-01,52426,,484,,57887,,46646,
2007-08-01,43205,,395,,43637,0,34321,
2007-09-01,37110,,331,,34986,,27564,
2007-10-01,38900,,341,,40038,,32792,
2007-11-01,42495,,379,,42279,,34376,
2007-12-01,47021,,421,,47387,,38147,
2008-01-01,47885,,433,,46744,,36743,
2008-02-01,48908,,415,,45803,,38019,
2008-03-01,55967,,465,,53580,,46174,
2008-04-01,51463,,432,,50107,,43088,
2008-05-01,35657,,379,,40515,,29709,
2008-06-01,44139,,460,,49830,,36698,
2008-07-01,53125,,510,,59477,,46964,
2008-08-01,39788,,384,,43443,,34041,
2008-09-01,26096,,243,,25379,,21328,
2008-10-01,25678,,237,,26710,,22426,
2008-11-01,30748,,268,,29984,,25562,
2008-12-01,34895,,304,,33004,,28554,
2009-01-01,32005,,278,,31155,,26475,
2009-02-01,30854,,265,,27147,,24149,
2009-03-01,36114,,310,,33709,,29311,
2009-04-01,30475,,265,,31117,,26269,
2009-05-01,41753,,308,,34007,,30801,
2009-06-01,40848,,300,,40852,,35788,
2009-07-01,42349,,312,,41591,,37173,
2009-08-01,42174,,309,,36718,,32305,
2009-09-01,25908,,229,,23201,,20317,
2009-10-01,26945,,240,,26136,,22070,
2009-11-01,32930,,293,,30788,,27051,
2009-12-01,34378,,309,,32814,,28195,
2010-01-01,34606,,310,,32639,,28933,
2010-02-01,28669,,266,,23764,,21496,
2010-03-01,32640,,306,,30037,,25273,
2010-04-01,31878,,301,,35861,,27039,
2010-05-01,40641,,317,,37072,,30501,
2010-06-01,29749,,257,,30365,,23255,
2010-07-01,44183,200,338,1,46189,,37927,155
2010-08-01,40797,,319,,38725,,30485,
2010-09-01,32627,,249,,29178,,23614,
2010-10-01,32714,,247,,34078,,27578,
2010-11-01,30338,,259,,35553,,27643,
2010-12-01,29907,,268,,32958,,25154,
2011-01-01,27038,,246,,28884,,23486,
2011-02-01,24761,,220,,23064,,19823,
2011-03-01,31883,,280,,31539,,26306,
2011-04-01,30178,,270,,30526,,24942,
2011-05-01,32409,,266,,32463,58,26807,
2011-06-01,31874,,261,,33597,69,27607,
2011-07-01,33393,,273,,37195,89,30247,
2011-08-01,27780,,240,,28511,44,22800,
2011-09-01,19740,,178,,20702,7,16745,
2011-10-01,20138,,178,,22153,,18107,
2011-11-01,23860,,197,,24824,,20381,
2011-12-01,27991,,225,,28802,,23310,
2012-01-01,28311,48,223,1,29886,,23930,18
2012-02-01,31797,,243,,32457,,27051,
2012-03-01,41887,,315,,40781,,35022,
2012-04-01,38004,,286,,38890,,32943,
2012-05-01,40027,,290,,39552,,33523,
2012-06-01,41627,,297,,41955,,34708,
2012-07-01,43201,,309,,47052,,39028,
2012-08-01,40811,,308,,43461,,35833,
2012-09-01,29649,,267,,31405,,24886,
2012-10-01,28780,,264,,33116,,25779,
2012-11-01,30156,,263,,34173,,25823,
2012-12-01,33272,,280,,36273,,28759,
2013-01-01,29707,,258,,34119,,26406,
2013-02-01,28324,,249,,32246,,24889,
2013-03-01,35665,,310,,41109,,31717,
2013-04-01,37085,,305,,39533,,31813,
2013-05-01,48990,,340,,49855,,42859,
2013-06-01,43820,,310,,47357,,39546,
2013-07-01,46265,,313,,51049,,43269,
2013-08-01,43489,,309,,48488,,40205,
2013-09-01,37960,,303,,40095,,33179,
2013-10-01,39200,,313,,43017,,35723,
2013-11-01,39108,,309,,41796,,33939,
2013-12-01,44247,,337,,48109,,39941,
2014-01-01,44030,,343,,46695,,38849,
2014-02-01,38993,,308,,41590,,35299,
2014-03-01,42975,,340,,46899,,39342,
2014-04-01,43503,,341,,45179,,37687,
2014-05-01,46660,,327,,48519,,41461,
2014-06-01,46721,,318,,47775,,40502,
2014-07-01,48453,,327,,51653,,44412,
2014-08-01,48740,,332,,51330,,44904,
2014-09-01,39428,,311,,39831,,32813,
2014-10-01,41547,,321,,43787,,35901,
2014-11-01,47951,,364,,47724,,39299,
2014-12-01,53315,,385,,53546,,45525,
2015-01-01,59667,,438,,58470,,49824,
2015-02-01,51114,,383,,51178,,43394,
2015-03-01,58504,,435,,59466,,50293,
2015-04-01,57686,,408,,56359,,48522,
2015-05-01,54770,,384,,55509,,47206,
2015-06-01,52701,,368,,54544,,45777,
2015-07-01,55440,,388,,58296,,49119,
2015-08-01,56141,,395,,56710,,47489,
2015-09-01,51757,,403,,50483,,39441,
2015-10-01,52398,,416,,56436,,43809,
2015-11-01,60232,,444,,63858,,50488,
2015-12-01,76142,,515,,75889,,62899,
2016-01-01,80257,,552,,81385,,67097,
2016-02-01,70389,,494,,73795,,60286,
2016-03-01,78317,,542,,82535,,66721,
2016-04-01,72788,,503,,74912,,62188,
2016-05-01,66245,,471,,74912,,60049,
2016-06-01,63973,,454,,69357,,56851,
2016-07-01,67383,,477,,72887,,60647,
2016-08-01,67412,,474,,69000,,58528,
2016-09-01,70395,,486,,65527,,53996,
2016-10-01,81000,,529,,75901,,62799,
2016-11-01,111939,,703,,102504,,89115,
2016-12-01,132537,,809,,114764,,101163,
2017-01-01,136405,,818,,124263,,112412,
2017-02-01,124308,,751,,112320,,100837,
2017-03-01,141874,,846,,134283,,122839,
