Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,43830,,248,,27584,,32880,
2002-11-01,43856,,240,,29016,,35042,
2002-12-01,48391,,261,,31820,,40251,
2003-01-01,52645,,279,,28377,,37836,
2003-02-01,47550,,252,,26623,,33836,
2003-03-01,51436,,273,,34378,,39978,
2003-04-01,50553,,268,,29070,,35465,
2003-05-01,43160,,232,,23906,,29559,
2003-06-01,42654,,228,,29340,,35652,
2003-07-01,47228,,248,,33357,,40911,
2003-08-01,47228,,248,,32697,,40166,
2003-09-01,31234,,164,,22473,,27527,
2003-10-01,39359,,214,,30587,,34752,
2003-11-01,45015,,250,,31672,,38195,
2003-12-01,50620,,279,,35458,,43435,
2004-01-01,50620,,279,,32802,117,40153,
2004-02-01,47354,,261,,29745,137,35828,
2004-03-01,50620,,279,,34290,102,41767,
2004-04-01,48725,,269,,28597,168,34828,
2004-05-01,49276,,271,,28895,162,35476,
2004-06-01,47979,,264,,31862,272,39389,
2004-07-01,50620,,285,,34775,115,42970,
2004-08-01,49840,,274,,32184,126,40114,
2004-09-01,37163,,208,,21391,212,28347,
2004-10-01,36473,,217,,26434,348,29963,
2004-11-01,42571,,226,,26018,385,28932,
2004-12-01,44989,,272,,31205,561,35000,
2005-01-01,36905,,225,,23812,1128,27376,
2005-02-01,37918,,230,,26574,1198,30556,
2005-03-01,46165,,279,,36039,1405,41287,
2005-04-01,44676,,270,,26651,977,30478,
2005-05-01,24341,,147,,16226,1654,19752,
2005-06-01,26321,,159,,18558,1650,22286,
2005-07-01,30604,,188,,21408,1190,24942,
2005-08-01,27161,,163,,16903,804,19493,
2005-09-01,16730,,95,,10962,418,12583,
2005-10-01,15731,,89,,11366,321,13159,
2005-11-01,19358,,110,,12008,990,14475,
2005-12-01,17147,,102,,11702,1585,14853,
2006-01-01,14621,,79,,10025,139,11581,
2006-02-01,14402,,74,,10154,885,12638,
2006-03-01,18936,,97,,14201,1522,17952,
2006-04-01,17647,,90,,11222,820,13762,
2006-05-01,8849,,62,,6086,776,7902,
2006-06-01,9530,,60,,7032,185,8299,
2006-07-01,8921,,62,,6427,715,8223,
2006-08-01,8849,,62,,5524,744,7210,
2006-09-01,8563,,60,,5210,577,6667,
2006-10-01,9199,,64,,6269,830,8143,
2006-11-01,15733,,80,,10327,872,12773,
2006-12-01,16082,,98,,162,702,14065,
2007-01-01,19202,,94,,12368,98,14167,
2007-02-01,20865,,108,,16278,114,18583,
2007-03-01,22191,,116,,18254,369,21114,
2007-04-01,22303,,114,,13740,49,15654,
2007-05-01,11244,,62,,8066,253,9554,
2007-06-01,11195,,61,,8793,192,10294,
2007-07-01,11981,,61,,9500,114,11012,
2007-08-01,10576,,63,,7683,111,9205,
2007-09-01,9945,,60,,7023,173,8279,
2007-10-01,10276,,62,,8103,255,9611,
2007-11-01,12525,,76,,9217,104,10673,
2007-12-01,15930,,97,,11004,61,12633,
2008-01-01,15276,,93,,9820,128,11368,
2008-02-01,14129,,86,,10534,102,12141,
2008-03-01,15115,,92,,11492,224,13366,
2008-04-01,12041,,73,,7486,181,8792,
2008-05-01,15556,,93,,10492,68,12273,
2008-06-01,15130,,90,,10517,,12620,
2008-07-01,15661,,93,,11665,,13826,
2008-08-01,15327,,91,,10353,,12301,
2008-09-01,14127,,84,,9136,,10792,
2008-10-01,13947,,83,,11120,,13093,
2008-11-01,16716,,100,,12067,,14086,
2008-12-01,20659,,124,,14587,,17006,
2009-01-01,14560,,87,,9792,,11308,
2009-02-01,16627,,100,,12288,62,14169,
2009-03-01,25253,,163,,19355,,21131,
2009-04-01,24350,,157,,16634,,17970,
2009-05-01,24358,,155,,15786,81,17266,
2009-06-01,23260,,148,,18067,101,19960,
2009-07-01,24340,,155,,19779,178,21809,
2009-08-01,24353,,155,,17178,323,19127,
2009-09-01,21859,,140,,15268,,16676,
2009-10-01,22987,,147,,18383,,20267,
2009-11-01,20813,,127,,14780,375,17400,
2009-12-01,20725,,123,,15198,341,18072,
2010-01-01,20261,,120,,14191,,16515,
2010-02-01,18078,,107,,13776,,16041,
2010-03-01,28623,,177,,23549,,26307,
2010-04-01,30148,,191,,19531,,21310,
2010-05-01,23221,,147,,16983,,18478,
2010-06-01,20220,,119,,14832,5,16346,
2010-07-01,26417,,155,,21438,91,23582,
2010-08-01,27238,,155,,20994,,23076,
2010-09-01,25913,,150,,18087,,19816,
2010-10-01,31415,,185,,25362,,28032,
2010-11-01,32373,,180,,23261,,27642,
2010-12-01,34023,,186,,24760,,30213,
2011-01-01,32898,,181,,22343,,27332,
2011-02-01,33284,,183,,23080,240,28317,
2011-03-01,48354,,274,,37972,432,45274,
2011-04-01,61087,,314,,37512,252,46954,
2011-05-01,55625,,302,,38299,38,48109,
2011-06-01,51017,,274,,37182,,46950,
2011-07-01,58399,,309,,42573,,54623,
2011-08-01,65665,,384,,50637,,58469,
2011-09-01,78110,,527,,60132,,65102,
2011-10-01,81411,,556,,67019,,73065,
2011-11-01,82294,,532,,65382,,69882,
2011-12-01,88749,,557,,66972,,72948,
2012-01-01,83212,,535,,60835,,66126,
2012-02-01,79983,,476,,62984,,70065,
2012-03-01,101783,,591,,85695,,94190,
2012-04-01,93452,,545,,69362,,75561,
2012-05-01,82495,,517,,68415,,71411,
2012-06-01,82611,,583,,77350,,74698,
2012-07-01,86454,,615,,79026,,77051,
2012-08-01,85754,,612,,76527,,74495,
2012-09-01,74049,,539,,68201,,63298,
2012-10-01,76188,,533,,72084,,69151,
2012-11-01,86094,,545,,71482,,73727,
2012-12-01,92663,,567,,77691,,81575,
2013-01-01,92504,,568,,72548,,75812,
2013-02-01,83628,,509,,69428,,70992,
2013-03-01,98613,,596,,89382,,90829,
2013-04-01,88433,,548,,71697,70,71821,
2013-05-01,81544,,553,,77619,667,73078,
2013-06-01,84742,,563,,80037,647,78139,
2013-07-01,93730,,614,,87490,269,87634,
2013-08-01,90377,,592,,84417,491,83327,
2013-09-01,91565,,575,,78986,11,80947,
2013-10-01,95916,,599,,83936,,86203,
2013-11-01,89205,,548,,75496,,76145,
2013-12-01,88914,,542,,80497,,82002,
2014-01-01,87741,,536,,74011,,76598,
2014-02-01,82514,,508,,70973,,73706,
2014-03-01,94423,,586,,87400,,87977,
2014-04-01,92579,,570,,78847,,78623,
2014-05-01,109338,,688,,96326,210,97641,
2014-06-01,115055,,698,,101765,183,106837,
2014-07-01,121592,,741,,109512,93,114857,
2014-08-01,122473,,762,,109319,511,113033,
2014-09-01,118653,,711,,95615,17,98900,
2014-10-01,129128,,754,,103560,,107223,
2014-11-01,110923,,693,,93811,,93630,
2014-12-01,112442,,706,,99974,,100469,
2015-01-01,123369,,762,,96530,,99905,
2015-02-01,110255,,686,,92201,,95132,
2015-03-01,127306,,795,,114501,,116366,
2015-04-01,141761,,875,,115817,219,117771,
2015-05-01,165289,,992,,137862,396,141904,
2015-06-01,155873,,930,,130413,273,136332,
2015-07-01,165225,,998,,140769,114,145870,
2015-08-01,169710,,999,,138966,344,142653,
2015-09-01,162694,,945,,131125,53,134884,
2015-10-01,171098,,974,,142553,,144818,
2015-11-01,154411,,873,,122173,,124708,
2015-12-01,152248,,854,,125402,,130013,
2016-01-01,154105,,878,,118526,,124200,
2016-02-01,139647,,791,,112107,,118380,
2016-03-01,158006,,881,,135386,,140637,
2016-04-01,168087,,937,,126598,569,132682,
2016-05-01,177950,,945,,126598,569,156083,
2016-06-01,172181,,908,,142286,376,150285,
2016-07-01,177480,,925,,146578,217,156718,
2016-08-01,178989,,935,,141709,530,151579,
2016-09-01,153874,,833,,118105,268,124720,
2016-10-01,154274,,827,,121947,232,128308,
2016-11-01,139534,,758,,105028,77,112964,
2016-12-01,136762,,744,,105167,,112804,
2017-01-01,142809,,756,,97513,,105063,
2017-02-01,127182,,711,,97873,,104092,
2017-03-01,142045,,786,,119691,,128768,
