Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,16906,,120,,13152,,12807,
2002-11-01,17036,,120,,14605,,14156,
2002-12-01,17858,,124,,15358,,15008,
2003-01-01,17674,,124,,13711,,13330,
2003-02-01,15914,,111,,13361,,12966,
2003-03-01,17783,,124,,15883,,15335,
2003-04-01,17209,,120,,15618,,15103,
2003-05-01,17595,,116,,14170,,13607,
2003-06-01,17294,,114,,13572,,13107,
2003-07-01,18822,,124,,15803,,15226,
2003-08-01,18822,,124,,16195,,15638,
2003-09-01,13950,,95,,12104,,11728,
2003-10-01,16391,,110,,14847,,13705,
2003-11-01,16924,,116,,15080,,14681,
2003-12-01,18098,,124,,14984,,14625,
2004-01-01,18098,,124,,14776,,14373,
2004-02-01,18110,,124,,15250,,14833,
2004-03-01,18688,,128,,16493,,16041,
2004-04-01,18841,,129,,16227,,15799,
2004-05-01,18098,,124,,15313,,14888,
2004-06-01,17514,,120,,14702,,14291,
2004-07-01,18098,,126,,15635,,15196,
2004-08-01,17514,,120,,14606,,14187,
2004-09-01,14716,,101,,10740,,11510,
2004-10-01,17803,,122,,15038,,14626,
2004-11-01,20083,,120,,14825,,14437,
2004-12-01,19572,,134,,15793,,15396,
2005-01-01,17809,,122,,14113,,13723,
2005-02-01,15757,,108,,13027,,12651,
2005-03-01,18098,,124,,16659,,16218,
2005-04-01,17219,,120,,15362,,14943,
2005-05-01,13435,,93,,12088,,11605,
2005-06-01,11177,,86,,10169,,9756,
2005-07-01,12811,,96,,10765,,10325,
2005-08-01,11558,,86,,10600,,10146,
2005-09-01,10807,,74,,8258,,7906,
2005-10-01,11007,,77,,8243,,7869,
2005-11-01,10785,,85,,8871,,8598,
2005-12-01,11765,,106,,9646,929,8448,
2006-01-01,12499,,116,,11252,323,9129,
2006-02-01,10897,,108,,10782,777,9578,
2006-03-01,12687,,125,,13102,1468,11867,
2006-04-01,11678,,115,,11701,1180,10421,
2006-05-01,10902,,116,,11422,1786,10266,
2006-06-01,12299,152,115,2,13506,185,10488,102
2006-07-01,12231,341,123,5,12000,1812,10541,188
2006-08-01,12127,136,124,2,11430,829,9782,37
2006-09-01,10736,,114,,8862,1005,7445,
2006-10-01,10729,,114,,10205,1153,8433,
2006-11-01,14602,,135,,12539,1244,10857,
2006-12-01,19139,,174,,419,1427,12475,
2007-01-01,20390,,193,,16652,,13294,
2007-02-01,20448,,187,,18849,,15382,
2007-03-01,21831,,200,,22153,,18180,
2007-04-01,21577,,195,,21630,,17397,
2007-05-01,17016,,135,,17568,,14274,
2007-06-01,18452,,145,,18052,,14885,
2007-07-01,19471,,150,,19486,,16247,
2007-08-01,15899,,131,,16344,,13235,
2007-09-01,12158,,111,,12611,,9462,
2007-10-01,11612,,109,,13090,,9653,
2007-11-01,19664,,162,,18625,,15331,
2007-12-01,22622,,182,,19743,,16583,
2008-01-01,19629,,166,,16972,,13533,
2008-02-01,17324,,161,,17240,,13230,
2008-03-01,18862,,185,,20858,,15859,
2008-04-01,18302,,179,,20630,,15776,
2008-05-01,11089,,154,,17354,,9503,
2008-06-01,10810,,151,,17413,,9425,
2008-07-01,11195,,156,,17802,,9755,
2008-08-01,11109,,153,,14084,,8659,
2008-09-01,10177,,128,,11807,,7529,
2008-10-01,10298,,124,,12760,,8208,
2008-11-01,9652,,117,,12446,44,7696,
2008-12-01,10298,,124,,13161,103,7824,
2009-01-01,10137,,122,,11443,88,7188,
2009-02-01,11725,,129,,12772,56,8509,
2009-03-01,14747,,176,,16448,55,11817,
2009-04-01,13100,,118,,14291,,11466,
2009-05-01,9994,,121,,13245,225,8339,
2009-06-01,9680,,119,,13698,272,8281,
2009-07-01,10269,,123,,14359,296,8886,
2009-08-01,10298,,124,,12544,188,8239,
2009-09-01,10254,,121,,10870,116,7469,
2009-10-01,10611,,125,,11816,118,7898,
2009-11-01,11989,,119,,12408,199,8941,
2009-12-01,13556,,122,,12285,291,9530,
2010-01-01,10980,,104,,11201,126,8713,
2010-02-01,10802,,100,,10406,,8882,
2010-03-01,13831,,124,,14635,,12442,
2010-04-01,13385,,120,,15498,,11847,
2010-05-01,9413,,93,,11689,,8428,
2010-06-01,7022,,70,,8009,,5447,
2010-07-01,9413,,93,,11579,,8033,
2010-08-01,11285,,108,,12429,,9207,
2010-09-01,13085,,120,,12068,,9100,
2010-10-01,15099,,135,,14412,,11376,
2010-11-01,15321,,161,,16794,,12288,
2010-12-01,13650,,169,,16885,,10996,
2011-01-01,14405,,155,,14623,,10080,
2011-02-01,12269,,131,,13521,,9236,
2011-03-01,14731,,156,,17472,,12297,
2011-04-01,14255,,150,,18046,,12585,
2011-05-01,10361,,127,,15435,,9550,
2011-06-01,7561,,104,,13244,,7049,
2011-07-01,7728,,106,,13721,,7230,
2011-08-01,7545,,103,,11756,,6535,
2011-09-01,7538,,103,,11533,,6264,
2011-10-01,7667,,105,,12472,,6663,
2011-11-01,9849,,94,,12003,,8560,
2011-12-01,11145,,93,,11857,,9597,
2012-01-01,11474,,93,,11438,,9604,
2012-02-01,13556,,106,,12480,,11275,
2012-03-01,18629,,158,,18864,,16190,
2012-04-01,17684,,149,,18771,,15670,
2012-05-01,11113,,94,,13864,,9997,
2012-06-01,10741,,108,,14500,,9511,
2012-07-01,11330,,122,,15992,,10398,
2012-08-01,10939,,122,,14317,,9523,
2012-09-01,9485,,93,,11198,,7812,
2012-10-01,9459,,91,,11335,,8039,
2012-11-01,18741,,168,,20906,,15705,
2012-12-01,22004,,196,,24379,,18469,
2013-01-01,21438,,192,,23819,,18559,
2013-02-01,19806,,176,,22427,,17577,
2013-03-01,23279,,204,,26549,,20804,
2013-04-01,19084,,174,,21858,,17418,
2013-05-01,7999,,82,,10968,,7531,
2013-06-01,7726,,78,,10958,,7385,
2013-07-01,7944,,79,,10651,,7516,
2013-08-01,7820,,79,,10465,,7333,
2013-09-01,9959,,93,,12078,,8995,
2013-10-01,10238,,96,,12422,,9297,
2013-11-01,26459,,189,,25874,,22670,
2013-12-01,29736,,205,,28779,,25157,
2014-01-01,29306,,204,,27915,,25191,
2014-02-01,26471,,183,,25857,,23617,
2014-03-01,29436,,204,,30054,,27049,
