Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,55554,,441,,33834,,33752,
2002-11-01,42498,,369,,28828,,27759,
2002-12-01,43796,,386,,35944,60,35333,
2003-01-01,45326,,389,,30168,21,29168,
2003-02-01,40629,,350,,30095,,28375,
2003-03-01,42894,,378,,35668,6,33619,
2003-04-01,43454,,355,,32757,0,31244,
2003-05-01,41279,,345,,33224,44,31958,
2003-06-01,45378,,366,,36247,85,36631,
2003-07-01,49647,,396,,40025,159,40256,
2003-08-01,48951,,390,,34384,147,33893,
2003-09-01,44910,,383,,26155,39,24114,
2003-10-01,45418,,397,,32140,91,29073,
2003-11-01,42864,,367,,29181,,27299,
2003-12-01,44674,,386,,33072,,32803,
2004-01-01,45334,,388,,29313,,28556,
2004-02-01,37569,,333,,26367,,24372,
2004-03-01,37279,,340,,30653,,27923,
2004-04-01,36336,,325,,31928,52,28315,
2004-05-01,35839,,321,,32059,46,29266,
2004-06-01,36144,,331,,32884,10,29953,
2004-07-01,35523,,331,,32099,64,29415,
2004-08-01,36693,,338,,31917,105,28857,
2004-09-01,35031,,320,,27231,11,24693,
2004-10-01,38234,,335,,30624,,27256,
2004-11-01,35784,,312,,28633,,25812,
2004-12-01,37665,,330,,30967,,29559,
2005-01-01,28355,,244,,21196,,19953,
2005-02-01,26184,,222,,19563,,18126,
2005-03-01,30303,,251,,24086,,22154,
2005-04-01,29189,,232,,23922,,21657,
2005-05-01,27662,,239,,23667,88,22802,
2005-06-01,23644,,207,,21826,62,20214,
2005-07-01,23045,,200,,21742,27,20402,
2005-08-01,23515,,208,,19647,32,18031,
2005-09-01,22792,,204,,18740,32,16325,
2005-10-01,24210,,217,,20714,43,18106,
2005-11-01,22933,,203,,19717,24,17311,
2005-12-01,22969,,203,,20035,36,18331,
2006-01-01,23810,,207,,19436,12,17136,
2006-02-01,21459,,191,,18427,,16277,
2006-03-01,23617,,212,,21218,,18893,
2006-04-01,24218,,204,,22480,,19386,
2006-05-01,24924,,215,,23425,63,20950,
2006-06-01,24591,,205,,22981,25,20407,
2006-07-01,25390,,211,,23410,,21022,
2006-08-01,25560,,215,,21895,,19196,
2006-09-01,22809,,205,,19142,,16711,
2006-10-01,23687,,214,,20760,,18472,
2006-11-01,27119,,227,,21569,,20269,
2006-12-01,23368,,204,,18880,,17566,
2007-01-01,27474,,233,,23359,,21800,
2007-02-01,23011,,192,,20036,,18581,
2007-03-01,24386,,213,,22354,35,19725,
2007-04-01,23829,,210,,22271,133,19903,
2007-05-01,26357,,240,,25483,138,22357,
2007-06-01,23967,,222,,22629,170,20343,
2007-07-01,24556,,229,,22241,247,20335,
2007-08-01,31280,,284,,26227,314,24344,
2007-09-01,24721,,228,,19454,194,17109,
2007-10-01,25435,,236,,22214,158,19257,
2007-11-01,24267,,223,,21356,148,18859,
2007-12-01,24613,,229,,19496,95,18281,
2008-01-01,24818,,228,,19367,148,17531,
2008-02-01,22428,,203,,16870,198,15498,
2008-03-01,25489,,233,,21737,262,19605,
2008-04-01,24014,,224,,22528,305,19713,
2008-05-01,24916,,231,,23312,252,21357,
2008-06-01,24316,,221,,21823,108,20608,
2008-07-01,24872,,228,,21853,161,20470,
2008-08-01,24346,,225,,19019,179,17274,
2008-09-01,24632,,227,,19561,166,17737,
2008-10-01,25279,,234,,21231,183,18912,
2008-11-01,8871,,112,,9821,122,6164,
2008-12-01,8417,,112,,9427,44,5841,
2009-01-01,8119,,110,,8551,,5182,
2009-02-01,7009,,91,,7294,,4420,
2009-03-01,7297,,91,,9225,,5664,
2009-04-01,7009,,89,,9659,,5853,
2009-05-01,6712,,87,,8723,,5286,
2009-06-01,6723,,87,,8562,,5174,
2009-07-01,7114,,91,,8985,,5445,
2009-08-01,6970,,92,,7367,,4490,
2009-09-01,7207,,86,,7216,,4373,
2009-10-01,7528,,92,,8212,,4976,
2009-11-01,7304,,88,,7772,,4710,
2009-12-01,7057,,86,,7652,,4637,
2010-01-01,5015,,62,,5928,,3652,
2010-02-01,4499,,54,,5329,,3285,
2010-03-01,5250,,62,,6556,,3973,
2010-04-01,5300,,63,,6834,,4423,
2010-05-01,4752,,59,,6613,,4007,
2010-06-01,2659,,33,,3531,,2121,
2010-07-01,2516,,31,,3323,,2014,
2010-08-01,2531,,31,,2884,,1748,
2010-09-01,2734,,33,,3031,,1837,
2010-10-01,2847,,34,,3419,,2072,
2010-11-01,5348,,60,,5582,,3423,
2010-12-01,5206,,67,,5872,,3540,
2011-01-01,4490,,56,,4828,,2909,
2011-02-01,3657,,44,,3266,,2000,
2011-03-01,3451,,43,,3541,,2146,
2011-04-01,3571,,36,,3915,,2372,
2011-05-01,4160,,54,,5560,,3363,
2011-06-01,5393,,71,,6621,,3877,
2011-07-01,5870,,76,,6939,,4024,
2011-08-01,5799,,76,,5922,,3480,
2011-09-01,2440,,29,,2447,,1507,
2011-10-01,2160,,26,,2338,,1417,
2011-11-01,2339,,30,,2772,,1660,
2011-12-01,2218,,30,,2482,0,1494,
2012-01-01,8923,,100,,5784,,3788,
2012-02-01,9611,,109,,6983,,4639,
2012-03-01,4860,,61,,4961,,3131,
2012-04-01,11838,,118,,10896,,9013,
2012-05-01,15320,,143,,14893,1,12279,
2012-06-01,11510,,122,,10436,,8509,
2012-07-01,7918,161,80,1,6999,,5998,159
2012-08-01,10027,,97,,7736,9,6695,
2012-09-01,11906,,130,,10258,2,8306,
2012-10-01,14048,,140,,12641,18,10331,
2012-11-01,7273,,86,,7363,0,5093,
2012-12-01,4987,,59,,5330,0,3566,
2013-01-01,5109,,61,,4806,1,3236,
2013-02-01,4535,,54,,3957,2,2720,
2013-03-01,4295,,49,,4048,,2841,
2013-04-01,3125,,34,,2766,,1753,
2013-05-01,2508,,33,,3287,,2016,
2013-06-01,4943,,59,,5474,,3745,
2013-07-01,5107,,56,,4696,,3266,
2013-08-01,4291,,47,,3656,,2479,
2013-09-01,2248,,30,,1972,3,1197,
2013-10-01,2415,,32,,2083,,1338,
2013-11-01,2386,,31,,2121,,1295,
2013-12-01,3862,,47,,3683,13,2602,
2014-01-01,2046,922,26,1,1769,2,1073,897
2014-02-01,2820,,35,,3455,,2318,
2014-03-01,4247,,52,,5520,0,3663,
2014-04-01,19618,,62,,7873,,16372,
2014-05-01,20828,,67,,9509,,19574,
2014-06-01,20676,,79,,9393,,16527,
2014-07-01,19022,,64,,7844,,15776,
2014-08-01,18568,,59,,6938,,14198,
2014-09-01,19233,,65,,7006,,13435,
2014-10-01,25150,,117,,11674,2,18130,
2014-11-01,31761,,201,,18959,7,22524,
2014-12-01,32963,,208,,20484,2,24556,
2015-01-01,26489,,204,,17511,0,17819,
2015-02-01,27453,,210,,19683,13,19688,
2015-03-01,43030,,295,,27665,14,30361,
2015-04-01,47445,,328,,33365,14,35839,
2015-05-01,51089,,352,,42092,3,44836,
2015-06-01,51909,,374,,40518,0,41110,
2015-07-01,44888,,308,,32319,4,36102,
2015-08-01,47296,,313,,31765,2,34021,
2015-09-01,48262,,327,,35891,5,36856,
2015-10-01,54045,,373,,42523,0,43280,
2015-11-01,49725,,324,,35680,2,38446,
2015-12-01,46098,,292,,33292,,36835,
2016-01-01,30730,,227,,21576,0,21703,
2016-02-01,39107,,250,,24094,,25798,
2016-03-01,67351,,413,,46576,,47612,
2016-04-01,62926,,412,,51760,0,49710,
2016-05-01,78357,,547,,76432,,70704,
2016-06-01,81628,,589,,84748,,76535,
2016-07-01,78905,,564,,78100,,71497,
2016-08-01,81996,,599,,70693,,62867,
2016-09-01,78379,,575,,66456,3,59162,
2016-10-01,68108,,504,,58651,,53486,
2016-11-01,61548,,452,,55321,4,48974,
2016-12-01,57694,,393,,48643,,47244,
2017-01-01,38835,,302,,30889,,26420,
2017-02-01,40820,,300,,30225,,26995,
2017-03-01,57244,,381,,42374,,43896,
