Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,218806,15754,1016,25,99787,4069,144305,11290
2002-11-01,194895,,858,,77539,941,109011,
2002-12-01,194762,,854,,89951,1173,139723,
2003-01-01,197841,1012,868,1,65501,1055,100716,741
2003-02-01,169505,,754,,68127,1165,102812,
2003-03-01,189266,,868,,78432,1345,115488,
2003-04-01,189964,,788,,78506,623,120448,
2003-05-01,176669,,770,,83923,900,122409,
2003-06-01,191778,,836,,96720,1339,142689,
2003-07-01,201741,901,872,1,104410,1112,154872,660
2003-08-01,202288,,876,,109416,1118,162875,
2003-09-01,172040,842,790,1,79557,977,116088,771
2003-10-01,182673,,844,,95923,1002,140736,
2003-11-01,159559,,757,,76357,1057,109893,
2003-12-01,159395,,733,,80895,1029,124485,
2004-01-01,167370,,765,,63935,1146,101541,
2004-02-01,171438,,774,,72692,1193,111507,
2004-03-01,194289,946,861,1,84776,1057,131774,682
2004-04-01,208147,,894,,96138,849,153227,
2004-05-01,215934,,908,,96930,879,159363,
2004-06-01,214213,,904,,110489,851,172543,
2004-07-01,214872,,954,,111392,768,172926,
2004-08-01,219160,,1004,,123326,919,189705,
2004-09-01,192741,,883,,94734,1117,141222,
2004-10-01,197390,,880,,106793,1048,160023,
2004-11-01,174097,,793,,88175,999,128685,
2004-12-01,172979,,806,,86834,925,130491,
2005-01-01,152935,,715,,69037,895,108385,
2005-02-01,152132,,704,,72141,987,111768,
2005-03-01,171604,,774,,84938,1121,133129,
2005-04-01,167427,,760,,89196,1125,132614,
2005-05-01,171077,,768,,91391,1094,135531,
2005-06-01,168731,,773,,101049,962,149734,
2005-07-01,174149,1685,789,2,103988,904,158285,1401
2005-08-01,176559,,808,,105062,1090,157173,
2005-09-01,170460,,757,,93646,1161,136522,
2005-10-01,176786,,775,,102979,1395,151195,
2005-11-01,162137,,730,,88435,1206,127260,
2005-12-01,174248,,753,,88937,1404,138515,
2006-01-01,168939,,736,,81089,1268,126056,
2006-02-01,154788,,728,,81841,1094,119741,
2006-03-01,178349,,850,,98326,1330,142483,
2006-04-01,172818,,837,,104589,700,148141,
2006-05-01,197734,,890,,109845,1030,165156,
2006-06-01,195100,,901,,112894,979,172171,
2006-07-01,198947,,933,,117826,723,179970,
2006-08-01,202538,,956,,118241,850,178476,
2006-09-01,205694,842,910,1,103520,672,153318,793
2006-10-01,217623,743,955,1,122397,920,178533,608
2006-11-01,202475,,929,,109690,1130,153938,
2006-12-01,193188,,879,,99864,1011,148189,
2007-01-01,179508,,790,,85201,1227,131421,
2007-02-01,171797,,738,,86628,991,134190,
2007-03-01,197093,,870,,102938,1185,156116,
2007-04-01,189900,,850,,106024,765,156881,
2007-05-01,199511,,856,,113228,864,171842,
2007-06-01,194883,,846,,120777,1321,180795,
2007-07-01,198793,,867,,119429,1319,179986,
2007-08-01,204041,,881,,124343,1546,189043,
2007-09-01,197773,,820,,97529,1446,150475,
2007-10-01,203961,,852,,114905,1229,176141,
2007-11-01,186070,,798,,99341,996,151459,
2007-12-01,173404,,733,,85904,1009,137091,
2008-01-01,162285,842,703,1,73001,965,116239,751
2008-02-01,164535,,688,,81305,813,126758,
2008-03-01,188817,,784,,93774,957,146671,
2008-04-01,184616,928,801,1,95788,653,146930,525
2008-05-01,187214,666,811,1,98811,864,151847,631
2008-06-01,193378,,811,,110464,1055,172034,
2008-07-01,194986,,831,,112749,796,176186,
2008-08-01,196348,,834,,114753,876,177649,
2008-09-01,172673,,715,,90377,1057,139551,
2008-10-01,173406,,740,,100191,1032,151348,
2008-11-01,147238,,674,,83409,1015,120276,
2008-12-01,163386,,709,,90080,869,139794,
2009-01-01,146586,,640,,68800,815,110123,
2009-02-01,143925,,632,,69926,564,106688,
2009-03-01,171511,946,725,1,82318,990,128027,796
2009-04-01,176084,1317,758,2,93115,797,141623,1123
2009-05-01,176118,,753,,93530,1018,146386,
2009-06-01,180736,,760,,102238,955,159890,
2009-07-01,181719,,781,,108342,976,168348,
2009-08-01,185892,,793,,111220,1084,171411,
2009-09-01,177486,2305,746,3,90017,1080,143243,2098
2009-10-01,177032,,758,,102411,963,158548,
2009-11-01,149736,928,678,1,82789,867,124193,726
2009-12-01,161875,,675,,86226,893,138220,
2010-01-01,156015,,643,,74276,883,120547,
2010-02-01,136934,671,561,1,71202,959,114232,649
2010-03-01,158752,,673,,83314,1270,131525,
2010-04-01,153358,,680,,89591,1558,132223,
2010-05-01,158129,,702,,93077,1817,139341,
2010-06-01,166463,1987,690,2,97205,1545,152807,1852
2010-07-01,174252,994,697,1,98291,1335,159858,951
2010-08-01,178966,637,719,1,103882,1751,165874,547
2010-09-01,170564,637,672,1,85982,1755,139532,595
2010-10-01,175721,,690,,97989,1708,159019,
2010-11-01,173842,,719,,90060,1526,142446,
2010-12-01,172623,,686,,88279,2011,145222,
2011-01-01,148248,597,600,1,69348,1578,117353,333
2011-02-01,138038,,566,,67236,1645,109959,
2011-03-01,161378,,666,,79340,1829,128184,
2011-04-01,156710,,650,,87286,1696,135908,
2011-05-01,179665,685,711,1,97423,2006,159850,412
2011-06-01,181865,,712,,100842,2322,165472,
2011-07-01,182322,,717,,103751,2124,168744,
2011-08-01,175624,,688,,102234,2367,165848,
2011-09-01,148089,,595,,82439,2002,129954,
2011-10-01,156999,,624,,90959,2042,143901,
2011-11-01,142753,,552,,76920,1822,127667,
2011-12-01,157618,,554,,79532,2276,143270,
2012-01-01,160865,947,909,1,97983,2391,133919,631
2012-02-01,167911,,925,,107681,2050,140708,
2012-03-01,202365,,1032,,124017,1928,167134,
2012-04-01,195010,533,1089,1,137585,596,170676,524
2012-05-01,224678,632,1177,1,157435,457,199633,579
2012-06-01,232711,1269,1196,2,162615,560,212006,1163
2012-07-01,240887,81,1190,1,163918,674,223235,75
2012-08-01,241732,673,1215,1,167904,660,226403,537
2012-09-01,210824,,1075,,133467,261,180203,
2012-10-01,201185,512,1039,1,140409,367,186181,0
2012-11-01,177792,888,999,1,127739,294,157468,389
2012-12-01,175883,1302,934,2,120825,492,156538,1167
2013-01-01,154274,633,916,1,108497,252,133506,325
2013-02-01,135627,,783,,101859,211,122559,
2013-03-01,180446,,946,,118990,257,158232,
2013-04-01,197559,878,989,1,129773,355,174556,849
2013-05-01,215544,876,1059,1,137304,14,186157,769
2013-06-01,235738,,1138,,152410,5,211732,
2013-07-01,245912,,1205,,155711,,222323,
2013-08-01,248754,,1230,,163985,46,228451,
2013-09-01,209702,,1100,,137256,260,180481,
2013-10-01,221523,,1187,,157749,362,202618,
2013-11-01,196642,631,1048,1,130477,430,164473,593
2013-12-01,194714,,967,,133133,328,180735,
2014-01-01,173492,,904,,107688,299,148049,
2014-02-01,165441,,852,,109251,420,145469,
2014-03-01,209529,,1057,,132497,705,178059,
2014-04-01,227784,,1074,,144186,622,199180,
2014-05-01,229868,976,1080,1,144746,319,202604,859
2014-06-01,238958,673,1114,1,150035,370,212614,592
2014-07-01,244000,,1125,,157974,391,225871,
2014-08-01,239484,1373,1105,1,157796,269,224641,1145
2014-09-01,222532,,1027,,138600,136,194202,
2014-10-01,231121,597,1077,1,149860,244,208921,408
2014-11-01,174840,,885,,117360,177,154240,
2014-12-01,177860,,848,,118939,203,163170,
2015-01-01,143597,,671,,85409,347,123431,
2015-02-01,132421,,635,,85748,427,117340,
2015-03-01,199480,506,977,1,126545,325,171730,506
2015-04-01,203237,,1002,,137839,513,181233,
2015-05-01,241043,,1130,,157797,654,213563,
2015-06-01,259281,976,1187,1,161566,536,226491,499
2015-07-01,261626,,1215,,173272,420,244514,
2015-08-01,253869,,1189,,169450,234,236016,
2015-09-01,231761,,1104,,151292,71,203837,
2015-10-01,251954,,1192,,170736,33,227208,
2015-11-01,218549,,1051,,143966,114,187912,
2015-12-01,195837,503,914,1,129621,10,176528,399
2016-01-01,163148,980,702,1,95647,0,135417,584
2016-02-01,169805,,729,,102607,,143756,
2016-03-01,218914,,1004,,132664,,177986,
2016-04-01,219458,,1066,,147509,,183915,
2016-05-01,258365,,1158,,159177,,211240,
2016-06-01,261701,699,1171,1,166300,0,222619,673
2016-07-01,267047,,1181,,175652,,244315,
2016-08-01,275407,,1241,,181046,9,244438,
2016-09-01,246662,683,1139,1,160860,163,206930,520
2016-10-01,256762,,1181,,177087,,230016,
2016-11-01,214287,,1006,,150320,,183114,
2016-12-01,205339,,903,,137150,,176880,
2017-01-01,179846,,845,,113383,,141928,
2017-02-01,170413,,754,,112546,,142178,
2017-03-01,217244,,934,,140719,,185706,
