Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,98937,,448,,54739,57,68482,
2002-11-01,88650,,407,,47018,25,58297,
2002-12-01,94804,,432,,54450,29,70821,
2003-01-01,78913,,383,,44087,28,56720,
2003-02-01,63455,,313,,36830,8,46536,
2003-03-01,73389,,376,,48410,21,59900,
2003-04-01,73909,,363,,50880,33,62211,
2003-05-01,81930,,423,,58096,65,71382,
2003-06-01,99441,,472,,66651,34,87232,
2003-07-01,111135,,512,,74069,25,100698,
2003-08-01,107445,,509,,68175,16,92751,
2003-09-01,88114,,435,,53798,24,65917,
2003-10-01,101029,,482,,63557,29,79011,
2003-11-01,87839,,432,,56416,15,68203,
2003-12-01,102263,,473,,63177,7,84424,
2004-01-01,95916,,462,,52622,16,69680,
2004-02-01,85077,,431,,47705,9,62123,
2004-03-01,102908,,493,,59663,47,81214,
2004-04-01,114152,,505,,65221,6,91147,
2004-05-01,113468,,521,,64861,,90813,
2004-06-01,123239,,543,,73312,,100921,
2004-07-01,132431,,578,,75565,,107118,
2004-08-01,128886,,563,,70286,0,99332,
2004-09-01,122021,,509,,58517,,80689,
2004-10-01,122830,,515,,61721,,86142,
2004-11-01,93157,,413,,50833,,66188,
2004-12-01,100550,,454,,53566,,72118,
2005-01-01,80587,,413,,43742,14,57310,
2005-02-01,68338,,363,,37621,47,48695,
2005-03-01,73696,,405,,46290,61,60737,
2005-04-01,70926,,415,,47054,11,58056,
2005-05-01,84529,,430,,53690,42,70705,
2005-06-01,82530,,416,,56690,4,74144,
2005-07-01,85095,,427,,58331,,77431,
2005-08-01,86088,,434,,56246,,74024,
2005-09-01,85513,,435,,50722,,65825,
2005-10-01,83885,,433,,51593,,65437,
2005-11-01,78737,,412,,49173,,60878,
2005-12-01,86293,,432,,51924,,68726,
2006-01-01,85142,,433,,49604,,64651,
2006-02-01,71805,,382,,45419,,58339,
2006-03-01,78506,,424,,53480,,68409,
2006-04-01,83107,,446,,55739,28,72453,
2006-05-01,90800,,459,,60843,1,79831,
2006-06-01,87278,,466,,62503,,80963,
2006-07-01,87858,,473,,62132,,81182,
2006-08-01,90723,,491,,59049,0,76187,
2006-09-01,92464,,459,,56842,10,72689,
2006-10-01,97405,,483,,62549,17,82230,
2006-11-01,95030,,462,,57008,60,75600,
2006-12-01,90187,,450,,54103,16,73225,
2007-01-01,88383,,460,,52162,90,70247,
2007-02-01,73323,,380,,45372,41,60481,
2007-03-01,87884,,444,,55436,,73139,
2007-04-01,84461,,428,,58115,,75423,
2007-05-01,92797,,454,,64350,,81808,
2007-06-01,84600,,432,,60682,,79019,
2007-07-01,83879,,441,,57712,0,76055,
2007-08-01,86230,,448,,58829,0,77669,
2007-09-01,79538,,404,,53622,,66689,
2007-10-01,94864,,450,,60791,,79339,
2007-11-01,87208,,426,,52696,,68237,
2007-12-01,78715,,394,,45619,,61721,
2008-01-01,77017,,368,,42493,40,59406,
2008-02-01,80541,,375,,41888,40,60024,
2008-03-01,87062,,439,,50907,72,70282,
2008-04-01,76591,,404,,50799,86,66151,
2008-05-01,79413,,413,,53295,44,70411,
2008-06-01,73558,,417,,52428,88,66489,
2008-07-01,74670,,421,,53382,73,65754,
2008-08-01,76365,,415,,52952,70,65523,
2008-09-01,72510,,372,,47005,89,59527,
2008-10-01,72021,,384,,47196,65,60090,
2008-11-01,62336,,342,,41707,26,49463,
2008-12-01,67289,,372,,45881,43,57445,
2009-01-01,62343,,338,,40016,10,51188,
2009-02-01,62823,,329,,38640,6,50186,
2009-03-01,74176,,393,,48637,,62945,
2009-04-01,73068,,400,,50744,,63226,
2009-05-01,76373,,409,,52566,,64927,
2009-06-01,76781,,412,,55337,19,69590,
2009-07-01,77102,,420,,55096,80,70147,
2009-08-01,79510,,423,,52371,48,68067,
2009-09-01,73931,,376,,44794,,57786,
2009-10-01,72796,,377,,48164,,61297,
2009-11-01,61518,,323,,39686,,49610,
2009-12-01,66757,,356,,43300,,55634,
2010-01-01,62841,,335,,38358,,48981,
2010-02-01,53613,,294,,32329,,41128,
2010-03-01,75357,,418,,50339,,65083,
2010-04-01,74042,,399,,49822,,62806,
2010-05-01,76500,,404,,51639,,65755,
2010-06-01,72584,,408,,52527,,67060,
2010-07-01,73620,,421,,51940,,66748,
2010-08-01,74448,,423,,50657,,65005,
2010-09-01,70862,,396,,45679,,58246,
2010-10-01,73394,,408,,47087,,61260,
2010-11-01,62184,,353,,40718,,50616,
2010-12-01,62546,,343,,39852,,51884,
2011-01-01,54322,,266,,30786,,43328,
2011-02-01,47463,,248,,26933,,37941,
2011-03-01,52083,,303,,32856,,43709,
2011-04-01,60950,,292,,37007,,52338,
2011-05-01,64181,,304,,38915,25,56142,
