Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,36372,,423,,35278,,21590,
2002-11-01,29671,,366,,31315,,19165,
2002-12-01,28560,,350,,29277,,17918,
2003-01-01,29312,,366,,24165,,14789,
2003-02-01,25759,,324,,24636,,15077,
2003-03-01,31000,,392,,32913,,20147,
2003-04-01,26993,,332,,32649,,19981,
2003-05-01,29935,,376,,38149,,23347,
2003-06-01,30427,,386,,35976,,22009,
2003-07-01,30807,,383,,33425,,20371,
2003-08-01,32038,,395,,32805,,20046,
2003-09-01,29392,,367,,30519,,18554,
2003-10-01,31529,,399,,37226,,22782,
2003-11-01,28695,,374,,33965,,20776,
2003-12-01,27123,,355,,30229,,18500,
2004-01-01,27707,,355,,23455,,14352,
2004-02-01,27719,,369,,28314,,17305,
2004-03-01,30087,,407,,35350,,21635,
2004-04-01,29465,,396,,39191,,23985,
2004-05-01,29348,,390,,39432,,24109,
2004-06-01,28131,,382,,38644,,23650,
2004-07-01,36247,,408,,39173,,27245,
2004-08-01,38716,,417,,37781,,26937,
2004-09-01,38075,,406,,37728,,26318,
2004-10-01,40486,,426,,41599,,28909,
2004-11-01,36408,,403,,35904,,24620,
2004-12-01,34943,,389,,34012,,23855,
2005-01-01,37549,,384,,27534,,19814,
2005-02-01,35593,,379,,28316,,20226,
2005-03-01,38196,,425,,37254,,26507,
2005-04-01,36359,,409,,40407,,27572,
2005-05-01,35604,,417,,39628,,27638,
2005-06-01,35263,,425,,40972,,28261,
2005-07-01,34963,,423,,37900,,26563,
2005-08-01,37871,,456,,38240,,26582,
2005-09-01,36027,,434,,38542,,26539,
2005-10-01,36951,,447,,42399,,29167,
2005-11-01,36748,,427,,42187,,28725,
2005-12-01,34569,,404,,36718,,25638,
2006-01-01,33695,,391,,28572,,20122,
2006-02-01,33969,,380,,31946,,22698,
2006-03-01,38509,,423,,41947,,29884,
2006-04-01,37085,,427,,45312,,31809,
2006-05-01,39386,,443,,47061,,32984,
2006-06-01,39147,,438,,49090,,34431,
2006-07-01,38003,,423,,42975,,30699,
2006-08-01,39306,,443,,43081,,30443,
2006-09-01,38047,,410,,40861,,28701,
2006-10-01,41684,,449,,47282,,33134,
2006-11-01,38549,,426,,43886,,29952,
2006-12-01,34512,,370,,36833,,25339,
2007-01-01,38255,,403,,32630,,22856,
2007-02-01,33020,,351,,34403,,24422,
2007-03-01,39888,,435,,45630,,32415,
2007-04-01,38438,,425,,48649,,34019,
2007-05-01,40674,,453,,51159,,35579,
2007-06-01,37522,,412,,48244,,33858,
2007-07-01,36560,,403,,42988,,30513,
2007-08-01,38005,,415,,42615,,30445,
2007-09-01,36164,,402,,37544,,26253,
2007-10-01,38949,,439,,45753,,31580,
2007-11-01,38632,,425,,44414,,30042,
2007-12-01,30932,,350,,35235,,24726,
2008-01-01,34385,,373,,31579,,22057,
2008-02-01,34401,,364,,35363,,24956,
2008-03-01,39516,,422,,45040,,31409,
2008-04-01,40632,,422,,49713,,34453,
2008-05-01,41279,,428,,49534,,34223,
2008-06-01,38032,,420,,47024,62,33198,
2008-07-01,38794,,426,,44941,42,31879,
2008-08-01,37453,,408,,42725,89,30425,
2008-09-01,38146,,421,,42456,3,29380,
2008-10-01,40538,,444,,48580,,33867,
2008-11-01,35800,,399,,38383,,26272,
2008-12-01,33974,,382,,36287,,25388,
2009-01-01,35106,,393,,31524,,22146,
2009-02-01,33783,,367,,32102,,22185,
2009-03-01,39543,,412,,41887,13,28768,
2009-04-01,38993,,415,,45774,94,31499,
2009-05-01,39836,,421,,46539,81,31925,
2009-06-01,41018,,423,,47580,96,33232,
2009-07-01,40227,,417,,47044,72,33083,
2009-08-01,40614,,420,,43886,58,31057,
2009-09-01,39757,,425,,41905,4,29617,
2009-10-01,42290,,444,,50327,,35204,
2009-11-01,38871,,398,,43451,,30465,
2009-12-01,35136,,370,,37560,,26552,
2010-01-01,35004,,386,,33495,,23512,
2010-02-01,29188,,307,,30590,,21518,
2010-03-01,40679,,428,,47973,,33539,
2010-04-01,40047,,418,,49166,28,34144,
2010-05-01,39606,,416,,49516,21,34311,
2010-06-01,39896,,421,,50320,40,35189,
2010-07-01,39756,,422,,47840,118,33779,
2010-08-01,38597,,400,,44899,60,31680,
2010-09-01,38035,,388,,43573,57,30457,
2010-10-01,38853,,394,,46872,43,32956,
2010-11-01,35179,,357,,39360,36,27807,
2010-12-01,31073,,333,,33343,57,23973,
2011-01-01,30575,,329,,26833,62,19206,
2011-02-01,27237,,287,,26776,37,19139,
2011-03-01,34864,,372,,38477,65,26962,
2011-04-01,33833,,336,,42450,74,29801,
2011-05-01,34766,,344,,43942,120,31107,
2011-06-01,33391,,342,,42444,88,29636,
2011-07-01,31800,,331,,39414,157,27683,
2011-08-01,32087,,340,,38455,270,27048,
2011-09-01,33795,,342,,39234,84,27757,
2011-10-01,36191,,353,,44685,106,31672,
2011-11-01,32623,,319,,38972,56,27994,
2011-12-01,31268,,319,,34613,77,25327,
2012-01-01,69432,,528,,43298,91,39395,
2012-02-01,68226,,523,,46131,91,41611,
2012-03-01,73454,,559,,62006,265,56846,
2012-04-01,72696,,561,,64081,206,57046,
2012-05-01,82681,,637,,73226,220,66994,
2012-06-01,85166,,642,,75449,265,71050,
2012-07-01,86047,,642,,72702,328,70544,
2012-08-01,87109,,679,,74099,248,69779,
2012-09-01,78772,,631,,60577,161,55931,
2012-10-01,80440,,620,,69106,181,64248,
2012-11-01,80616,,625,,66309,82,62283,
2012-12-01,76053,,579,,56370,159,56741,
2013-01-01,69191,,509,,43031,156,45867,
2013-02-01,66661,,516,,48310,114,48708,
2013-03-01,73418,,549,,60491,34,60632,
2013-04-01,77814,,586,,62617,99,60564,
2013-05-01,87748,,668,,75971,29,70652,
2013-06-01,79004,,613,,69869,42,66405,
2013-07-01,76952,,599,,63172,56,62567,
2013-08-01,77870,,590,,59793,67,59348,
2013-09-01,75359,,583,,54990,56,53575,
2013-10-01,83130,,626,,63068,48,60679,
2013-11-01,73037,,550,,58526,69,57728,
2013-12-01,65896,,473,,52083,87,55916,
2014-01-01,60128,,395,,37033,89,43640,
2014-02-01,54497,,378,,36937,74,41419,
2014-03-01,67129,,469,,50399,26,54139,
2014-04-01,74979,,541,,59984,178,61750,
2014-05-01,79905,,581,,68554,84,67823,
2014-06-01,73565,,531,,61137,56,62620,
2014-07-01,63159,,435,,49690,115,55101,
2014-08-01,66732,,460,,49372,168,54858,
2014-09-01,66373,,472,,48023,71,51455,
2014-10-01,73464,,526,,55619,79,58726,
2014-11-01,68181,,488,,51318,46,53739,
2014-12-01,62461,,399,,41602,174,49137,
2015-01-01,50892,,302,,28272,100,35952,
2015-02-01,48382,,293,,29776,74,36655,
2015-03-01,63499,,401,,44138,156,50667,
2015-04-01,73400,,513,,55711,79,57740,
2015-05-01,75830,,548,,62047,66,61995,
2015-06-01,70900,,472,,55173,103,58257,
2015-07-01,69622,,447,,51777,77,57494,
2015-08-01,64653,,421,,48131,66,52400,
2015-09-01,60961,,407,,44520,5,47528,
2015-10-01,67482,,463,,55826,18,58872,
2015-11-01,61177,,424,,47910,107,50951,
2015-12-01,47015,,302,,33066,66,38518,
2016-01-01,35455,,217,,20938,30,25916,
2016-02-01,39567,,234,,23732,12,29746,
2016-03-01,45912,,248,,31198,22,39837,
2016-04-01,65005,,405,,47183,11,51951,
2016-05-01,69191,,446,,54559,,58591,
2016-06-01,64425,,388,,49427,24,54313,
2016-07-01,56212,,339,,43954,29,48853,
2016-08-01,55429,,351,,42672,16,47100,
