Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1022188,27988,7397,215,715231,18441,695799,15117
2002-11-01,893637,21710,6602,176,622604,14370,598782,11427
2002-12-01,957923,23062,7053,190,755265,18286,727898,15326
2003-01-01,932182,24015,7024,190,686525,18492,660170,15286
2003-02-01,855286,21801,6384,172,658770,18215,631692,15784
2003-03-01,921716,22226,6713,177,753435,19710,734001,16048
2003-04-01,889898,19314,6446,158,705776,16021,693170,13494
2003-05-01,926961,21251,6596,182,743350,18758,737377,16323
2003-06-01,996825,22241,6973,183,798047,20227,797684,17061
2003-07-01,1078155,23709,7509,190,891175,21584,896918,18731
2003-08-01,1050845,23657,7374,190,839774,19604,849485,17172
2003-09-01,941214,18753,6868,153,698228,16230,692459,12809
2003-10-01,975098,18554,7076,154,748436,15348,745080,12465
2003-11-01,910217,14524,6640,119,683115,14166,679571,11366
2003-12-01,977768,16256,7072,126,751880,15673,745763,12875
2004-01-01,976590,16135,7085,125,706766,14669,712128,11660
2004-02-01,915574,15178,6608,115,687423,15080,693019,12331
2004-03-01,1001110,16394,7204,124,827041,16920,827920,13271
2004-04-01,992168,14602,6979,120,773827,14314,784838,11373
2004-05-01,1048631,17940,7176,152,818766,18928,833898,15036
2004-06-01,1056111,21457,7430,181,889907,18168,897035,15414
2004-07-01,1107045,22746,7814,191,936606,19288,943138,16745
2004-08-01,1112083,22767,7795,190,906326,18257,916000,15259
2004-09-01,992714,19285,6895,160,757857,15801,756698,12144
2004-10-01,1021478,18737,7021,153,774824,15630,778741,12252
2004-11-01,932703,15719,6410,124,713129,12589,712506,10274
2004-12-01,985782,23897,6812,164,761010,18937,764974,18569
2005-01-01,886114,31929,6304,197,695170,22838,692351,23904
2005-02-01,815184,28749,5695,175,624039,21235,624294,22213
2005-03-01,927207,32610,6299,194,765122,25049,774080,26174
2005-04-01,834902,32278,5676,211,658880,22337,677290,23199
2005-05-01,925375,32862,6385,219,758881,26111,772389,25961
2005-06-01,944080,33532,6509,214,814615,25476,828867,26098
2005-07-01,974114,34964,6749,221,836878,25796,856722,26281
2005-08-01,966082,34837,6665,221,795293,25249,812373,25974
2005-09-01,898160,23282,6185,169,697783,17693,710892,15680
2005-10-01,938051,29189,6362,200,731643,20860,747438,20610
2005-11-01,896750,20894,6112,152,680957,16985,693880,15833
2005-12-01,955826,30888,6465,201,736033,23167,751343,24372
2006-01-01,922627,40707,6340,242,714775,26850,731661,29765
2006-02-01,869471,36471,6091,220,684505,25823,690991,28617
2006-03-01,983420,39835,6961,243,856141,30587,855655,33836
2006-04-01,953521,39087,6560,237,780208,27871,799913,30578
2006-05-01,1052087,38597,7323,236,872167,29394,890258,30646
2006-06-01,1029879,38852,7101,229,891971,29366,910644,31851
2006-07-01,1049984,41048,7214,239,909611,29148,932952,31529
2006-08-01,1075532,40741,7400,238,854049,26878,879916,28714
2006-09-01,980015,26606,6752,199,772696,20183,785793,17581
2006-10-01,1008677,29938,6902,220,814812,21615,830342,20533
2006-11-01,935408,37380,6356,226,735675,25253,754090,26576
2006-12-01,899457,34757,6103,214,676898,22998,697957,24512
2007-01-01,979565,33203,6799,203,750675,23197,769161,23231
2007-02-01,895064,29194,6171,189,705756,22315,714260,21956
2007-03-01,1042151,32939,7132,224,888269,26737,909859,25704
2007-04-01,977510,32867,6628,226,820958,23848,849889,23375
2007-05-01,997526,35834,6767,258,838381,27283,859966,27504
2007-06-01,989985,34713,6745,247,847490,27145,881945,27182
2007-07-01,1028999,36024,7027,255,874262,27802,911801,28478
2007-08-01,1035584,35621,7070,253,860988,26540,893817,26756
2007-09-01,942709,28166,6515,222,748228,23254,755570,20994
2007-10-01,976183,33263,6757,246,802822,24680,807872,24564
2007-11-01,900497,31055,6328,215,714517,22141,724962,22790
2007-12-01,918546,39437,6441,257,692485,25962,708584,28551
2008-01-01,866230,42341,6218,262,674937,27793,686230,29866
2008-02-01,874056,37613,6135,240,690156,27842,697432,30106
2008-03-01,1005721,42787,6824,264,833809,32122,858700,36703
2008-04-01,884669,74291,6159,282,722516,34842,737429,59540
2008-05-01,917314,77084,6390,297,763144,37573,774452,63925
2008-06-01,975624,72484,6573,289,813500,34810,845556,62629
2008-07-01,990245,75877,6658,292,824799,34666,851101,62401
2008-08-01,972220,75301,6579,289,806271,33917,822568,61958
2008-09-01,791513,68659,5440,282,673449,28455,665452,53314
2008-10-01,810871,57872,5521,250,700094,24840,695771,39567
2008-11-01,729082,32084,4883,216,590221,21099,593283,22250
2008-12-01,770322,38618,5134,250,625808,24716,634936,27792
2009-01-01,764872,41722,5134,258,590358,25256,602364,28148
2009-02-01,736060,38703,4874,233,563974,25629,574824,28327
2009-03-01,858002,45517,5608,258,707258,30239,724406,35348
2009-04-01,737281,72537,4777,266,595282,28881,618587,52023
2009-05-01,750513,61959,4971,223,629469,24940,640435,47043
2009-06-01,832840,67511,5378,256,700135,27255,727063,54482
2009-07-01,855255,73770,5508,281,739211,32719,760324,62058
2009-08-01,822888,70330,5344,254,704072,30315,719209,60137
2009-09-01,700838,18559,4570,137,574857,14451,581032,13166
2009-10-01,720295,20711,4545,148,594322,14479,610002,14068
2009-11-01,678550,16766,4231,123,522791,11369,542715,10599
2009-12-01,722696,24941,4499,168,554255,16821,580567,18074
2010-01-01,711338,30312,4539,195,538915,19407,565903,21527
2010-02-01,667951,28257,4209,173,519793,19530,540630,21644
2010-03-01,786080,36748,4805,196,642965,20339,674268,26036
2010-04-01,691043,47805,4193,147,546346,18690,584227,38388
2010-05-01,700890,56226,4245,153,569298,22057,601597,47336
2010-06-01,711430,53140,4325,139,598122,20770,635574,47618
2010-07-01,746471,56941,4516,147,617173,20379,661072,47928
2010-08-01,741840,56457,4576,145,615520,18504,653202,45465
2010-09-01,659926,48975,4262,110,548303,16469,562350,42867
2010-10-01,695759,49174,4426,117,576506,16559,599655,38576
2010-11-01,646653,5270,4074,34,507508,5534,532544,4067
2010-12-01,675308,17134,4195,102,517240,12902,555399,14067
2011-01-01,628074,21399,4085,125,494364,14332,519615,15505
2011-02-01,579358,19955,3719,115,460968,13766,487440,15519
2011-03-01,668356,23779,4211,139,547775,17055,589034,19799
2011-04-01,608517,21513,3734,128,477468,14859,523637,16501
2011-05-01,615267,18188,3891,111,516145,14872,547722,15756
2011-06-01,671781,16971,4123,101,545939,14134,596902,14863
2011-07-01,697946,18014,4248,107,569657,14404,625813,15865
2011-08-01,672162,14683,4222,91,551227,11784,587320,11373
2011-09-01,540583,10829,3485,74,450059,10374,472141,8865
2011-10-01,543553,10791,3468,73,455934,9271,482040,8041
2011-11-01,487036,4384,3235,27,418693,4898,429537,3623
2011-12-01,548363,12752,3508,69,440167,10307,464884,11371
2012-01-01,619189,15128,3783,87,482257,11319,521624,11804
2012-02-01,618287,17988,3735,109,470746,13385,507247,14130
2012-03-01,719994,26900,4358,159,570825,19810,627239,22433
2012-04-01,662337,21927,4030,138,514668,15862,569160,17737
2012-05-01,672838,22514,4132,142,548390,16139,599758,18500
2012-06-01,694633,17469,4098,107,545098,12655,612496,14526
2012-07-01,713164,18202,4190,101,572897,13099,642672,15671
2012-08-01,714538,15141,4266,92,578594,11112,641013,12547
2012-09-01,629249,13331,3808,92,503588,8571,541774,9439
2012-10-01,610522,7605,3738,54,501671,5397,538248,5892
2012-11-01,590140,6414,3523,45,463973,4444,498965,4824
