Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,66624,,654,,44419,67,36790,
2002-11-01,59862,,568,,37461,153,32226,
2002-12-01,58820,,564,,47513,165,41782,
2003-01-01,60296,,567,,41199,188,35910,
2003-02-01,53918,,507,,36733,185,30727,
2003-03-01,59531,,558,,45725,205,39857,
2003-04-01,47522,,474,,39168,72,32187,
2003-05-01,48755,,488,,43361,241,35966,
2003-06-01,46535,,471,,42323,255,35284,
2003-07-01,48167,,484,,42941,288,36206,
2003-08-01,47095,,478,,39209,209,32711,
2003-09-01,49453,,487,,35357,170,29051,
2003-10-01,51394,,508,,43960,194,36373,
2003-11-01,48198,,484,,37789,20,31444,
2003-12-01,50496,,512,,44176,10,36885,
2004-01-01,50270,,504,,36181,1,29845,
2004-02-01,46804,,477,,35565,,29162,
2004-03-01,50712,,521,,45352,,37546,
2004-04-01,49073,,498,,43857,,36090,
2004-05-01,49583,,505,,45519,,37654,
2004-06-01,49713,,522,,49636,2,41049,
2004-07-01,51085,,531,,51102,52,41881,
2004-08-01,51544,,540,,47062,31,38642,
2004-09-01,49079,,495,,45872,21,37803,
2004-10-01,51159,,507,,48125,1,39448,
2004-11-01,49201,,491,,45143,16,37702,
2004-12-01,50640,,506,,48134,8,39924,
2005-01-01,47980,,470,,39511,1,33109,
2005-02-01,44496,,421,,35378,17,30150,
2005-03-01,48572,,453,,42284,,36355,
2005-04-01,45416,,428,,38041,,32417,
2005-05-01,49804,,452,,43817,,37889,
2005-06-01,47648,,441,,45504,,39384,
2005-07-01,47842,,448,,45181,33,39659,
2005-08-01,46937,,447,,40030,0,35108,
2005-09-01,46432,112,437,1,37762,109,32602,89
2005-10-01,48687,,457,,43807,49,37965,
2005-11-01,48520,,434,,46733,,40307,
2005-12-01,48644,,447,,45948,,39569,
2006-01-01,47913,,449,,41271,,35380,
2006-02-01,44781,,429,,38430,,32217,
2006-03-01,48077,,453,,43964,,37644,
2006-04-01,50626,,459,,45238,22,39884,
2006-05-01,56447,,532,,54086,1,46801,
2006-06-01,59221,,537,,57856,,51627,
2006-07-01,60692,,544,,58788,,54080,
2006-08-01,62883,,568,,49295,,45896,
2006-09-01,60129,,530,,44568,,39537,
2006-10-01,63351,,556,,47940,,42620,
2006-11-01,59382,,513,,46849,,41893,
2006-12-01,59138,,503,,46422,,43046,
2007-01-01,56748,,487,,41567,,37111,
2007-02-01,48150,,409,,36536,,32732,
2007-03-01,55313,,469,,43604,,39572,
2007-04-01,50643,,438,,40284,,36162,
2007-05-01,47921,,440,,41686,,36936,
2007-06-01,41708,,395,,41300,,35770,
2007-07-01,43106,,409,,43897,,37991,
2007-08-01,42919,,409,,41516,,36075,
2007-09-01,40301,,384,,32050,,26376,
2007-10-01,43859,,412,,35963,,29477,
2007-11-01,42081,,416,,38991,,31622,
2007-12-01,38334,,384,,36049,,29136,
2008-01-01,34074,,348,,29542,13,23654,
2008-02-01,31121,,324,,28309,12,22233,
2008-03-01,35075,,361,,35107,27,27348,
2008-04-01,33799,,361,,34392,18,26915,
2008-05-01,34814,,361,,35157,27,27559,
2008-06-01,35776,,343,,38381,21,31775,
2008-07-01,36399,,351,,38085,26,31859,
2008-08-01,36807,,350,,35486,17,29778,
2008-09-01,28685,,276,,28015,10,22362,
2008-10-01,29801,,285,,30312,3,24040,
2008-11-01,22784,,200,,21412,,17336,
2008-12-01,24620,,219,,25321,,20308,
2009-01-01,28599,,260,,23882,,18847,
2009-02-01,25300,,223,,20573,,16066,
2009-03-01,28616,,247,,26176,,20509,
2009-04-01,26355,,247,,24814,,19121,
2009-05-01,27687,,260,,26212,,20424,
2009-06-01,32745,,288,,33686,,28118,
2009-07-01,33755,,298,,34442,,29144,
2009-08-01,33366,,286,,29886,,25218,
2009-09-01,25018,,225,,21909,,17663,
2009-10-01,26221,,236,,23506,,19033,
2009-11-01,25435,,216,,21884,,18241,
2009-12-01,27788,,231,,25561,,21912,
2010-01-01,26746,,246,,22553,147,18288,
2010-02-01,27376,,239,,22088,170,18544,
2010-03-01,33945,,283,,28076,183,24176,
