Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,21355,,362,,29474,131,14410,
2002-11-01,18280,,309,,24185,108,11590,
2002-12-01,19515,,327,,28456,193,14494,
2003-01-01,19805,,312,,23924,113,12437,
2003-02-01,18297,26,291,1,27309,149,14194,20
2003-03-01,18622,,318,,27806,87,14490,
2003-04-01,18801,,318,,27816,63,13873,
2003-05-01,15391,,285,,25701,206,11844,
2003-06-01,19016,,309,,31502,178,15996,
2003-07-01,22343,,333,,35056,118,18814,
2003-08-01,21937,,329,,30719,98,16757,
2003-09-01,19998,,322,,26488,40,13941,
2003-10-01,20366,,331,,28041,89,14158,
2003-11-01,20016,,318,,26883,70,13499,
2003-12-01,19838,,333,,29682,95,14817,
2004-01-01,19000,,331,,23882,98,12401,
2004-02-01,18249,,313,,27525,132,13607,
2004-03-01,19612,,332,,29347,86,14696,
2004-04-01,18578,,325,,31012,106,14465,
2004-05-01,19862,,332,,32394,111,15635,
2004-06-01,19964,,321,,34132,141,17182,
2004-07-01,20460,,332,,34081,93,17698,
2004-08-01,20498,,337,,31624,79,16350,
2004-09-01,18728,,256,,24399,83,12426,
2004-10-01,17241,,247,,21791,98,11068,
2004-11-01,13469,,238,,22020,,9670,
2004-12-01,14269,,246,,24446,32,11029,
2005-01-01,9491,,176,,15773,12,6751,
2005-02-01,7692,,140,,14298,,5739,
2005-03-01,9281,,156,,17004,,7145,
2005-04-01,8803,,175,,17854,,6572,
2005-05-01,14309,,211,,22870,,11598,
2005-06-01,13685,,188,,21971,,11875,
2005-07-01,13931,,185,,22308,,12453,
2005-08-01,14070,,187,,21099,,11930,
2005-09-01,13331,,228,,22088,,10368,
2005-10-01,13376,,246,,23427,0,10649,
2005-11-01,14377,,262,,27166,,11407,
2005-12-01,14095,,257,,27101,61,12002,
2006-01-01,13079,,222,,21745,11,10266,
2006-02-01,15300,,190,,20960,,12824,
2006-03-01,17353,,210,,22448,,14502,
2006-04-01,16520,,202,,19921,,12944,
2006-05-01,16647,,213,,22295,,13739,
2006-06-01,12781,,185,,20425,,11436,
2006-07-01,12210,,186,,19584,,11074,
2006-08-01,15575,,213,,21762,,13761,
2006-09-01,16010,,232,,21919,26,12383,
2006-10-01,16992,,246,,23825,35,13751,
2006-11-01,13542,,238,,21924,32,10024,
2006-12-01,13487,,233,,23272,15,10484,
2007-01-01,13468,,221,,21994,,10543,
2007-02-01,9450,,168,,17875,,7874,
2007-03-01,8748,,175,,18140,,7667,
2007-04-01,9470,,182,,19226,,7846,
2007-05-01,15280,,239,,25352,,11534,
2007-06-01,10824,,196,,21563,,8962,
2007-07-01,9656,,186,,20629,,8437,
2007-08-01,9825,,189,,19313,,8207,
2007-09-01,13266,,223,,20973,,10013,
2007-10-01,14569,,243,,22653,,10992,
2007-11-01,11829,,202,,18534,,9317,
2007-12-01,12143,,201,,19397,24,9813,
2008-01-01,13020,,212,,18173,2,8836,
2008-02-01,12654,,191,,19837,,9841,
2008-03-01,14336,,214,,22609,,11708,
2008-04-01,13930,,207,,20422,,10320,
2008-05-01,14703,,215,,20712,,10924,
2008-06-01,9433,,167,,17775,,7728,
2008-07-01,7906,,159,,17120,,6768,
2008-08-01,8824,,172,,18294,,7756,
2008-09-01,7762,,145,,12906,,5697,
2008-10-01,4216,,127,,11407,,3116,
2008-11-01,3605,,112,,9050,,2127,
2008-12-01,3803,,118,,11967,,2824,
2009-01-01,4323,,132,,10583,,2487,
2009-02-01,4514,,130,,11394,,2678,
2009-03-01,5065,,139,,11685,,2787,
2009-04-01,2348,,63,,7064,,1874,
