Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,170117,27783,751,31,62874,4009,98395,14311
2002-11-01,148240,26283,646,30,56372,5715,88213,20425
2002-12-01,159655,27721,640,31,69743,5872,118003,22293
2003-01-01,149344,27846,649,31,52238,4300,84878,17025
2003-02-01,125567,24394,568,27,47118,4448,74399,16082
2003-03-01,144051,27783,641,31,52948,5660,85512,21766
2003-04-01,139334,27257,598,30,60864,3994,100354,17975
2003-05-01,134611,28085,610,31,63585,5045,101147,21593
2003-06-01,125136,27011,606,30,65483,6252,101402,24879
2003-07-01,127623,27846,624,31,71188,5318,109087,19947
2003-08-01,130099,27783,635,31,74884,5899,112734,21271
2003-09-01,122022,26307,591,29,56221,5188,85478,17763
2003-10-01,127105,21586,620,24,60955,3778,91862,11868
2003-11-01,127373,,614,,57252,384,86186,
2003-12-01,132178,,584,,63550,275,102403,
2004-01-01,128936,,606,,48166,296,78205,
2004-02-01,120840,,578,,47055,329,71675,
2004-03-01,130258,,617,,56420,316,86466,
2004-04-01,128476,,605,,60061,258,92280,
2004-05-01,129027,,614,,60098,305,93059,
2004-06-01,130558,,607,,66634,160,100029,
2004-07-01,133908,,612,,71840,221,111368,
2004-08-01,131959,,613,,74106,201,112497,
2004-09-01,125844,,589,,56714,227,83725,
2004-10-01,119412,,541,,56898,322,86863,
2004-11-01,104120,,460,,53062,267,78666,
2004-12-01,107828,,473,,54189,322,81901,
2005-01-01,94434,,445,,42193,209,61231,
2005-02-01,87382,,426,,37456,245,54978,
2005-03-01,92504,,475,,43054,340,63149,
2005-04-01,90644,,455,,47764,288,68566,
2005-05-01,96434,,467,,49037,440,71286,
2005-06-01,93167,,459,,53017,400,76659,
2005-07-01,95117,,457,,53362,391,80525,
2005-08-01,95314,,470,,54235,489,79546,
2005-09-01,96895,,461,,45848,387,65605,
2005-10-01,99990,,472,,49483,349,71334,
2005-11-01,97496,,458,,50006,283,72430,
2005-12-01,101195,,454,,51366,342,76441,
2006-01-01,89675,,441,,42695,221,61609,
2006-02-01,79062,,399,,39809,142,56196,
2006-03-01,89903,,450,,48022,121,67552,
2006-04-01,93172,,442,,53275,227,77160,
2006-05-01,96125,,472,,55790,258,80588,
2006-06-01,77521,,413,,50940,198,68086,
2006-07-01,76676,,415,,50939,249,69168,
2006-08-01,77778,,420,,50939,323,69097,
2006-09-01,77553,,398,,43498,266,60866,
2006-10-01,81575,,411,,47090,207,66840,
2006-11-01,75171,,401,,44358,67,61810,
2006-12-01,72263,,394,,41019,98,57461,
2007-01-01,72859,,413,,40241,71,54903,
2007-02-01,67017,,357,,36853,25,51205,
2007-03-01,79447,,409,,44865,27,63212,
2007-04-01,75496,,395,,46874,38,64862,
2007-05-01,80655,,426,,50650,53,67659,
2007-06-01,72769,,394,,48110,38,65196,
2007-07-01,74002,,404,,48995,67,67358,
2007-08-01,74478,,413,,50332,137,68252,
2007-09-01,77921,,398,,44022,23,60248,
2007-10-01,79761,,415,,47776,56,65696,
2007-11-01,72936,,397,,43801,70,59548,
2007-12-01,68086,,376,,37562,56,52994,
2008-01-01,64330,,368,,34354,64,46403,
2008-02-01,65358,,345,,33337,104,46614,
2008-03-01,70145,,380,,37588,93,51147,
2008-04-01,66280,,399,,39828,164,52407,
2008-05-01,68247,,408,,42106,173,55518,
2008-06-01,73100,,397,,47329,91,65165,
2008-07-01,72206,,406,,48788,192,66522,
2008-08-01,73603,,414,,49406,224,66845,
2008-09-01,76227,,407,,44977,53,59487,
2008-10-01,79252,,416,,48651,68,63076,
2008-11-01,62095,,365,,36576,70,45785,
2008-12-01,61701,,361,,37805,36,48822,
2009-01-01,61810,,356,,32349,82,42041,
2009-02-01,57362,,342,,28862,39,37196,
2009-03-01,62912,,389,,33469,45,43482,
2009-04-01,56936,,359,,35981,38,45962,
2009-05-01,59586,,373,,36912,34,46805,
2009-06-01,63656,,372,,40747,36,52375,
2009-07-01,67094,,392,,47982,56,60108,
2009-08-01,68757,,392,,49093,21,61248,
2009-09-01,62765,,340,,35706,,48425,
2009-10-01,62547,,342,,37047,,49967,
2009-11-01,55572,,284,,31122,,43730,
2009-12-01,51349,,263,,29077,,40429,
2010-01-01,53591,,284,,27074,,37334,
2010-02-01,44724,,247,,24676,,33898,
2010-03-01,53886,,295,,30660,,43156,
2010-04-01,49759,,284,,27845,,38971,
2010-05-01,49748,,287,,30045,,42141,
2010-06-01,55175,,295,,35885,,48430,
2010-07-01,56327,,298,,37630,,50762,
2010-08-01,58602,,311,,38069,,51417,
2010-09-01,53244,,289,,29603,,41195,
2010-10-01,50169,,283,,30062,,39662,
2010-11-01,55356,,270,,28318,,41335,
2010-12-01,51744,,230,,26666,,41563,
2011-01-01,38786,,202,,21342,,28142,
2011-02-01,36432,,199,,20553,,25285,
2011-03-01,49724,,288,,29082,,34558,
2011-04-01,33025,,163,,22235,,28254,
2011-05-01,33162,,165,,22697,5,29003,
2011-06-01,72083,14442,292,20,41189,3289,66267,12955
2011-07-01,87895,21658,353,30,49388,4590,81229,18060
2011-08-01,61202,20936,270,29,36761,4377,55803,17259
2011-09-01,47583,22836,262,31,30272,4847,39969,19010
2011-10-01,49714,49457,272,59,32115,10378,41896,39267
2011-11-01,50521,49856,266,77,30639,12082,42161,39328
2011-12-01,48507,52809,227,84,26521,13735,40170,44141
2012-01-01,795663,1301611,3624,1910,416009,264878,623666,989842
2012-02-01,786007,1235478,3585,1783,418845,248089,617139,926476
2012-03-01,907214,1374754,4036,2038,512503,308288,758176,1134039
2012-04-01,917429,1312643,4159,1977,524255,304717,766277,1106488
2012-05-01,909956,1411337,3961,1927,501898,312440,760581,1218683
2012-06-01,969695,1392236,4072,2015,536552,332548,832239,1258172
2012-07-01,971757,1489935,4094,2222,553678,349153,874463,1272133
2012-08-01,959745,1438208,4124,2074,537670,326389,842432,1234328
2012-09-01,821806,1265240,3540,1621,404735,255970,628709,1063812
2012-10-01,779181,1190071,3494,1531,436976,242487,664026,1007367
2012-11-01,822000,1129509,3697,1542,437873,241048,653804,945583
2012-12-01,867891,1216284,3861,1764,469086,279273,710853,1046922
2013-01-01,790643,1301387,3642,1880,431157,267703,630187,1022027
2013-02-01,707124,1111637,3309,1613,400637,230919,577477,875155
2013-03-01,869431,1319918,3890,1962,510474,308569,745132,1125317
2013-04-01,916204,1353980,4004,1998,484509,300108,739376,1103416
2013-05-01,925965,1397062,3848,1939,491216,320260,783058,1239465
2013-06-01,959810,1399792,3897,2022,521341,335111,844685,1258179
2013-07-01,998459,1458773,4018,2136,555525,346960,908821,1271858
2013-08-01,1006043,1448636,4044,2045,545130,331698,896641,1256787
2013-09-01,874636,1276212,3560,1625,434544,265334,708329,1091773
2013-10-01,910276,1254006,3872,1630,490821,258189,772203,1055276
2013-11-01,891122,1138805,3765,1576,451963,245024,697779,935737
2013-12-01,904265,1161533,3869,1689,511582,278759,799005,1017234
2014-01-01,777729,1209816,3325,1728,419635,251533,650702,944444
2014-02-01,698166,1103606,3014,1570,387637,228690,586610,848923
2014-03-01,900956,1360713,3861,2055,498210,311431,746564,1114484
2014-04-01,848901,1307193,3678,1977,476773,305695,721539,1082183
2014-05-01,881475,1359316,3712,1944,484890,316094,753036,1188191
2014-06-01,939600,1378170,3861,2047,509735,337093,819397,1225399
2014-07-01,971067,1460671,3927,2184,544224,356487,880530,1230231
2014-08-01,951898,1405965,3819,2043,522865,336004,855224,1226997
2014-09-01,852354,1235475,3426,1622,433074,265589,698905,1065836
2014-10-01,903351,1247487,3731,1637,481493,265628,759589,1057774
2014-11-01,884527,1155121,3801,1654,469089,259943,711377,961456
2014-12-01,909094,1228016,3914,1826,519462,303678,795235,1081178
2015-01-01,797892,1167382,3437,1695,428337,253109,655445,936834
2015-02-01,767809,1062724,3336,1552,435825,236182,647762,852493
2015-03-01,914000,1288568,4023,1944,527267,298879,766601,1056887
2015-04-01,913713,1322596,4053,2048,527015,307165,770463,1063922
2015-05-01,954185,1346504,3992,1893,525531,310030,805780,1164514
2015-06-01,986082,1366694,4051,1952,539622,333579,845131,1223892
2015-07-01,1008614,1501762,4115,2214,586734,365957,929915,1284406
2015-08-01,986779,1466089,3959,2136,555424,354611,883884,1277488
2015-09-01,896886,1224752,3587,1546,471618,260194,736738,1049462
2015-10-01,959896,1208758,3966,1509,553508,256405,844905,1044330
2015-11-01,914428,1110576,3869,1504,528294,248764,793362,928116
2015-12-01,963375,1256071,4004,1859,557723,312362,855272,1094958
2016-01-01,809004,1167590,3335,1689,457457,256606,703722,919813
2016-02-01,869801,1147057,3683,1702,486646,249939,731394,880005
2016-03-01,994277,1303350,4324,1966,589556,309710,862936,1066423
2016-04-01,1032941,1301359,4408,1888,598059,293643,882596,1038134
2016-05-01,1051673,1428671,4288,1890,586574,315845,912181,1192300
2016-06-01,1044226,1468270,4282,1970,609987,346411,945242,1290511
2016-07-01,1064517,1588285,4255,2293,625045,381030,987507,1339052
2016-08-01,1118152,1533666,4556,2151,644649,365905,1012223,1320016
2016-09-01,1031521,1307079,4247,1618,569111,276083,888572,1107739
2016-10-01,1072790,1238405,4491,1532,618259,255700,954091,1031622
2016-11-01,1019911,1112990,4312,1475,605222,248643,902606,938927
2016-12-01,1048823,1253488,4338,1913,611291,314016,926259,1088692
2017-01-01,998493,,4246,,564643,,837266,
2017-02-01,910124,,3912,,531302,,765930,
2017-03-01,1087635,,4754,,663860,,937083,
