Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,458431,367070,1975,426,197278,65162,305734,264356
2002-11-01,424965,365537,1828,418,179304,65136,270397,269340
2002-12-01,447367,376542,1889,431,214692,68241,337199,282957
2003-01-01,442948,345408,1912,403,181472,57930,284056,241979
2003-02-01,371677,271674,1620,318,157653,43821,235712,184993
2003-03-01,435630,313743,1909,376,198362,55589,294479,231160
2003-04-01,383498,319429,1661,365,189323,55503,280567,230411
2003-05-01,408750,329289,1766,372,199032,67898,305147,281208
2003-06-01,420352,342701,1794,390,207784,73701,326536,304910
2003-07-01,460537,351154,1912,400,227550,65763,366503,272113
2003-08-01,454119,353941,1886,403,214881,68763,342912,287057
2003-09-01,397167,327800,1722,375,166489,65861,261425,272960
2003-10-01,424712,348102,1830,395,193907,66254,297530,272685
2003-11-01,409023,324473,1725,359,180001,65121,274759,268865
2003-12-01,444474,331701,1837,367,205587,66902,325191,274494
2004-01-01,437421,337073,1839,377,178108,61955,276671,258291
2004-02-01,404345,321062,1726,373,180602,59147,268787,239073
2004-03-01,444910,347826,1916,412,218838,74724,322105,299281
2004-04-01,485761,355372,2032,425,232868,72319,351122,282899
2004-05-01,502551,369175,2123,441,240365,79777,371402,315538
2004-06-01,520799,388498,2228,451,267018,87357,413564,347033
2004-07-01,555554,404155,2427,469,296605,81489,456421,320268
2004-08-01,572240,404778,2538,470,291477,80045,437066,321631
2004-09-01,524295,386144,2337,452,235582,79152,354911,322645
2004-10-01,542551,400383,2463,467,275747,77189,402693,307064
2004-11-01,466834,367554,2216,426,238032,75149,340264,295986
2004-12-01,489669,384683,2296,455,261435,79337,381323,310738
2005-01-01,465596,386448,2234,468,235929,74704,349027,288957
2005-02-01,420149,348400,1999,422,215581,66565,312636,256033
2005-03-01,461066,387909,2170,467,260193,84014,381299,324169
2005-04-01,440055,390301,2095,470,243940,80584,358132,313831
2005-05-01,466181,408633,2197,474,264388,88125,396945,348840
2005-06-01,488621,398128,2193,466,275767,90847,431656,357751
2005-07-01,505932,410820,2267,486,282263,84175,446833,329389
2005-08-01,501208,409749,2254,484,267195,82184,421349,323640
2005-09-01,460573,399022,1953,454,228417,82864,364711,336204
2005-10-01,475872,404672,2009,452,248128,76011,396492,304993
2005-11-01,452140,394350,2001,423,237282,77006,362672,312034
2005-12-01,480186,421178,2091,499,246722,88046,383896,341892
2006-01-01,461661,424413,2044,546,229903,82462,346270,311089
2006-02-01,459738,380092,2044,496,232997,72303,348567,272257
2006-03-01,520902,422006,2340,547,285318,92149,426550,348064
2006-04-01,493654,415753,2204,560,282392,91190,420180,338361
2006-05-01,510337,432869,2190,583,278471,100212,430911,382367
2006-06-01,513961,422203,2205,578,289705,103169,446850,385476
2006-07-01,527003,436624,2284,603,296745,98011,462317,365370
2006-08-01,535722,436099,2356,600,281025,91908,432590,346303
2006-09-01,501650,409618,2168,521,239648,86213,379014,349649
2006-10-01,526311,435496,2288,533,282765,84224,436562,339670
2006-11-01,524862,477792,2416,565,282665,92842,411768,382742
2006-12-01,539191,506739,2471,607,292587,102026,441419,416939
2007-01-01,544095,515116,2462,596,279277,95563,421173,405952
2007-02-01,470442,454664,2096,528,249287,80870,373189,339474
2007-03-01,568365,531601,2528,639,319502,109344,474060,453826
2007-04-01,539965,603336,2393,657,309589,108330,464574,461361
2007-05-01,532477,615501,2265,631,291800,118403,458430,531462
