Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,41303,211,358,2,27689,4,26089,183
2002-11-01,35994,,314,,25318,37,23913,
2002-12-01,38034,,335,,31519,19,30046,
2003-01-01,38378,,338,,28170,,26808,
2003-02-01,35012,,304,,25550,,24080,
2003-03-01,37243,,321,,30612,,29205,
2003-04-01,34989,,298,,26164,,24951,
2003-05-01,39097,,335,,27617,,26325,
2003-06-01,36915,,329,,29083,,27749,
2003-07-01,37163,211,335,2,31041,0,30038,178
2003-08-01,37450,211,336,2,27173,0,26094,95
2003-09-01,35182,,313,,21009,9,20156,
2003-10-01,37188,,329,,25284,18,24452,
2003-11-01,37084,,322,,25217,6,24060,
2003-12-01,39799,,340,,30007,0,29084,
2004-01-01,38467,,335,,26034,,25102,
2004-02-01,36433,,319,,27506,,26327,
2004-03-01,38501,,342,,29925,,28690,
2004-04-01,36837,,330,,30552,,29066,
2004-05-01,36135,,332,,29304,20,28291,
2004-06-01,35503,,328,,30684,45,29439,
2004-07-01,39572,105,366,1,32964,42,31486,99
2004-08-01,37406,,342,,27844,65,26575,
2004-09-01,35850,,324,,25125,34,24170,
2004-10-01,39615,,343,,26659,70,26021,
2004-11-01,36647,,321,,27292,,25977,
2004-12-01,38476,,338,,29488,,28396,
2005-01-01,35455,,305,,24394,30,23249,
2005-02-01,29236,,253,,19819,37,18768,
2005-03-01,28223,,248,,20469,,19655,
2005-04-01,26579,,229,,18170,,17730,
2005-05-01,28505,,240,,21461,,21362,
2005-06-01,25289,,211,,19953,,19705,
2005-07-01,25411,,207,,20315,,19965,
2005-08-01,25287,,211,,17629,,17357,
2005-09-01,22442,,190,,14797,10,14608,
2005-10-01,25404,,217,,17258,55,16983,
2005-11-01,28620,,245,,20203,11,19728,
2005-12-01,26590,,226,,21790,113,21473,
2006-01-01,23168,92,190,1,17377,46,17070,88
2006-02-01,20013,,165,,14562,,14075,
2006-03-01,22461,,183,,17482,,17377,
2006-04-01,23217,,199,,18484,,18162,
2006-05-01,25884,,214,,20787,,20644,
2006-06-01,22854,,184,,19011,11,19170,
2006-07-01,22085,,177,,18220,19,18686,
2006-08-01,23158,,189,,15614,22,16162,
2006-09-01,24004,,204,,17032,17,16527,
