Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,112499,,954,,110963,1202,93498,
2002-11-01,102001,,846,,103855,921,87024,
2002-12-01,98969,,816,,94195,665,80683,
2003-01-01,102581,,890,,106348,619,88892,
2003-02-01,96792,,838,,101531,894,84429,
2003-03-01,110369,,944,,117938,950,100361,
2003-04-01,104839,,918,,107566,1225,93014,
2003-05-01,107955,,964,,110988,906,94828,
2003-06-01,108486,,956,,109217,717,92553,
2003-07-01,118044,,1016,,108212,627,94611,
2003-08-01,110416,,987,,109556,743,91641,
2003-09-01,109041,,933,,108033,812,89624,
2003-10-01,117586,,1006,,122168,864,103671,
2003-11-01,116752,,956,,110521,683,93135,
2003-12-01,107119,,915,,92727,494,76949,
2004-01-01,121268,,970,,111570,118,95585,
2004-02-01,114804,,904,,111923,12,95122,
2004-03-01,120187,,966,,128275,,108131,
2004-04-01,127633,,992,,136675,,114106,
2004-05-01,135986,,1025,,144645,,122314,
2004-06-01,128943,,989,,131528,,113431,
2004-07-01,132620,,1006,,130083,,115102,
2004-08-01,133616,,1016,,131628,,116794,
2004-09-01,136035,,1026,,133949,,116341,
2004-10-01,140206,,1067,,141250,,122895,
2004-11-01,131473,,1015,,125986,,108029,
2004-12-01,134021,,1034,,115372,,100656,
2005-01-01,134935,,1044,,128400,,112108,
2005-02-01,123500,,949,,114447,,99816,
2005-03-01,136031,,1051,,139211,,121361,
2005-04-01,131106,,1009,,130591,,114292,
2005-05-01,138561,,1078,,148369,0,126330,
2005-06-01,132292,,1022,,138965,,122006,
2005-07-01,135478,,1043,,132578,,117993,
2005-08-01,135788,,1049,,130817,,118393,
2005-09-01,144958,,1111,,134765,,120833,
2005-10-01,149753,,1171,,148406,,129972,
2005-11-01,137062,,1101,,132889,,112777,
2005-12-01,135827,,1077,,124313,,108545,
2006-01-01,128331,,1015,,122567,,106185,
2006-02-01,125503,,1000,,122116,,105571,
2006-03-01,146891,,1189,,153244,,130681,
2006-04-01,140928,,1163,,144465,,120895,
2006-05-01,146043,,1179,,151553,,126851,
2006-06-01,139138,,1101,,140289,,120917,
2006-07-01,142232,,1124,,145679,,126182,
2006-08-01,143466,,1133,,142705,,123826,
2006-09-01,142179,,1117,,136481,,115631,
2006-10-01,144676,,1107,,146209,,127097,
2006-11-01,127008,,1012,,124403,,104767,
2006-12-01,119834,,955,,113163,,98669,
2007-01-01,124901,,955,,121795,,106878,
2007-02-01,117669,,909,,117209,,101386,
2007-03-01,141096,,1084,,147605,,128536,
2007-04-01,135946,,1036,,144268,,125611,
2007-05-01,144440,,1094,,148340,,130284,
2007-06-01,128895,,971,,130334,,116541,
2007-07-01,131011,,997,,132240,0,117232,
2007-08-01,133974,,1012,,136399,,121098,
2007-09-01,131905,,1008,,131198,,112790,
2007-10-01,137784,,1059,,138360,,118907,
2007-11-01,123275,,975,,122135,,102646,
2007-12-01,109820,,875,,101561,,86524,
2008-01-01,116837,,934,,109385,,91484,
2008-02-01,113439,,898,,110311,,92834,
2008-03-01,124800,,981,,129581,,111910,
2008-04-01,126411,,988,,130086,,112469,
2008-05-01,139138,,1055,,140881,,123490,
2008-06-01,118371,,929,,127462,,107951,
2008-07-01,119900,,945,,120770,0,104061,
2008-08-01,116674,,932,,129882,,107817,
2008-09-01,117302,,928,,122558,,102920,
2008-10-01,124296,,993,,132693,,112060,
2008-11-01,103132,,805,,105458,,89322,
2008-12-01,89322,,729,,86266,,70383,
2009-01-01,92760,,781,,93170,,75693,
2009-02-01,98211,,790,,99048,,83987,
2009-03-01,118376,,930,,122973,0,107848,
2009-04-01,106491,,852,,113833,0,97414,
2009-05-01,111678,,904,,117798,0,100428,
2009-06-01,116924,,976,,120084,87,103497,
2009-07-01,120482,,985,,117078,96,103085,
2009-08-01,123205,,977,,122838,167,108570,
2009-09-01,124344,,907,,120316,233,108322,
2009-10-01,125794,,921,,122372,161,111672,
2009-11-01,101539,,794,,106714,82,88693,
2009-12-01,95345,,741,,87242,50,74909,
2010-01-01,95526,,689,,91756,,79794,
2010-02-01,95827,,686,,92544,101,81312,
2010-03-01,121990,,831,,118915,168,109985,
2010-04-01,117262,,796,,111291,198,103365,
2010-05-01,121431,,824,,120564,292,110231,
2010-06-01,107224,,781,,106600,178,95913,
2010-07-01,110402,,811,,103280,144,93952,
2010-08-01,115137,,838,,113121,98,103898,
2010-09-01,126626,,873,,115967,134,107253,
