Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,833788,274514,3257,248,344439,48353,560011,239867
2002-11-01,776764,266952,3018,239,332760,47199,523299,222103
2002-12-01,834240,280750,3219,258,394772,51693,630767,240815
2003-01-01,814392,280727,3159,261,351436,51244,562675,244018
2003-02-01,712123,244192,2788,222,307248,43568,494869,207809
2003-03-01,809949,265936,3163,244,360295,42447,588826,194981
2003-04-01,735914,196870,2918,185,342323,29373,556939,137506
2003-05-01,741439,200609,2997,185,350501,35614,564396,169184
2003-06-01,748545,196591,2981,186,374409,37816,623043,172906
2003-07-01,814365,203123,3176,194,396722,39519,656010,182561
2003-08-01,784996,204052,3102,196,395401,38606,649671,171051
2003-09-01,708246,195734,2880,180,294159,33516,469027,159108
2003-10-01,736448,214899,2980,186,316958,36398,509835,181844
2003-11-01,730808,207884,2897,188,323008,39050,512131,184766
2003-12-01,787444,217833,3117,198,366998,40343,594983,189114
2004-01-01,785966,219484,3043,199,326983,39768,528386,189928
2004-02-01,730063,198279,2854,174,322835,33819,518090,166090
2004-03-01,802636,211727,3122,186,383143,37999,616424,180582
2004-04-01,799635,207830,3097,180,397745,34601,643115,161305
2004-05-01,786935,214908,3153,186,388540,37582,619545,179900
2004-06-01,803698,205562,3228,178,422536,40479,688918,186699
2004-07-01,828395,214781,3353,186,438084,41668,711898,190636
2004-08-01,831113,212333,3373,185,442094,40914,715791,181902
2004-09-01,731527,205476,3070,180,345831,35627,546608,166478
2004-10-01,752844,207053,3137,184,364917,37440,577695,178169
2004-11-01,681010,204869,2891,180,347728,36775,544808,166407
2004-12-01,703637,230282,2974,195,364286,41776,568345,193967
2005-01-01,633131,248624,2725,204,319788,41725,495793,203079
2005-02-01,592920,223176,2502,184,293890,36483,461315,177081
2005-03-01,687836,238442,2833,200,363567,41659,584038,192656
2005-04-01,637991,204038,2699,184,337428,36380,522497,166342
2005-05-01,658106,211700,2827,186,353575,38464,543085,179888
2005-06-01,675445,231879,2800,229,385617,46026,610057,211723
2005-07-01,704176,245187,2899,247,388237,47490,620978,212229
2005-08-01,694603,245198,2917,247,387002,46367,613122,205715
2005-09-01,626700,215779,2744,216,317383,40575,492153,184585
2005-10-01,647207,214931,2860,216,340369,41557,528893,187565
2005-11-01,650334,208065,2815,209,344390,41196,531548,182614
2005-12-01,684615,238674,2910,227,357531,45380,559832,204981
2006-01-01,658791,249584,2830,233,318159,46886,494014,216797
2006-02-01,634910,228679,2693,213,309780,41398,489892,183418
2006-03-01,729089,253297,2995,238,374726,47051,601822,207176
2006-04-01,711652,244021,2861,232,378915,42279,603523,185229
2006-05-01,717336,210901,3001,198,379495,39385,592150,184297
2006-06-01,731865,242191,2957,255,398158,50290,636774,223811
2006-07-01,756672,260405,3053,283,413644,52962,661983,227234
2006-08-01,754298,261567,3161,283,402623,52192,634264,227496
2006-09-01,643331,241645,2868,232,323817,41556,495411,203077
2006-10-01,658343,234324,2963,220,347233,41793,532516,195128
2006-11-01,655304,208544,2879,196,343839,40352,526720,181714
2006-12-01,679612,232650,2927,216,353733,43930,557126,197006
2007-01-01,655252,246567,2807,208,320007,43824,503113,210451
2007-02-01,592376,224300,2535,193,301248,38798,463517,182297
2007-03-01,688762,242356,2946,216,382097,43745,588491,199079
2007-04-01,650320,208409,2781,195,375025,37764,575688,165918
2007-05-01,654601,212148,2826,197,369459,38634,570253,171789
2007-06-01,652330,208926,2702,219,373488,44629,599675,186124
2007-07-01,686599,222286,2791,231,368874,46867,607179,195874
2007-08-01,695428,225288,2856,234,380098,45914,626216,188046
2007-09-01,564284,206455,2488,186,282432,36340,447534,171072
2007-10-01,619578,221332,2690,193,318345,38666,503168,182600
2007-11-01,614574,281589,2589,214,314680,43400,499892,212076
2007-12-01,641561,332421,2607,253,313719,54933,508796,277647
2008-01-01,577227,338793,2359,261,268373,50830,433717,272485
2008-02-01,573599,300744,2338,239,268175,42732,431720,218690
